locusLinkId,name,Product,chrom,txStart,txEnd,Ref_Seq
116983,CENTB5,-,chr1,1218807,1228503,-
126789,PUSL1,-,chr1,1233857,1236920,-
54973,CPSF3L,-,chr1,1236842,1249913,-
80772,MGC10334,-,chr1,1250006,1254139,-
83756,TAS1R3,-,chr1,1256589,1259707,-
1855,DVL1,-,chr1,1260521,1274623,-
54587,MXRA8,-,chr1,1277934,1283778,-
54998,AURKAIP1,-,chr1,1298973,1300443,-
81669,CCNL2,-,chr1,1310954,1324553,-
55052,MRPL20,-,chr1,1327159,1332524,-
441869,LOC441869,-,chr1,1343663,1346248,-
643965,LOC643965,-,chr1,1351419,1353030,-
64856,VWA1,-,chr1,1360772,1366009,-
219293,ATAD3C,-,chr1,1387910,1395401,-
83858,ATAD3B,-,chr1,1397027,1421445,-
55210,ATAD3A,-,chr1,1437418,1459927,-
339453,C1orf70,-,chr1,1460602,1465589,-
29101,SSU72,-,chr1,1466916,1500125,-
643988,LOC643988,-,chr1,1523251,1525333,-
142678,MIB2,-,chr1,1540747,1555848,-
8510,MMP23B,-,chr1,1557423,1559893,-
728642,LOC728642,-,chr1,1560463,1570440,-
728661,LOC728661,-,chr1,1582799,1618022,-
8511,MMP23A,-,chr1,1619121,1623110,-
984,CDC2L1,-,chr1,1624180,1645637,-
985,CDC2L2,-,chr1,1624180,1645623,-
9906,SLC35E2,-,chr1,1653541,1667291,-
65220,NADK,-,chr1,1672531,1699769,-
2782,GNB1,-,chr1,1706589,1812355,-
163688,CALML6,-,chr1,1836126,1838593,-
339456,TMEM52,-,chr1,1838890,1840565,-
339457,LOC339457,-,chr1,1843256,1849228,-
728690,LOC728690,-,chr1,1847366,1868448,-
85452,KIAA1751,-,chr1,1874612,1925136,-
2563,GABRD,-,chr1,1940703,1952050,-
5590,PRKCZ,-,chr1,1971769,2106694,-
199990,C1orf86,-,chr1,2105777,2116074,-
6497,SKI,-,chr1,2149994,2229316,-
79906,MORN1,-,chr1,2242556,2312853,-
11079,RER1,-,chr1,2313189,2325050,-
5192,PEX10,-,chr1,2326101,2333870,-
9651,PLCH2,-,chr1,2397614,2426824,-
55229,PANK4,-,chr1,2429835,2447895,-
388585,HES5,-,chr1,2450044,2451544,-
8764,TNFRSF14,-,chr1,2479150,2486613,-
127281,C1orf93,-,chr1,2508109,2512762,-
79258,MMEL1,-,chr1,2511941,2554289,-
391205,LOC391205,-,chr1,2562667,2575892,-
390988,LOC390988,-,chr1,2689996,2707252,-
728702,LOC728702,-,chr1,2855916,2856542,-
140625,ACTRT2,-,chr1,2927906,2929327,-
63976,PRDM16,-,chr1,2975604,3345045,-
27237,ARHGEF16,-,chr1,3369982,3387537,-
1953,MEGF6,-,chr1,3396350,3517919,-
693135,MIRN551A,-,chr1,3467118,3467213,-
127262,FAM79A,-,chr1,3531416,3536555,-
49856,WDR8,-,chr1,3537199,3556497,-
728717,LOC728717,-,chr1,3557637,3558486,-
7161,TP73,-,chr1,3558989,3639716,-
57212,KIAA0495,-,chr1,3643573,3653050,-
148870,CCDC27,-,chr1,3658822,3678069,-
728750,LOC728750,-,chr1,3679064,3681150,-
388588,LOC388588,-,chr1,3679249,3682406,-
57470,LRRC47,-,chr1,3686644,3702928,-
9731,KIAA0562,-,chr1,3718513,3763611,-
1677,DFFB,-,chr1,3763705,3791853,-
339448,C1orf174,-,chr1,3795557,3806709,-
728716,LOC728716,-,chr1,3900485,3912503,-
644357,LOC644357,-,chr1,4134743,4168824,-
55966,AJAP1,-,chr1,4614965,4743710,-
261734,NPHP4,-,chr1,5845457,5975118,-
8514,KCNAB2,-,chr1,6008967,6083110,-
26038,CHD5,-,chr1,6084440,6162770,-
6146,RPL22,-,chr1,6167667,6182266,-
388591,RNF207,-,chr1,6188122,6190959,-
148646,C1orf188,-,chr1,6191507,6203446,-
23463,ICMT,-,chr1,6203840,6218631,-
148645,C1orf211,-,chr1,6220455,6222091,-
390992,HES3,-,chr1,6226232,6228682,-
387509,GPR153,-,chr1,6231443,6243622,-
11332,ACOT7,-,chr1,6246919,6376413,-
54626,HES2,-,chr1,6397883,6402566,-
83715,ESPN,-,chr1,6407435,6443576,-
8718,TNFRSF25,-,chr1,6443798,6448842,-
57449,PLEKHG5,-,chr1,6449460,6502656,-
79707,NOL9,-,chr1,6507792,6537168,-
80835,TAS1R1,-,chr1,6538021,6562404,-
3104,HKR3,-,chr1,6562698,6571926,-
9903,KLHL21,-,chr1,6573371,6585516,-
148479,PHF13,-,chr1,6596332,6606643,-
90326,THAP3,-,chr1,6607839,6618232,-
55735,DNAJC11,-,chr1,6616818,6684460,-
23261,CAMTA1,-,chr1,6767971,7752351,-
727939,LOC727939,-,chr1,7351115,7352918,-
9341,VAMP3,-,chr1,7753916,7764079,-
8863,PER3,-,chr1,7767350,7827824,-
10911,UTS2,-,chr1,7830262,7836159,-
3604,TNFRSF9,-,chr1,7902494,7923474,-
644827,LOC644827,-,chr1,7925098,7925376,-
11315,PARK7,-,chr1,7944380,7967926,-
54206,ERRFI1,-,chr1,7994381,8008943,-
390993,LOC390993,-,chr1,8039887,8041113,-
50651,SLC45A1,-,chr1,8306977,8326814,-
473,RERE,-,chr1,8335044,8800111,-
644896,LOC644896,-,chr1,8768792,8769581,-
2023,ENO1,-,chr1,8843650,8861367,-
729124,LOC729124,-,chr1,8860872,8861855,-
765,CA6,-,chr1,8928509,8957738,-
155184,SLC2A7,-,chr1,8985946,9008991,-
6518,SLC2A5,-,chr1,9019594,9052257,-
80045,GPR157,-,chr1,9087063,9111816,-
407040,MIRN34A,-,chr1,9134313,9134422,-
727721,LOC727721,-,chr1,9159038,9185265,-
9563,H6PD,-,chr1,9217450,9253983,-
80176,SPSB1,-,chr1,9275571,9352178,-
84275,BMSC-MCP,-,chr1,9522115,9565418,-
642740,LOC642740,-,chr1,9559072,9559630,-
199953,RP13-15M17.2,-,chr1,9571567,9587594,-
729158,LOC729158,-,chr1,9608442,9613217,-
5293,PIK3CD,-,chr1,9634390,9711564,-
22883,CLSTN1,-,chr1,9711666,9807137,-
645010,FLJ16126,-,chr1,9808934,9810916,-
56998,CTNNBIP1,-,chr1,9830921,9892903,-
84328,LZIC,-,chr1,9912363,9925413,-
64802,NMNAT1,-,chr1,9926074,9966314,-
116362,RBP7,-,chr1,9979861,9998665,-
10277,UBE4B,-,chr1,10015630,10163884,-
23095,KIF1B,-,chr1,10193418,10364242,-
5226,PGD,-,chr1,10381672,10402788,-
378708,APITD1,-,chr1,10412746,10434797,-
1325,CORT,-,chr1,10432558,10434546,-
1676,DFFA,-,chr1,10443175,10455200,-
5195,PEX14,-,chr1,10457606,10613400,-
654487,SRG,-,chr1,10619765,10621138,-
54897,CASZ1,-,chr1,10629864,10676549,-
148345,C1orf127,-,chr1,10929120,10946845,-
390996,LOC390996,-,chr1,10968474,10974441,-
23435,TARDBP,-,chr1,10995266,11008136,-
10747,MASP2,-,chr1,11009167,11029872,-
6723,SRM,-,chr1,11037236,11042678,-
5394,EXOSC10,-,chr1,11049262,11082525,-
2475,FRAP1,-,chr1,11089179,11245153,-
10218,ANGPTL7,-,chr1,11171985,11178625,-
29914,UBIAD1,-,chr1,11246034,11268929,-
57540,PTCHD2,-,chr1,11461317,11520227,-
26232,FBXO2,-,chr1,11631035,11637326,-
93611,FBXO44,-,chr1,11637019,11645971,-
26270,FBXO6,-,chr1,11646768,11656998,-
10459,MAD2L2,-,chr1,11657124,11663780,-
374946,C1orf187,-,chr1,11674368,11702923,-
57085,AGTRAP,-,chr1,11718729,11733415,-
284498,C1orf167,-,chr1,11744431,11773198,-
4524,MTHFR,-,chr1,11768374,11788702,-
1185,CLCN6,-,chr1,11788881,11825772,-
4878,NPPA,-,chr1,11828363,11830422,-
4879,NPPB,-,chr1,11840108,11841579,-
390997,LOC390997,-,chr1,11860363,11863057,-
26829,RNU5E,-,chr1,11890798,11890916,-
90231,KIAA2013,-,chr1,11902709,11909067,-
5351,PLOD1,-,chr1,11917333,11958181,-
9927,MFN2,-,chr1,11962956,11996152,-
60672,IIP45,-,chr1,12002099,12014693,-
943,TNFRSF8,-,chr1,12046021,12126851,-
7133,TNFRSF1B,-,chr1,12149647,12191864,-
390998,LOC390998,-,chr1,12203436,12213221,-
55187,VPS13D,-,chr1,12212700,12494686,-
9249,DHRS3,-,chr1,12550526,12600407,-
343066,AADACL4,-,chr1,12627153,12649684,-
126767,AADACL3,-,chr1,12698407,12708550,-
93190,C1orf158,-,chr1,12728750,12743689,-
390999,PRAMEF12,-,chr1,12751500,12760636,-
65121,PRAMEF1,-,chr1,12774133,12778810,-
729343,LOC729343,-,chr1,12807055,12815863,-
441870,LOC441870,-,chr1,12819974,12823797,-
343069,HNRPCL1,-,chr1,12829848,12831165,-
65122,PRAMEF2,-,chr1,12839528,12844351,-
400735,PRAMEF4,-,chr1,12861632,12868612,-
343071,PRAMEF10,-,chr1,12875314,12880681,-
441871,PRAMEF7,-,chr1,12900100,12902820,-
729356,LOC729356,-,chr1,12904206,12910749,-
440561,PRAMEF6,-,chr1,12921092,12924935,-
653606,LOC653606,-,chr1,12955803,12961598,-
729368,LOC729368,-,chr1,13031101,13045164,-
441873,LOC441873,-,chr1,13063043,13067919,-
649324,LOC649324,-,chr1,13085232,13088464,-
440563,LOC440563,-,chr1,13105375,13106630,-
645354,LOC645354,-,chr1,13118423,13121654,-
645359,LOC645359,-,chr1,13138943,13142281,-
401940,PRAMEF3,-,chr1,13200783,13204279,-
343068,PRAMEF5,-,chr1,13232406,13241644,-
650236,LOC650236,-,chr1,13251652,13258181,-
391002,PRAMEF8,-,chr1,13259233,13263352,-
645382,LOC645382,-,chr1,13279129,13287069,-
343070,PRAMEF9,-,chr1,13291781,13300778,-
400736,PRAMEF13,-,chr1,13320001,13325243,-
391003,LOC391003,-,chr1,13346640,13353030,-
654348,PRAMEF16,-,chr1,13367722,13370715,-
391001,PRAMEF21,-,chr1,13394550,13399530,-
729516,LOC729516,-,chr1,13480018,13484137,-
645399,LOC645399,-,chr1,13499926,13507866,-
653619,PRAMEF15,-,chr1,13514560,13521575,-
729528,LOC729528,-,chr1,13540999,13546098,-
645414,PRAMEF19,-,chr1,13567476,13573866,-
391004,LOC391004,-,chr1,13588556,13591549,-
645425,PRAMEF20,-,chr1,13615195,13620320,-
126755,LRRC38,-,chr1,13673776,13716440,-
10630,PDPN,-,chr1,13782839,13817039,-
7799,PRDM2,-,chr1,13903937,14024162,-
23254,KIAA1026,-,chr1,14797800,15265161,-
494541,TBCAP2,-,chr1,14891012,14891479,-
399563,FLJ43806,-,chr1,15300684,15317125,-
200197,C1orf126,-,chr1,15315036,15351547,-
55092,TMEM51,-,chr1,15352816,15419459,-
114827,FHAD1,-,chr1,15442755,15597360,-
729482,LOC729482,-,chr1,15608598,15609014,-
79180,EFHD2,-,chr1,15609028,15629422,-
11330,CTRC,-,chr1,15637525,15645740,-
63036,ELA2A,-,chr1,15655811,15671170,-
51032,ELA2B,-,chr1,15675183,15690482,-
842,CASP9,-,chr1,15691378,15723377,-
23341,DNAJC16,-,chr1,15725939,15770814,-
79814,AGMAT,-,chr1,15771739,15784192,-
645317,LOC645317,-,chr1,15802840,15804413,-
84301,DDI2,-,chr1,15816657,15859335,-
6248,RSC1A1,-,chr1,15858951,15860804,-
23207,PLEKHM2,-,chr1,15880613,15933856,-
284723,SLC25A34,-,chr1,15935396,15940471,-
388595,LOC388595,-,chr1,15941504,15947064,-
54751,FBLIM1,-,chr1,15957842,15985671,-
729500,LOC729500,-,chr1,15991809,15992371,-
440567,LOC440567,-,chr1,16006247,16006786,-
441876,LOC441876,-,chr1,16027294,16027821,-
729614,LOC729614,-,chr1,16033147,16034705,-
729509,LOC729509,-,chr1,16046219,16047087,-
23013,SPEN,-,chr1,16046946,16139537,-
7709,ZBTB17,-,chr1,16140951,16175101,-
149563,C1orf64,-,chr1,16203318,16205771,-
27129,HSPB7,-,chr1,16213111,16217538,-
1187,CLCNKA,-,chr1,16221697,16233132,-
440568,LOC440568,-,chr1,16233592,16239912,-
1188,CLCNKB,-,chr1,16242939,16256063,-
348487,C1orf117,-,chr1,16256851,16272682,-
1969,EPHA2,-,chr1,16323419,16355151,-
128272,ARHGEF19,-,chr1,16397186,16411691,-
645634,LOC645634,-,chr1,16415461,16427524,-
79363,C1orf89,-,chr1,16430782,16436033,-
645652,LOC645652,-,chr1,16440234,16446318,-
54455,FBXO42,-,chr1,16449146,16551535,-
26099,C1orf144,-,chr1,16566307,16595451,-
729662,LOC729662,-,chr1,16568232,16568612,-
374955,SPATA21,-,chr1,16597725,16636506,-
55707,NECAP2,-,chr1,16639820,16659160,-
114819,KIAA1922,-,chr1,16674912,16685545,-
729541,LOC729541,-,chr1,16685567,16698726,-
645685,LOC645685,-,chr1,16719810,16724870,-
55672,NBPF1,-,chr1,16763001,16812569,-
729559,LOC729559,-,chr1,16817336,16830368,-
84809,MGC12760,-,chr1,16831365,16843800,-
11209,MSTP2,-,chr1,16845384,16845783,-
729574,LOC729574,-,chr1,16872085,16872594,-
280661,EIF1AP1,-,chr1,16883633,16885305,-
729587,LOC729587,-,chr1,16933034,16933992,-
11223,MSTP9,-,chr1,16954188,16963562,-
11204,MSTP7,-,chr1,16959851,16960261,-
440570,LOC440570,-,chr1,17070027,17073161,-
729604,LOC729604,-,chr1,17087620,17095088,-
9696,CROCC,-,chr1,17121032,17172047,-
4237,MFAP2,-,chr1,17173584,17180668,-
23400,ATP13A2,-,chr1,17185040,17210854,-
6390,SDHB,-,chr1,17217840,17253233,-
11240,PADI2,-,chr1,17267840,17318517,-
29943,PADI1,-,chr1,17404217,17443942,-
51702,PADI3,-,chr1,17448180,17483312,-
23569,PADI4,-,chr1,17507279,17563082,-
353238,PADI6,-,chr1,17571278,17600782,-
55920,RCC2,-,chr1,17605866,17638807,-
55160,ARHGEF10L,-,chr1,17738917,17896957,-
81569,ACTL8,-,chr1,17954431,18026145,-
84966,IGSF21,-,chr1,18306827,18577563,-
127707,KLHDC7A,-,chr1,18680453,18682886,-
391012,LOC391012,-,chr1,18712106,18712476,-
5081,PAX7,-,chr1,18830087,18935219,-
80834,TAS1R2,-,chr1,19038680,19058742,-
8659,ALDH4A1,-,chr1,19070513,19101659,-
729664,LOC729664,-,chr1,19155592,19156308,-
23352,ZUBR1,-,chr1,19273587,19409333,-
23065,KIAA0090,-,chr1,19417171,19450633,-
51154,C1orf33,-,chr1,19450886,19458345,-
246181,AFAR3,-,chr1,19465063,19473022,-
22977,AKR7A3,-,chr1,19481644,19487867,-
8574,AKR7A2,-,chr1,19503046,19511227,-
54896,PQLC2,-,chr1,19511327,19528381,-
832,CAPZB,-,chr1,19537860,19684579,-
644075,LOC644075,-,chr1,19551824,19552864,-
644083,LOC644083,-,chr1,19597960,19600295,-
440574,C1orf151,-,chr1,19796054,19827761,-
644068,LOC644068,-,chr1,19806888,19807725,-
4681,NBL1,-,chr1,19842313,19857532,-
3362,HTR6,-,chr1,19864367,19878642,-
255104,TMCO4,-,chr1,19881320,19998997,-
54546,RNF186,-,chr1,20013109,20014358,-
23252,OTUD3,-,chr1,20081369,20112025,-
30814,PLA2G2E,-,chr1,20119387,20122697,-
5320,PLA2G2A,-,chr1,20174518,20179496,-
5322,PLA2G5,-,chr1,20269425,20290240,-
26279,PLA2G2D,-,chr1,20311019,20318595,-
64600,PLA2G2F,-,chr1,20338406,20349459,-
391013,LOC391013,-,chr1,20348907,20374274,-
127733,UBXD3,-,chr1,20385165,20392529,-
127731,FLJ32784,-,chr1,20490017,20538302,-
729709,LOC729709,-,chr1,20564886,20577135,-
729715,LOC729715,-,chr1,20597225,20612851,-
55450,CAMK2N1,-,chr1,20682519,20684859,-
729728,LOC729728,-,chr1,20684613,20686139,-
79594,C1orf166,-,chr1,20698530,20707241,-
441878,LOC441878,-,chr1,20725069,20725836,-
729736,LOC729736,-,chr1,20750006,20751891,-
163933,FAM43B,-,chr1,20751519,20754087,-
978,CDA,-,chr1,20788031,20817988,-
65018,PINK1,-,chr1,20832535,20850591,-
1650,DDOST,-,chr1,20850857,20860531,-
57576,KIF17,-,chr1,20863096,20917097,-
400745,SH2D5,-,chr1,20917213,20932175,-
50809,HP1BP3,-,chr1,20942215,20979620,-
8672,EIF4G3,-,chr1,21005559,21250074,-
1889,ECE1,-,chr1,21418939,21489494,-
729765,LOC729765,-,chr1,21610567,21612573,-
343381,NBPF2P,-,chr1,21622188,21627040,-
728969,LOC728969,-,chr1,21627267,21631321,-
650218,LOC650218,-,chr1,21629243,21636694,-
84224,NBPF3,-,chr1,21639218,21683980,-
249,ALPL,-,chr1,21708456,21777489,-
5909,RAP1GAP,-,chr1,21795302,21868386,-
84196,USP48,-,chr1,21877378,21982275,-
401944,LDLRAD2,-,chr1,22011345,22024301,-
3339,HSPG2,-,chr1,22021324,22136337,-
440575,LOC440575,-,chr1,22107128,22107710,-
23436,ELA3B,-,chr1,22176005,22188434,-
10136,ELA3A,-,chr1,22200736,22211622,-
998,CDC42,-,chr1,22251707,22292023,-
729796,LOC729796,-,chr1,22267378,22267994,-
54361,WNT4,-,chr1,22318786,22342197,-
343384,LOC343384,-,chr1,22521920,22522411,-
9923,ZBTB40,-,chr1,22650937,22727567,-
2046,EPHA8,-,chr1,22762591,22802674,-
712,C1QA,-,chr1,22835705,22838762,-
714,C1QC,-,chr1,22842734,22847190,-
713,C1QB,-,chr1,22852269,22860616,-
2048,EPHB2,-,chr1,22910045,23114405,-
729827,LOC729827,-,chr1,23123571,23123822,-
646262,LOC646262,-,chr1,23152123,23172111,-
729059,LOC729059,-,chr1,23209914,23214930,-
23028,AOF2,-,chr1,23218533,23282771,-
7798,LUZP1,-,chr1,23284038,23367925,-
3352,HTR1D,-,chr1,23390975,23393809,-
391019,LOC391019,-,chr1,23443820,23444311,-
10236,HNRPR,-,chr1,23508863,23543371,-
729844,LOC729844,-,chr1,23542727,23543325,-
80818,ZNF436,-,chr1,23559055,23567466,-
148898,LOC148898,-,chr1,23568051,23570866,-
6920,TCEA3,-,chr1,23580142,23623848,-
55616,DDEFL1,-,chr1,23627643,23683258,-
1870,E2F2,-,chr1,23705509,23730300,-
3399,ID3,-,chr1,23757043,23758872,-
729856,LOC729856,-,chr1,23869855,23875710,-
6135,RPL11,-,chr1,23890881,23895502,-
6924,TCEB3,-,chr1,23942549,23958974,-
57095,C1orf128,-,chr1,23977470,23987309,-
11313,LYPLA2,-,chr1,23990233,23994616,-
2582,GALE,-,chr1,23994676,23999881,-
3155,HMGCL,-,chr1,24000954,24024536,-
2517,FUCA1,-,chr1,24044161,24067362,-
1269,CNR2,-,chr1,24073047,24112404,-
646330,LOC646330,-,chr1,24100548,24108162,-
55629,PNRC2,-,chr1,24158917,24162518,-
10772,FUSIP1,-,chr1,24165526,24179408,-
127295,LOC127295,-,chr1,24206117,24207596,-
127294,MYOM3,-,chr1,24255122,24294080,-
58985,IL22RA1,-,chr1,24318848,24342198,-
163702,IL28RA,-,chr1,24353234,24386338,-
57822,GRHL3,-,chr1,24518468,24554395,-
90529,C1orf201,-,chr1,24556076,24600536,-
57185,NPAL3,-,chr1,24614903,24671997,-
11123,DSCR1L2,-,chr1,24701974,24735015,-
400746,C1orf130,-,chr1,24755189,24808403,-
10250,SRRM1,-,chr1,24842181,24872348,-
25932,CLIC4,-,chr1,24944435,25043346,-
650612,LOC650612,-,chr1,25047307,25047933,-
864,RUNX3,-,chr1,25098645,25164062,-
391020,LOC391020,-,chr1,25324131,25324532,-
25949,SYF2,-,chr1,25421351,25431590,-
57035,C1orf63,-,chr1,25441327,25446572,-
6007,RHD,-,chr1,25471568,25529523,-
29768,SDHDP6,-,chr1,25492440,25493731,-
23585,TMEM50A,-,chr1,25537398,25561439,-
6006,RHCE,-,chr1,25561327,25619950,-
388606,SDHDP7,-,chr1,25597789,25599078,-
55219,TMEM57,-,chr1,25630006,25698516,-
26119,LDLRAP1,-,chr1,25742753,25767964,-
57134,MAN1C1,-,chr1,25816546,25983528,-
57190,SEPN1,-,chr1,25999254,26017300,-
646471,LOC646471,-,chr1,26019032,26021841,-
56181,FAM54B,-,chr1,26019271,26032016,-
79000,C1orf135,-,chr1,26033084,26058435,-
164091,PAQR7,-,chr1,26060562,26070331,-
149421,FLJ32206,-,chr1,26083259,26091685,-
3925,STMN1,-,chr1,26099194,26105955,-
5051,PAFAH2,-,chr1,26159902,26197235,-
2134,EXTL1,-,chr1,26220858,26235519,-
7780,SLC30A2,-,chr1,26237101,26245191,-
84676,TRIM63,-,chr1,26250385,26266708,-
149420,PDIK1L,-,chr1,26310913,26324628,-
79927,GRRP1,-,chr1,26358098,26361705,-
51042,ZNF593,-,chr1,26361096,26369951,-
729921,LOC729921,-,chr1,26363239,26367577,-
10256,CNKSR1,-,chr1,26376590,26388962,-
378807,CATSPER4,-,chr1,26389706,26401620,-
64793,CCDC21,-,chr1,26433280,26477886,-
359780,MRPS6P1,-,chr1,26462113,26462476,-
83442,SH3BGRL3,-,chr1,26479031,26480600,-
91544,UBXD5,-,chr1,26481360,26505723,-
1043,CD52,-,chr1,26516998,26519601,-
644849,FLJ38020,-,chr1,26520937,26542929,-
55057,AIM1L,-,chr1,26520959,26553208,-
257101,ZNF683,-,chr1,26560712,26571853,-
79727,LIN28,-,chr1,26609856,26628806,-
79947,DHDDS,-,chr1,26631389,26670384,-
729301,LOC729301,-,chr1,26653664,26654304,-
3151,HMGN2,-,chr1,26671501,26675050,-
6195,RPS6KA1,-,chr1,26728836,26774107,-
8289,ARID1A,-,chr1,26895112,26981182,-
55650,PIGV,-,chr1,26987073,26997474,-
645118,LOC645118,-,chr1,27016378,27021785,-
84243,ZDHHC18,-,chr1,27025788,27054795,-
2810,SFN,-,chr1,27062220,27063534,-
54707,ATPBD1B,-,chr1,27078460,27089456,-
63906,GPATC3,-,chr1,27089567,27099544,-
8431,NR0B2,-,chr1,27110566,27113047,-
10726,NUDC,-,chr1,27120811,27145474,-
126695,C1orf172,-,chr1,27148648,27159484,-
401945,LOC401945,-,chr1,27157919,27159648,-
646567,LOC646567,-,chr1,27184839,27185418,-
388610,LOC388610,-,chr1,27192785,27199734,-
115572,FAM46B,-,chr1,27204098,27211914,-
6548,SLC9A1,-,chr1,27297894,27353990,-
729955,LOC729955,-,chr1,27368069,27376355,-
646572,LOC646572,-,chr1,27399099,27400685,-
440577,LOC440577,-,chr1,27405894,27406953,-
23038,WDTC1,-,chr1,27433746,27507322,-
84065,C1orf160,-,chr1,27521309,27535478,-
644961,LOC644961,-,chr1,27521382,27525624,-
84958,SYTL1,-,chr1,27541100,27553008,-
9064,MAP3K6,-,chr1,27554257,27565924,-
8547,FCN3,-,chr1,27568188,27573902,-
388611,CD164L2,-,chr1,27578253,27582380,-
2827,GPR3,-,chr1,27591739,27594905,-
10163,WASF2,-,chr1,27604713,27689256,-
27245,AHDC1,-,chr1,27733758,27802691,-
2268,FGR,-,chr1,27811396,27823160,-
729973,LOC729973,-,chr1,27847556,27849046,-
2537,IFI6,-,chr1,27865159,27871311,-
646597,LOC646597,-,chr1,27885907,27886538,-
199870,FAM76A,-,chr1,27925077,27960702,-
23673,STX12,-,chr1,27968319,28023403,-
5511,PPP1R8,-,chr1,28029880,28050770,-
677774,SCARNA1,-,chr1,28033499,28033664,-
9473,C1orf38,-,chr1,28071642,28085780,-
6118,RPA2,-,chr1,28090636,28113823,-
27293,SMPDL3B,-,chr1,28134091,28158250,-
55113,XKR8,-,chr1,28159091,28167191,-
2140,EYA3,-,chr1,28173406,28287718,-
653566,LOC653566,-,chr1,28294137,28299495,-
5724,PTAFR,-,chr1,28348425,28375778,-
22826,DNAJC8,-,chr1,28399655,28432122,-
93974,ATPIF1,-,chr1,28435198,28437198,-
83667,SESN2,-,chr1,28458593,28481589,-
54797,MED18,-,chr1,28528136,28535063,-
65979,PHACTR4,-,chr1,28637269,28699407,-
1104,RCC1,-,chr1,28705155,28738089,-
6080,SNORA73A,-,chr1,28706464,28706670,-
54952,TRSPAP1,-,chr1,28752192,28777638,-
677838,SNORA61,-,chr1,28778863,28778992,-
677825,SNORA44,-,chr1,28779480,28779611,-
692073,SNORA16A,-,chr1,28780019,28780152,-
115273,RAB42,-,chr1,28791299,28793685,-
6883,TAF12,-,chr1,28802200,28842172,-
10691,GMEB1,-,chr1,28867831,28913985,-
51441,YTHDF2,-,chr1,28936070,28968874,-
4985,OPRD1,-,chr1,29011241,29062795,-
2035,EPB41,-,chr1,29086215,29319545,-
399474,TTMB,-,chr1,29318531,29321291,-
6429,SFRS4,-,chr1,29346946,29380948,-
51102,MECR,-,chr1,29391972,29430041,-
10076,PTPRU,-,chr1,29435611,29525899,-
391025,LOC391025,-,chr1,29687220,29696027,-
4146,MATN1,-,chr1,30958583,30969474,-
7805,LAPTM5,-,chr1,30977903,31003254,-
9672,SDC3,-,chr1,31118567,31166301,-
9698,PUM1,-,chr1,31176940,31311151,-
28997,PRO0611,-,chr1,31233499,31234068,-
23679,SEPW1P,-,chr1,31339786,31341306,-
79570,FAM77C,-,chr1,31425180,31433587,-
9410,WDR57,-,chr1,31505107,31542200,-
51538,ZCCHC17,-,chr1,31542429,31610367,-
2170,FABP3,-,chr1,31610687,31618510,-
347735,SERINC2,-,chr1,31658550,31680112,-
441880,LOC441880,-,chr1,31733019,31734484,-
149086,LOC149086,-,chr1,31744136,31747766,-
64129,TINAGL1,-,chr1,31814747,31825874,-
3061,HCRTR1,-,chr1,31857228,31865301,-
553115,PEF1,-,chr1,31868058,31883064,-
1307,COL16A1,-,chr1,31890435,31942236,-
576,BAI2,-,chr1,31965306,32002223,-
90853,SPOCD1,-,chr1,32028612,32054167,-
8073,PTP4A2,-,chr1,32146380,32176575,-
