3-beta-hydroxysteroid dehydrogenase, type II, deficiency	3-beta-hydroxysteroid dehydrogenase
Charcot-Marie-Tooth neuropathy, demyelinating	Charcot-Marie-Tooth neuropathy
Charcot-Marie-Tooth neuropathy, type 2A	Charcot-Marie-Tooth neuropathy
Charcot-Marie-Tooth neuropathy, type 2D	Charcot-Marie-Tooth neuropathy
Cholestasis, benign recurrent intrahepatic	Cholestasis
Cholestasis, familial intrahepatic, of pregnancy	Cholestasis
Cholestasis, progressive familial intrahepatic, type III	Cholestasis
Cholestasis, progressive familial intrahepatic-1	Cholestasis
Chondrocalcinosis 2	Chondrocalcinosis
Chondrodysplasia punctata, X-linked dominant	Chondrodysplasia punctata
Chondrodysplasia punctata, X-linked recessive	Chondrodysplasia punctata
Chondrodysplasia punctata, rhizomelic, type 2	Chondrodysplasia punctata
Chondrodysplasia, Grebe type	Chondrodysplasia
Chondrosarcoma, extraskeletal myxoid	Chondrosarcoma
Chorea, hereditary benign	Chorea
Choreoathetosis, familial paroxysmal	Choreoathetosis
Choreoathetosis/spasticity, episodic	Choreoathetosis/spasticity
Chorioretinal atrophy, progressive bifocal	Chorioretinal atrophy
Choroidal dystrophy, central areolar	Choroidal dystrophy
Chronic granulomatous disease due to deficiency of NCF-1	Chronic granulomatous disease due to deficiency of NCF
Chronic granulomatous disease due to deficiency of NCF-2	Chronic granulomatous disease due to deficiency of NCF
Chronic granulomatous disease, X-linked	Chronic granulomatous disease
Chronic granulomatous disease, autosomal, due to deficiency of CYBA	Chronic granulomatous disease
Chronic infections, due to opsonin defect	Chronic infections
Chylomicronemia syndrome, familial	Chylomicronemia syndrome
Ciliary diskinesia, primary, 2	Ciliary diskinesia
Cirrhosis, North American Indian childhood type	Cirrhosis
Cirrhosis, cryptogenic	Cirrhosis
Citrullinemia, adult-onset type II	Citrullinemia
Citrullinemia, type II, neonatal-onset	Citrullinemia
Cleft palate, X-linked	Cleft palate
Cleft palate, isolated	Cleft palate
Cockayne syndrome-1	Cockayne syndrome
Cockayne syndrome-2, type B	Cockayne syndrome
Cold-induced autoinflammatory syndrome, familial	Cold-induced autoinflammatory syndrome
Coloboma, ocular	Coloboma
Colon cancer, advanced	Colon cancer
Colon cancer, hereditary nonpolypopsis	Colon cancer
Colon cancer, somatic	Colon cancer
Colonic aganglionosis, total, with small bowel involvement	Colonic aganglionosis
Colorblindness, deutan	Colorblindness
Colorblindness, protan	Colorblindness
Colorblindness, tritan	Colorblindness
Colorectal cancer, hereditary nonpolyposis, type 1	Colorectal cancer
Colorectal cancer, hereditary nonpolyposis, type 2	Colorectal cancer
Colorectal cancer, hereditary nonpolyposis, type 3	Colorectal cancer
Colorectal cancer, hereditary nonpolyposis, type 4	Colorectal cancer
Colorectal cancer, hereditary nonpolyposis, type 5	Colorectal cancer
Colorectal cancer, hereditary nonpolyposis, type 6	Colorectal cancer
Colorectal cancer, hereditary nonpolyposis, type 7	Colorectal cancer
Colorectal cancer, resistance to	Colorectal cancer
Colorectal cancer, somatic	Colorectal cancer
Colorectal cancer, susceptibility to	Colorectal cancer
Combined hyperlipemia, familial	Combined hyperlipemia
Combined immunodeficiency, X-linked, moderate	Combined immunodeficiency
Cone dystrophy, progressive	Cone dystrophy
Cone dystrophy, progressive X-linked, 2	Cone dystrophy
Cone dystrophy-1	Cone dystrophy
Cone dystrophy-3	Cone dystrophy
Cone-rod dystrophy 3	Cone-rod dystrophy
Cone-rod dystrophy 6	Cone-rod dystrophy
Cone-rod dystrophy 8	Cone-rod dystrophy
Cone-rod dystrophy-7	Cone-rod dystrophy
Cone-rod retinal dystrophy-1	Cone-rod retinal dystrophy
Cone-rod retinal dystrophy-2	Cone-rod retinal dystrophy
Congenital anomalies, susceptibility to	Congenital anomalies
Congenital cataract, facial dysmorphism, and neuropathy syndrome	Congenital cataract
Congenital disorder of glycosylation, type IIc	Congenital disorder of glycosylation
Congenital disorder of glycosylation, type IId	Congenital disorder of glycosylation
Congenital disorder of glycosylation, type Ic	Congenital disorder of glycosylation
Congenital disorder of glycosylation, type Id	Congenital disorder of glycosylation
Congenital disorder of glycosylation, type Ig	Congenital disorder of glycosylation
Congenital hereditary endothelial dystrophy of cornea, autosomal dominant	Congenital hereditary endothelial dystrophy of cornea
Congenital hereditary endothelial dystrophy of cornea, autosomal recessive	Congenital hereditary endothelial dystrophy of cornea
Congestive heart failure, susceptibility to	Congestive heart failure
Conjunctivitis, ligneous	Conjunctivitis
Contractural arachnodactyly, congenital	Contractural arachnodactyly
Convulsions, benign familial infantile	Convulsions
Convulsions, benign familial infantile, 2	Convulsions
Convulsions, benign familial infantile, 3	Convulsions
Convulsions, familial febrile, 1	Convulsions
Convulsions, familial febrile, 2	Convulsions
Convulsions, familial febrile, 3	Convulsions
Convulsions, familial febrile, 4	Convulsions
Convulsions, infantile and paroxysmal choreoathetosis	Convulsions
Cornea plana congenita, recessive	Cornea plana congenita
Corneal clouding, autosomal recessive	Corneal clouding
Corneal dystrophy and perceptive deafness 1	Corneal dystrophy and perceptive deafness
Corneal dystrophy, Avellino type	Corneal dystrophy
Corneal dystrophy, Groenouw type I	Corneal dystrophy
Corneal dystrophy, Reis-Bucklers type	Corneal dystrophy
Corneal dystrophy, Thiel-Behnke type	Corneal dystrophy
Corneal dystrophy, crystalline, Schnyder	Corneal dystrophy
Corneal dystrophy, gelatinous drop-like	Corneal dystrophy
Corneal dystrophy, hereditary polymorphous posterior	Corneal dystrophy
Corneal dystrophy, lattice type I	Corneal dystrophy
Corneal dystrophy, lattice type IIIA	Corneal dystrophy
Coronary artery disease, susceptibility to	Coronary artery disease
Coronary artery spasm, susceptibility to	Coronary artery spasm
Coronary heart disease, susceptibility to	Coronary heart disease
Coronary spasm, susceptibility to	Coronary spasm
Cramps, familial, potassium-aggravated	Cramps
Craniometaphyseal dysplasia, autosomal recessive	Craniometaphyseal dysplasia
Craniosynostosis, Adelaide type	Craniosynostosis
Craniosynostosis, nonspecific	Craniosynostosis
Craniosynostosis, type 1	Craniosynostosis
Craniosynostosis, type 2	Craniosynostosis
Creatine deficiency syndrome, X-linked	Creatine deficiency syndrome
Creatine kinase, brain type, ectopic expression of	Creatine kinase
Creatine phosphokinase, elevated serum	Creatine phosphokinase
Creutzfeldt-Jakob disease, variant, resistance to	Creutzfeldt-Jakob disease
Crigler-Najjar syndrome, type I	Crigler-Najjar syndrome
Crigler-Najjar syndrome, type II	Crigler-Najjar syndrome
Cryptorchidism, idiopathic	Cryptorchidism
Cutis laxa, autosomal recessive	Cutis laxa
Cutis laxa, neonatal	Cutis laxa
Cutis laxa, recessive, type I	Cutis laxa
Cylindromatosis, familial	Cylindromatosis
Cystinosis, atypical nephropathic	Cystinosis
Cystinosis, late-onset juvenile or adolescent nephropathic	Cystinosis
Cystinosis, nephropathic	Cystinosis
Cystinosis, ocular nonnephropathic	Cystinosis
Cystinuria, type II	Cystinuria
Cystinuria, type III	Cystinuria
Deafness autosomal dominant 26	Deafness autosomal dominant
Deafness, X-linked 1, progressive	Deafness
Deafness, X-linked 2, perceptive congenital	Deafness
Deafness, X-linked 3, conductive, with stapes fixation	Deafness
Deafness, X-linked 4, congenital sensorineural	Deafness
Deafness, X-linked 6, sensorineural	Deafness
Deafness, autosomal dominant 1	Deafness
Deafness, autosomal dominant 10	Deafness
Deafness, autosomal dominant 11, neurosensory	Deafness
Deafness, autosomal dominant 12	Deafness
Deafness, autosomal dominant 13	Deafness
Deafness, autosomal dominant 15	Deafness
Deafness, autosomal dominant 16	Deafness
Deafness, autosomal dominant 17	Deafness
Deafness, autosomal dominant 18	Deafness
Deafness, autosomal dominant 2	Deafness
Deafness, autosomal dominant 20	Deafness
Deafness, autosomal dominant 22	Deafness
Deafness, autosomal dominant 23	Deafness
Deafness, autosomal dominant 24	Deafness
Deafness, autosomal dominant 25	Deafness
Deafness, autosomal dominant 3	Deafness
Deafness, autosomal dominant 30	Deafness
Deafness, autosomal dominant 36	Deafness
Deafness, autosomal dominant 4	Deafness
Deafness, autosomal dominant 40	Deafness
Deafness, autosomal dominant 44	Deafness
Deafness, autosomal dominant 5	Deafness
Deafness, autosomal dominant 7	Deafness
Deafness, autosomal dominant 8	Deafness
Deafness, autosomal dominant 9	Deafness
Deafness, autosomal dominant, with peripheral neuropathy	Deafness
Deafness, autosomal recessive	Deafness
Deafness, autosomal recessive 1	Deafness
Deafness, autosomal recessive 10, congenital	Deafness
Deafness, autosomal recessive 12	Deafness
Deafness, autosomal recessive 13	Deafness
Deafness, autosomal recessive 14	Deafness
Deafness, autosomal recessive 15	Deafness
Deafness, autosomal recessive 16	Deafness
Deafness, autosomal recessive 17	Deafness
Deafness, autosomal recessive 18	Deafness
Deafness, autosomal recessive 2, neurosensory	Deafness
Deafness, autosomal recessive 20	Deafness
Deafness, autosomal recessive 21	Deafness
Deafness, autosomal recessive 22	Deafness
Deafness, autosomal recessive 26	Deafness
Deafness, autosomal recessive 27	Deafness
Deafness, autosomal recessive 29	Deafness
Deafness, autosomal recessive 3	Deafness
Deafness, autosomal recessive 30	Deafness
Deafness, autosomal recessive 31	Deafness
Deafness, autosomal recessive 33	Deafness
Deafness, autosomal recessive 4	Deafness
Deafness, autosomal recessive 5	Deafness
Deafness, autosomal recessive 6	Deafness
Deafness, autosomal recessive 7	Deafness
Deafness, autosomal recessive 8, childhood onset	Deafness
Deafness, autosomal recessive 9	Deafness
Deafness, congenital heart defects, and posterior embryotoxon	Deafness
Deafness, nonsyndromic neurosensory, digenic	Deafness
Deafness, nonsyndromic, modifier 1	Deafness
Deafness, sensorineural, autosomal-mitochondrial	Deafness
Dehydrated hereditary stomatocytosis, pseudohyperkalemia, and perinatal edema	Dehydrated hereditary stomatocytosis
Dejerine-Sottas disease, myelin P-zero-related	Dejerine-Sottas disease
Dejerine-Sottas neuropathy, autosomal recessive	Dejerine-Sottas neuropathy
Dementia, Pick disease-like	Dementia
Dementia, familial British	Dementia
Dementia, familial Danish	Dementia
Dementia, familial, nonspecific	Dementia
Dementia, frontotemporal	Dementia
Dementia, frontotemporal, with parkinsonism	Dementia
Dental anomalies, isolated	Dental anomalies
Dentin dysplasia, type II	Dentin dysplasia
Dentinogenesis imperfecta-1	Dentinogenesis imperfecta
Dermatitis, atopic	Dermatitis
Desmoid disease, hereditary	Desmoid disease
DiGeorge syndrome/velocardiofacial syndrome complex-2	DiGeorge syndrome/velocardiofacial syndrome complex
Diabetes insipidus, nephrogenic	Diabetes insipidus
Diabetes insipidus, nephrogenic, autosomal dominant	Diabetes insipidus
Diabetes insipidus, nephrogenic, autosomal recessive	Diabetes insipidus
Diabetes insipidus, neurohypophyseal	Diabetes insipidus
Diabetes mellitus, insulin-dependent	Diabetes mellitus
Diabetes mellitus, insulin-dependent, 10	Diabetes mellitus
Diabetes mellitus, insulin-dependent, 11	Diabetes mellitus
Diabetes mellitus, insulin-dependent, 12	Diabetes mellitus
Diabetes mellitus, insulin-dependent, 13	Diabetes mellitus
Diabetes mellitus, insulin-dependent, 15	Diabetes mellitus
Diabetes mellitus, insulin-dependent, 17	Diabetes mellitus
