'de novo' IMP biosynthesis	IMP biosynthesis
1\,2\,4-trichlorobenzene metabolism	benzene and derivative metabolism
1\,2\,4-trichlorobenzene metabolism	chlorinated hydrocarbon metabolism
1\,3-dichloro-2-propanol biosynthesis	1\,3-dichloro-2-propanol metabolism
1\,3-dichloro-2-propanol biosynthesis	amino acid derivative biosynthesis
1\,3-dichloro-2-propanol catabolism	1\,3-dichloro-2-propanol metabolism
1\,3-dichloro-2-propanol catabolism	amino acid derivative catabolism
1\,3-dichloro-2-propanol metabolism	alcohol metabolism
1\,3-dichloro-2-propanol metabolism	amino acid derivative metabolism
1\,3-dichloropropene metabolism	chlorinated hydrocarbon metabolism
1\,4-dichlorobenzene catabolism	1\,4-dichlorobenzene metabolism
1\,4-dichlorobenzene catabolism	chlorinated hydrocarbon catabolism
1\,4-dichlorobenzene metabolism	benzene and derivative metabolism
1\,4-dichlorobenzene metabolism	chlorinated hydrocarbon metabolism
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthesis	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA metabolism
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthesis	coenzyme biosynthesis
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA metabolism	coenzyme metabolism
2'-deoxyribonucleotide biosynthesis	2'-deoxyribonucleotide metabolism
2'-deoxyribonucleotide biosynthesis	deoxyribonucleotide biosynthesis
2'-deoxyribonucleotide metabolism	deoxyribonucleotide metabolism
2-aminobenzenesulfonate catabolism	2-aminobenzenesulfonate metabolism
2-aminobenzenesulfonate catabolism	aromatic compound catabolism
2-aminobenzenesulfonate catabolism	xenobiotic catabolism
2-aminobenzenesulfonate desulfonation	2-aminobenzenesulfonate metabolism
2-aminobenzenesulfonate metabolism	amine metabolism
2-aminobenzenesulfonate metabolism	benzene and derivative metabolism
2-aminobenzenesulfonate metabolism	organic acid metabolism
2-aminobenzenesulfonate metabolism	sulfur metabolism
2-aminobenzoate catabolism	2-aminobenzoate metabolism
2-aminobenzoate catabolism	xenobiotic catabolism
2-aminobenzoate metabolism	amine metabolism
2-aminobenzoate metabolism	benzoate metabolism
2-aminoethylphosphonate catabolism	2-aminoethylphosphonate metabolism
2-aminoethylphosphonate catabolism	phosphonate catabolism
2-aminoethylphosphonate metabolism	amine metabolism
2-aminoethylphosphonate metabolism	phosphonate metabolism
2-chloro-N-isopropylacetanilide catabolism	2-chloro-N-isopropylacetanilide metabolism
2-chloro-N-isopropylacetanilide catabolism	chlorinated hydrocarbon catabolism
2-chloro-N-isopropylacetanilide metabolism	benzene and derivative metabolism
2-chloro-N-isopropylacetanilide metabolism	chlorinated hydrocarbon metabolism
2-deoxyribose 1-phosphate biosynthesis	2-deoxyribose 1-phosphate metabolism
2-deoxyribose 1-phosphate biosynthesis	deoxyribose phosphate biosynthesis
2-deoxyribose 1-phosphate metabolism	deoxyribose phosphate metabolism
2-keto-3-deoxygluconate transport	transport
2-micrometer plasmid partitioning	plasmid partitioning
2-nitropropane catabolism	2-nitropropane metabolism
2-nitropropane catabolism	xenobiotic catabolism
2-nitropropane metabolism	nitrogen metabolism
2-nitropropane metabolism	xenobiotic metabolism
2-oxobutyrate biosynthesis	2-oxobutyrate metabolism
2-oxobutyrate biosynthesis	butyrate biosynthesis
2-oxobutyrate catabolism	2-oxobutyrate metabolism
2-oxobutyrate catabolism	butyrate catabolism
2-oxobutyrate metabolism	butyrate metabolism
2-oxobutyrate metabolism	ketone metabolism
2-oxoglutarate metabolism	TCA intermediate metabolism
2-oxoglutarate metabolism	carboxylic acid metabolism
2-oxoglutarate metabolism	ketone metabolism
2\,4-dichlorobenzoate catabolism	2\,4-dichlorobenzoate metabolism
2\,4-dichlorobenzoate catabolism	chlorinated hydrocarbon catabolism
2\,4-dichlorobenzoate metabolism	benzoate metabolism
2\,4-dichlorobenzoate metabolism	chlorinated hydrocarbon metabolism
2\,4-dichlorophenoxyacetic acid catabolism	2\,4-dichlorophenoxyacetic acid metabolism
2\,4-dichlorophenoxyacetic acid catabolism	chlorinated hydrocarbon catabolism
2\,4-dichlorophenoxyacetic acid metabolism	benzene and derivative metabolism
2\,4-dichlorophenoxyacetic acid metabolism	carboxylic acid metabolism
2\,4-dichlorophenoxyacetic acid metabolism	chlorinated hydrocarbon metabolism
2\,4-dichlorophenoxyacetic acid metabolism	organic ether metabolism
2\,4\,5-trichlorophenoxyacetic acid catabolism	2\,4\,5-trichlorophenoxyacetic acid metabolism
2\,4\,5-trichlorophenoxyacetic acid catabolism	aromatic compound catabolism
2\,4\,5-trichlorophenoxyacetic acid catabolism	chlorinated hydrocarbon catabolism
2\,4\,5-trichlorophenoxyacetic acid metabolism	benzene and derivative metabolism
2\,4\,5-trichlorophenoxyacetic acid metabolism	carboxylic acid metabolism
2\,4\,5-trichlorophenoxyacetic acid metabolism	chlorinated hydrocarbon metabolism
2\,4\,5-trichlorophenoxyacetic acid metabolism	organic ether metabolism
2\,4\,6-trinitrotoluene catabolism	2\,4\,6-trinitrotoluene metabolism
2\,4\,6-trinitrotoluene catabolism	trinitrotoluene catabolism
2\,4\,6-trinitrotoluene metabolism	trinitrotoluene metabolism
2\,5-dihydroxypyridine utilization	pyridine metabolism
3'-phosphoadenosine 5'-phosphosulfate transport	purine nucleoside transport
3'-splice site cleavage\, exon ligation	mRNA splicing
3-(3-hydroxy)phenylpropionate catabolism	3-(3-hydroxy)phenylpropionate metabolism
3-(3-hydroxy)phenylpropionate catabolism	3-phenylpropionate catabolism
3-(3-hydroxy)phenylpropionate metabolism	3-phenylpropionate metabolism
3-chloroacrylic acid metabolism	carboxylic acid metabolism
3-chloroacrylic acid metabolism	chlorinated hydrocarbon metabolism
3-hydroxybenzyl alcohol metabolism	phenol metabolism
3-hydroxyphenyl propanoate transport	propionate transport
3-hydroxyphenylacetate catabolism	3-hydroxyphenylacetate metabolism
3-hydroxyphenylacetate catabolism	aromatic compound catabolism
3-hydroxyphenylacetate catabolism	xenobiotic catabolism
3-hydroxyphenylacetate metabolism	benzene and derivative metabolism
3-hydroxyphenylacetate metabolism	carboxylic acid metabolism
3-hydroxyphenylacetate metabolism	phenol metabolism
3-keto-sphinganine metabolism	amine metabolism
3-keto-sphinganine metabolism	ketone metabolism
3-keto-sphinganine metabolism	sphingoid metabolism
3-methylquinoline catabolism	3-methylquinoline metabolism
3-methylquinoline catabolism	xenobiotic catabolism
3-methylquinoline metabolism	benzene and derivative metabolism
3-methylquinoline metabolism	heterocycle metabolism
3-phenylpropionate catabolism	3-phenylpropionate metabolism
3-phenylpropionate catabolism	xenobiotic catabolism
3-phenylpropionate metabolism	benzene and derivative metabolism
3-phenylpropionate metabolism	carboxylic acid metabolism
35S primary transcript processing	rRNA processing
4-amino-3-isothiazolidinone biosynthesis	heterocycle biosynthesis
4-carboxy-4'-sulfoazobenzene metabolism	benzene and derivative metabolism
4-carboxy-4'-sulfoazobenzene metabolism	sulfur metabolism
4-chlorobiphenyl metabolism	biphenyl metabolism
4-chlorobiphenyl metabolism	chlorinated hydrocarbon metabolism
4-hydroxyproline biosynthesis	4-hydroxyproline metabolism
4-hydroxyproline biosynthesis	amine biosynthesis
4-hydroxyproline biosynthesis	amino acid derivative biosynthesis
4-hydroxyproline catabolism	4-hydroxyproline metabolism
4-hydroxyproline catabolism	amine catabolism
4-hydroxyproline catabolism	amino acid derivative catabolism
4-hydroxyproline metabolism	amine metabolism
4-hydroxyproline metabolism	amino acid derivative metabolism
4-hydroxyproline metabolism	heterocycle metabolism
4-nitrophenol catabolism	4-nitrophenol metabolism
4-nitrophenol catabolism	phenol catabolism
4-nitrophenol catabolism	xenobiotic catabolism
4-nitrophenol metabolism	benzene and derivative metabolism
4-nitrophenol metabolism	phenol metabolism
4-nitrotoluene catabolism	4-nitrotoluene metabolism
4-nitrotoluene catabolism	nitrotoluene catabolism
4-nitrotoluene metabolism	nitrotoluene metabolism
4-toluenecarboxylate catabolism	4-toluenecarboxylate metabolism
4-toluenecarboxylate catabolism	toluene catabolism
4-toluenecarboxylate metabolism	carboxylic acid metabolism
4-toluenecarboxylate metabolism	toluene metabolism
5-formyltetrahydrofolate transport	folate transport
5-methylcytosine biosynthesis	5-methylcytosine metabolism
5-methylcytosine biosynthesis	pyrimidine base biosynthesis
5-methylcytosine catabolism	5-methylcytosine metabolism
5-methylcytosine catabolism	pyrimidine base catabolism
5-methylcytosine metabolism	pyrimidine base metabolism
5-phosphoribose 1-diphosphate biosynthesis	5-phosphoribose 1-diphosphate metabolism
5-phosphoribose 1-diphosphate biosynthesis	ribose phosphate biosynthesis
5-phosphoribose 1-diphosphate metabolism	ribose phosphate metabolism
5S class rRNA transcription	rRNA transcription
5S class rRNA transcription	transcription from Pol III promoter
5\,10-methyltetrahydrofolate oxidation	electron transport
6-hydroxycineole catabolism	6-hydroxycineole metabolism
6-hydroxycineole catabolism	alcohol catabolism
6-hydroxycineole catabolism	xenobiotic catabolism
6-hydroxycineole metabolism	alcohol metabolism
6-hydroxycineole metabolism	organic ether metabolism
6-phosphofructokinase reduction	electron transport
7-methylguanosine biosynthesis	7-methylguanosine metabolism
7-methylguanosine biosynthesis	guanosine biosynthesis
7-methylguanosine catabolism	7-methylguanosine metabolism
7-methylguanosine catabolism	guanosine catabolism
7-methylguanosine metabolism	guanosine metabolism
ADP biosynthesis	ADP metabolism
ADP biosynthesis	purine ribonucleoside diphosphate biosynthesis
ADP catabolism	ADP metabolism
ADP catabolism	purine ribonucleoside diphosphate catabolism
ADP metabolism	purine ribonucleoside diphosphate metabolism
ADP phosphorylation	ATP biosynthesis
ADP phosphorylation	nucleoside diphosphate phosphorylation
ADP reduction	ADP metabolism
ADP reduction	purine ribonucleoside diphosphate catabolism
ADP transport	purine nucleotide transport
AMP biosynthesis	AMP metabolism
AMP biosynthesis	purine ribonucleoside monophosphate biosynthesis
AMP catabolism	AMP metabolism
AMP catabolism	purine ribonucleoside monophosphate catabolism
AMP metabolism	purine ribonucleoside monophosphate metabolism
AMP phosphorylation	ATP biosynthesis
AMP phosphorylation	nucleoside monophosphate phosphorylation
ATP biosynthesis	ATP metabolism
ATP biosynthesis	coenzyme biosynthesis
ATP biosynthesis	nucleoside phosphate metabolism
ATP biosynthesis	purine ribonucleoside triphosphate biosynthesis
ATP catabolism	ATP metabolism
ATP catabolism	purine ribonucleoside triphosphate catabolism
ATP hydrolysis coupled proton transport	energy coupled proton transport\, against the electrochemical gradient
ATP metabolism	coenzyme metabolism
ATP metabolism	purine ribonucleoside triphosphate metabolism
ATP regeneration	ATP biosynthesis
ATP synthesis coupled electron transport	electron transport
ATP synthesis coupled electron transport	oxidative phosphorylation
ATP synthesis coupled electron transport	phosphorylation
ATP synthesis coupled electron transport	protein-disulfide reduction
ATP synthesis coupled electron transport (sensu Bacteria)	ATP synthesis coupled electron transport
ATP synthesis coupled electron transport (sensu Eukarya)	ATP synthesis coupled electron transport
ATP synthesis coupled proton transport	energy coupled proton transport\, down the electrochemical gradient
ATP synthesis coupled proton transport	oxidative phosphorylation
ATP synthesis coupled proton transport	phosphorylation
ATP synthesis coupled proton transport (sensu Bacteria)	ATP synthesis coupled proton transport
ATP synthesis coupled proton transport (sensu Eukarya)	ATP synthesis coupled proton transport
ATP transport	purine nucleotide transport
ATP-dependent proteolysis	proteolysis and peptidolysis
ATP/ADP exchange	ADP transport
ATP/ADP exchange	ATP transport
B-cell activation	lymphocyte activation
B-cell differentiation	B-cell activation
B-cell differentiation	lymphocyte differentiation
B-cell differentiation	lymphocytic blood cell differentiation
B-cell mediated immunity	humoral defense mechanism (sensu Vertebrata)
B-cell proliferation	B-cell activation
B-cell proliferation	cell proliferation
B-cell proliferation	lymphocyte proliferation
BMP receptor signaling pathway	TGFbeta receptor signaling pathway
Bolwig's organ morphogenesis	eye morphogenesis (sensu Drosophila)
Bolwig's organ morphogenesis	post-embryonic eye morphogenesis (sensu Drosophila)
C-linked glycosylation	protein amino acid glycosylation
C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan	C-linked glycosylation via tryptophan
C-linked glycosylation via tryptophan	C-linked glycosylation
C-linked glycosylation via tryptophan	peptidyl-tryptophan modification
C-terminal peptidyl-alanine amidation	peptidyl-alanine modification
C-terminal peptidyl-alanine amidation	protein C-terminal amidation
C-terminal peptidyl-arginine amidation	peptidyl-arginine modification
C-terminal peptidyl-arginine amidation	protein C-terminal amidation
C-terminal peptidyl-asparagine amidation	peptidyl-asparagine modification
C-terminal peptidyl-asparagine amidation	protein C-terminal amidation
C-terminal peptidyl-aspartic acid amidation	peptidyl-aspartic acid modification
C-terminal peptidyl-aspartic acid amidation	protein C-terminal amidation
C-terminal peptidyl-cysteine amidation	peptidyl-cysteine modification
C-terminal peptidyl-cysteine amidation	protein C-terminal amidation
C-terminal peptidyl-glutamic acid amidation	protein C-terminal amidation
C-terminal peptidyl-glutamic acid tyrosinylation	C-terminal protein-tyrosinylation
C-terminal peptidyl-glutamic acid tyrosinylation	peptidyl-glutamic acid modification
C-terminal peptidyl-glutamine amidation	peptidyl-glutamine modification
C-terminal peptidyl-glutamine amidation	protein C-terminal amidation
C-terminal peptidyl-glycine amidation	peptidyl-glycine modification
C-terminal peptidyl-glycine amidation	protein C-terminal amidation
C-terminal peptidyl-histidine amidation	peptidyl-histidine modification
C-terminal peptidyl-histidine amidation	protein C-terminal amidation
C-terminal peptidyl-isoleucine amidation	peptidyl-isoleucine modification
C-terminal peptidyl-isoleucine amidation	protein C-terminal amidation
C-terminal peptidyl-leucine amidation	peptidyl-leucine modification
C-terminal peptidyl-leucine amidation	protein C-terminal amidation
C-terminal peptidyl-lysine amidation	peptidyl-lysine modification
C-terminal peptidyl-lysine amidation	protein C-terminal amidation
C-terminal peptidyl-methionine amidation	peptidyl-methionine modification
C-terminal peptidyl-methionine amidation	protein C-terminal amidation
C-terminal peptidyl-phenylalanine amidation	peptidyl-phenylalanine modification
C-terminal peptidyl-phenylalanine amidation	protein C-terminal amidation
C-terminal peptidyl-polyglutamic acid amidation	C-terminal peptidyl-glutamic acid amidation
C-terminal peptidyl-polyglutamic acid amidation	peptidyl-glutamic acid modification
C-terminal peptidyl-proline amidation	peptidyl-proline modification
C-terminal peptidyl-proline amidation	protein C-terminal amidation
C-terminal peptidyl-serine amidation	peptidyl-serine modification
C-terminal peptidyl-serine amidation	protein C-terminal amidation
C-terminal peptidyl-threonine amidation	peptidyl-threonine modification
C-terminal peptidyl-threonine amidation	protein C-terminal amidation
C-terminal peptidyl-tryptophan amidation	peptidyl-tryptophan modification
C-terminal peptidyl-tryptophan amidation	protein C-terminal amidation
C-terminal peptidyl-tyrosine amidation	peptidyl-tyrosine modification
C-terminal peptidyl-tyrosine amidation	protein C-terminal amidation
C-terminal peptidyl-valine amidation	peptidyl-valine modification
C-terminal peptidyl-valine amidation	protein C-terminal amidation
C-terminal protein amino acid methylation	peptide/protein carboxyl-terminal blocking
C-terminal protein amino acid methylation	protein amino acid methylation
C-terminal protein lipidation	peptide/protein carboxyl-terminal blocking
C-terminal protein lipidation	protein lipidation
C-terminal protein-tyrosinylation	peptide/protein carboxyl-terminal blocking
C-terminal protein-tyrosinylation	peptidyl-tyrosine modification
C-terminal protein-tyrosinylation	protein amino acid tyrosinylation
C21-steroid hormone biosynthesis	C21-steroid hormone metabolism
C21-steroid hormone biosynthesis	hormone biosynthesis
C21-steroid hormone biosynthesis	steroid biosynthesis
C21-steroid hormone catabolism	C21-steroid hormone metabolism
C21-steroid hormone catabolism	hormone catabolism
C21-steroid hormone catabolism	steroid catabolism
C21-steroid hormone metabolism	hormone metabolism
C21-steroid hormone metabolism	steroid metabolism
C4 photosynthesis	carbon utilization by fixation of carbon dioxide
C4 photosynthesis	photosynthesis\, dark reaction
C4-dicarboxylate transport	dicarboxylic acid transport
CAM photosynthesis	carbon utilization by fixation of carbon dioxide
CAM photosynthesis	photosynthesis\, dark reaction
CD4 biosynthesis	glycoprotein biosynthesis
CDP biosynthesis	CDP metabolism
CDP biosynthesis	pyrimidine ribonucleoside diphosphate biosynthesis
CDP catabolism	CDP metabolism
CDP catabolism	pyrimidine ribonucleoside diphosphate catabolism
CDP metabolism	pyrimidine ribonucleoside diphosphate metabolism
CDP reduction	CDP metabolism
CDP reduction	pyrimidine ribonucleoside diphosphate catabolism
CDP-choline pathway	phosphatidylcholine biosynthesis
CDP-diacylglycerol biosynthesis	CDP-diacylglycerol metabolism
CDP-diacylglycerol biosynthesis	diacylglycerol biosynthesis
CDP-diacylglycerol catabolism	CDP-diacylglycerol metabolism
CDP-diacylglycerol catabolism	diacylglycerol catabolism
CDP-diacylglycerol metabolism	diacylglycerol metabolism
CMP biosynthesis	CMP metabolism
CMP biosynthesis	pyrimidine ribonucleoside monophosphate biosynthesis
CMP catabolism	CMP metabolism
CMP catabolism	pyrimidine ribonucleoside monophosphate catabolism
CMP metabolism	pyrimidine ribonucleoside monophosphate metabolism
CMP salvage	CMP biosynthesis
CMP salvage	pyrimidine salvage
CMP-N-acetylneuraminate biosynthesis	CMP-N-acetylneuraminate metabolism
CMP-N-acetylneuraminate biosynthesis	N-acetylneuraminate biosynthesis
CMP-N-acetylneuraminate metabolism	N-acetylneuraminate metabolism
CMP-N-acetylneuraminate metabolism	nucleotide-sugar metabolism
CMP-sialic acid transport	pyrimidine nucleotide-sugar transport
COPI coating of Golgi vesicle	Golgi transport vesicle coating
COPI coating of Golgi vesicle	cis-Golgi to rough ER targeting
COPI coating of Golgi vesicle	cis-Golgi to rough ER transport
COPI coating of Golgi vesicle	inter-Golgi cisterna targeting
COPI coating of Golgi vesicle	inter-Golgi cisterna transport
COPII coating of Golgi vesicle	Golgi transport vesicle coating
COPII coating of Golgi vesicle	rough ER to cis-Golgi targeting
COPII coating of Golgi vesicle	rough ER to cis-Golgi transport
CTP biosynthesis	CTP metabolism
CTP biosynthesis	pyrimidine ribonucleoside triphosphate biosynthesis
CTP catabolism	CTP metabolism
CTP catabolism	pyrimidine ribonucleoside triphosphate catabolism
CTP deamination	CTP metabolism
CTP deamination	pyrimidine ribonucleoside triphosphate catabolism
CTP metabolism	pyrimidine ribonucleoside triphosphate metabolism
CTP reduction	CTP metabolism
CTP reduction	pyrimidine ribonucleoside triphosphate catabolism
Cajal body organization and biogenesis	nuclear body organization and biogenesis
D(-)-lactate biosynthesis from pyruvate	lactate biosynthesis from pyruvate
D-alanine biosynthesis	D-alanine family amino acid biosynthesis
D-alanine biosynthesis	D-alanine metabolism
D-alanine biosynthesis	D-amino acid biosynthesis
D-alanine family amino acid biosynthesis	D-alanine family amino acid metabolism
D-alanine family amino acid biosynthesis	alanine biosynthesis
D-alanine family amino acid catabolism	D-alanine family amino acid metabolism
D-alanine family amino acid catabolism	alanine catabolism
D-alanine family amino acid metabolism	alanine metabolism
D-alanine metabolism	D-alanine family amino acid metabolism
D-alanine metabolism	D-amino acid metabolism
D-allose biosynthesis	D-allose metabolism
D-allose biosynthesis	allose biosynthesis
D-allose catabolism	D-allose metabolism
D-allose catabolism	allose catabolism
D-allose metabolism	allose metabolism
D-amino acid biosynthesis	D-amino acid metabolism
D-amino acid biosynthesis	amino acid biosynthesis
D-amino acid catabolism	D-amino acid metabolism
D-amino acid catabolism	amino acid catabolism
D-amino acid metabolism	amino acid metabolism
D-arabinose catabolism	D-arabinose metabolism
D-arabinose catabolism	arabinose catabolism
D-arabinose catabolism to xylulose 5-phosphate	D-arabinose catabolism
D-arabinose metabolism	arabinose metabolism
D-arabitol utilization	arabitol utilization
D-cysteine catabolism	D-amino acid catabolism
D-cysteine catabolism	D-cysteine metabolism
D-cysteine catabolism	cysteine catabolism
D-cysteine metabolism	cysteine metabolism
D-dehydro-D-gluconate biosynthesis	D-dehydro-D-gluconate metabolism
D-dehydro-D-gluconate biosynthesis	aldonic acid biosynthesis
D-dehydro-D-gluconate catabolism	D-dehydro-D-gluconate metabolism
D-dehydro-D-gluconate catabolism	aldonic acid catabolism
D-dehydro-D-gluconate metabolism	aldonic acid metabolism
D-galactarate catabolism	D-galactarate metabolism
D-galactarate catabolism	galactarate catabolism
D-galactarate metabolism	galactarate metabolism
D-galacturonate catabolism	D-galacturonate metabolism
D-galacturonate catabolism	galacturonate catabolism
D-galacturonate metabolism	galacturonate metabolism
D-gluconate biosynthesis	D-gluconate metabolism
D-gluconate biosynthesis	aldonic acid biosynthesis
D-gluconate catabolism	D-gluconate metabolism
D-gluconate catabolism	aldonic acid catabolism
D-gluconate metabolism	aldonic acid metabolism
D-lactate biosynthesis from methylglyoxal	lactate biosynthesis
D-lactate biosynthesis from methylglyoxal	methylglyoxal metabolism
D-lysine catabolism	D-amino acid catabolism
D-lysine catabolism	D-lysine metabolism
D-lysine catabolism	lysine catabolism
D-lysine metabolism	lysine metabolism
DNA ADP-ribosylation	DNA modification
DNA alkylation	DNA modification
DNA amplification	DNA replication
DNA catabolism	DNA metabolism
DNA catabolism	catabolism
DNA catabolism\, endonucleolytic	DNA catabolism
DNA catabolism\, exonucleolytic	DNA catabolism
DNA damage induced protein phosphorylation	protein amino acid phosphorylation
DNA damage induced protein phosphorylation	response to DNA damage stimulus
DNA damage response\, perception of DNA damage	response to DNA damage stimulus
DNA damage response\, signal transduction	response to DNA damage stimulus
DNA damage response\, signal transduction by p53 class mediator	DNA damage response\, signal transduction
DNA damage response\, signal transduction by p53 class mediator resulting in cell cycle arrest	DNA damage response\, signal transduction by p53 class mediator
DNA damage response\, signal transduction by p53 class mediator resulting in cell cycle arrest	DNA damage response\, signal transduction resulting in cell cycle arrest
DNA damage response\, signal transduction by p53 class mediator resulting in induction of apoptosis	DNA damage response\, signal transduction by p53 class mediator
DNA damage response\, signal transduction by p53 class mediator resulting in induction of apoptosis	DNA damage response\, signal transduction resulting in induction of apoptosis
DNA damage response\, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	DNA damage response\, signal transduction by p53 class mediator
DNA damage response\, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	DNA damage response\, signal transduction resulting in transcription
DNA damage response\, signal transduction resulting in cell cycle arrest	DNA damage response\, signal transduction
DNA damage response\, signal transduction resulting in cell cycle arrest	cell cycle checkpoint
DNA damage response\, signal transduction resulting in induction of apoptosis	DNA damage response\, signal transduction
DNA damage response\, signal transduction resulting in induction of apoptosis	induction of apoptosis by intracellular signals
DNA damage response\, signal transduction resulting in transcription	DNA damage response\, signal transduction
DNA dealkylation	DNA repair
DNA deamination	DNA modification
DNA dependent DNA replication	DNA replication
DNA double-strand break processing	DNA catabolism\, exonucleolytic
DNA double-strand break processing	double-strand break repair via single-strand annealing
DNA double-strand break processing	double-strand break repair via synthesis-dependent strand annealing
DNA double-strand break processing	gene conversion at MAT locus
DNA endoreduplication	DNA dependent DNA replication
DNA endoreduplication initiation	DNA replication initiation
DNA fragmentation	DNA catabolism
DNA fragmentation	apoptotic nuclear changes
DNA fragmentation	cellular DNA uptake
DNA fragmentation	disassembly of cell structures
DNA integration	DNA metabolism
DNA ligation	DNA dependent DNA replication
DNA ligation	DNA recombination
DNA ligation	DNA repair
DNA mediated transformation	genetic transfer
DNA metabolism	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism
DNA methylation	DNA alkylation
DNA methylation	regulation of gene expression\, epigenetic
DNA modification	DNA metabolism
DNA packaging	DNA metabolism
DNA protection	DNA metabolism
DNA protection	response to extracellular stimulus
DNA protection	response to stress
DNA recombinase assembly	double-strand break repair via synthesis-dependent strand annealing
DNA recombinase assembly	gene conversion at MAT locus
DNA recombination	DNA metabolism
DNA repair	DNA metabolism
DNA repair	response to DNA damage stimulus
DNA repair synthesis	double-strand break repair via single-strand annealing
DNA repair synthesis	double-strand break repair via synthesis-dependent strand annealing
DNA replication	DNA metabolism
DNA replication	DNA replication and chromosome cycle
DNA replication	S phase of mitotic cell cycle
DNA replication and chromosome cycle	cell cycle
DNA replication checkpoint	cell cycle checkpoint
DNA replication dependent nucleosome assembly	nucleosome assembly
DNA replication independent nucleosome assembly	nucleosome assembly
DNA replication initiation	DNA dependent DNA replication
DNA replication licensing	regulation of DNA replication
DNA replication proofreading	DNA repair
DNA replication proofreading	maintenance of fidelity during DNA dependent DNA replication
DNA replication termination	DNA dependent DNA replication
