mitochondrion inheritance	GO:0000001
histidine biosynthesis	GO:0000105
G1-specific transcription in mitotic cell cycle	GO:0000114
S-specific transcription in mitotic cell cycle	GO:0000115
G2-specific transcription in mitotic cell cycle	GO:0000116
G2/M-specific transcription in mitotic cell cycle	GO:0000117
negative regulation of transcription from Pol II promoter	GO:0000122
flocculation	GO:0000128
mitotic spindle orientation	GO:0000132
septin checkpoint	GO:0000135
actin cortical patch assembly	GO:0000147
rRNA modification	GO:0000154
two-component signal transduction system (phosphorelay)	GO:0000160
MAPKKK cascade (osmolarity sensing)	GO:0000161
tryptophan biosynthesis	GO:0000162
MAPKKK cascade	GO:0000165
activation of MAPKKK (osmolarity sensing)	GO:0000167
activation of MAPKK (osmolarity sensing)	GO:0000168
activation of MAPK (osmolarity sensing)	GO:0000169
inactivation of MAPK (osmolarity sensing)	GO:0000173
chromatin silencing at ribosomal DNA (rDNA)	GO:0000183
mRNA catabolism\, nonsense-mediated	GO:0000184
activation of MAPKKK	GO:0000185
activation of MAPKK	GO:0000186
activation of MAPK	GO:0000187
inactivation of MAPK	GO:0000188
nuclear translocation of MAPK	GO:0000189
MAPKKK cascade (pseudohyphal growth)	GO:0000190
activation of MAPKKK (pseudohyphal growth)	GO:0000191
activation of MAPKK (pseudohyphal growth)	GO:0000192
activation of MAPK (pseudohyphal growth)	GO:0000193
inactivation of MAPK (pseudohyphal growth)	GO:0000194
nuclear translocation of MAPK (pseudohyphal growth)	GO:0000195
MAPKKK cascade (cell wall biogenesis)	GO:0000196
activation of MAPKKK (cell wall biogenesis)	GO:0000197
activation of MAPKK (cell wall biogenesis)	GO:0000198
activation of MAPK (cell wall biogenesis)	GO:0000199
inactivation of MAPK (cell wall biogenesis)	GO:0000200
nuclear translocation of MAPK (cell wall biogenesis)	GO:0000201
MAPKKK cascade (sporulation sensu Saccharomyces)	GO:0000202
activation of MAPKKK (sporulation sensu Saccharomyces)	GO:0000203
activation of MAPKK (sporulation sensu Saccharomyces)	GO:0000204
activation of MAPK (sporulation sensu Saccharomyces)	GO:0000205
inactivation of MAPK (sporulation sensu Saccharomyces)	GO:0000206
nuclear translocation of MAPK (sporulation sensu Saccharomyces)	GO:0000207
nuclear translocation of MAPK (osmolarity sensing)	GO:0000208
protein polyubiquitination	GO:0000209
meiotic spindle assembly	GO:0000212
M/G1 transition of mitotic cell cycle	GO:0000216
microtubule cytoskeleton organization and biogenesis	GO:0000226
mitotic prometaphase	GO:0000236
leptotene	GO:0000237
zygotene	GO:0000238
pachytene	GO:0000239
diplotene	GO:0000240
diakinesis	GO:0000241
snRNP recycling	GO:0000244
spliceosome assembly	GO:0000245
allantoin metabolism	GO:0000255
allantoin catabolism	GO:0000256
mitochondrial fission	GO:0000266
peptidoglycan metabolism	GO:0000270
polysaccharide biosynthesis	GO:0000271
polysaccharide catabolism	GO:0000272
lipoic acid metabolism	GO:0000273
mitotic cell cycle	GO:0000278
M phase	GO:0000279
nuclear division	GO:0000280
cytokinesis after mitosis	GO:0000281
bud site selection	GO:0000282
establishment of cell polarity (sensu Saccharomyces)	GO:0000283
mRNA catabolism\, deadenylation-dependent	GO:0000288
poly(A) tail shortening	GO:0000289
deadenylation-dependent decapping	GO:0000290
mRNA catabolism\, exonucleolytic	GO:0000291
RNA fragment catabolism	GO:0000292
mRNA catabolism\, endonucleolytic	GO:0000294
spermine transport	GO:0000296
retrograde (vesicle recycling within Golgi) transport	GO:0000301
response to reactive oxygen species	GO:0000302
response to superoxide	GO:0000303
response to singlet oxygen	GO:0000304
response to oxygen radicals	GO:0000305
sulfite transport	GO:0000316
re-entry into mitotic cell cycle	GO:0000320
re-entry into mitotic cell cycle after pheromone arrest	GO:0000321
negative regulation of DNA transposition	GO:0000335
positive regulation of DNA transposition	GO:0000336
regulation of DNA transposition	GO:0000337
protein deneddylation	GO:0000338
flocculation (sensu Saccharomyces)	GO:0000501
embryonic axis specification	GO:0000578
achiasmate meiosis I	GO:0000705
meiotic DNA double-strand break processing	GO:0000706
meiotic DNA recombinase assembly	GO:0000707
meiotic strand invasion	GO:0000708
meiotic joint molecule formation	GO:0000709
meiotic mismatch repair	GO:0000710
meiotic DNA repair synthesis	GO:0000711
resolution of meiotic joint molecules as recombinants	GO:0000712
meiotic heteroduplex formation	GO:0000713
meiotic strand displacement	GO:0000714
nucleotide-excision repair\, DNA damage recognition	GO:0000715
transcription-coupled nucleotide-excision repair\, DNA damage recognition	GO:0000716
nucleotide-excision repair\, DNA duplex unwinding	GO:0000717
nucleotide-excision repair\, DNA damage removal	GO:0000718
photoreactive repair	GO:0000719
pyrimidine dimer repair via nucleotide excision repair	GO:0000720
telomerase-independent telomere maintenance	GO:0000722
telomere maintenance	GO:0000723
double-strand break repair via homologous recombination	GO:0000724
recombinational repair	GO:0000725
non-recombinational repair	GO:0000726
double-strand break repair via break-induced replication	GO:0000727
gene conversion at MAT locus\, DNA double-strand break formation	GO:0000728
DNA double-strand break processing	GO:0000729
DNA recombinase assembly	GO:0000730
DNA repair synthesis	GO:0000731
strand displacement	GO:0000732
DNA strand renaturation	GO:0000733
gene conversion at MAT locus\, DNA repair synthesis	GO:0000734
removal of nonhomologous ends	GO:0000735
double-strand break repair via single-strand annealing\, removal of nonhomologous ends	GO:0000736
DNA catabolism\, endonucleolytic	GO:0000737
DNA catabolism\, exonucleolytic	GO:0000738
nuclear membrane fusion	GO:0000740
karyogamy	GO:0000741
karyogamy during conjugation with cellular fusion	GO:0000742
nuclear migration during conjugation with cellular fusion	GO:0000743
karyogamy during conjugation without cellular fusion	GO:0000744
nuclear exchange during conjugation without cellular fusion	GO:0000745
conjugation	GO:0000746
conjugation with cellular fusion	GO:0000747
conjugation without cellular fusion	GO:0000748
response to pheromone during conjugation with cellular fusion	GO:0000749
signal transduction during conjugation with cellular fusion	GO:0000750
cell cycle arrest in response to pheromone	GO:0000751
agglutination during conjugation with cellular fusion	GO:0000752
cellular morphogenesis during conjugation with cellular fusion	GO:0000753
adaptation to pheromone during conjugation with cellular fusion	GO:0000754
cytogamy	GO:0000755
response to pheromone during conjugation without cellular fusion	GO:0000756
signal transduction during conjugation without cellular fusion	GO:0000757
agglutination during conjugation without cellular fusion	GO:0000758
cellular morphogenesis during conjugation without cellular fusion	GO:0000759
adaptation to pheromone during conjugation without cellular fusion	GO:0000760
conjugant formation	GO:0000761
pheromone-induced unidirectional conjugation	GO:0000762
cellular morphogenesis during unidirectional conjugation	GO:0000763
cellular morphogenesis during pheromone-induced unidirectional conjugation	GO:0000764
response to pheromone during pheromone-induced unidirectional conjugation	GO:0000765
adaptation to pheromone during pheromone-induced unidirectional conjugation	GO:0000766
cellular morphogenesis during conjugation	GO:0000767
syncytium formation by plasma membrane fusion	GO:0000768
syncytium formation by mitosis without cell division	GO:0000769
peptide pheromone export	GO:0000770
agglutination	GO:0000771
cellular morphogenesis	GO:0000902
cellular morphogenesis during vegetative growth	GO:0000903
cellular morphogenesis during differentiation	GO:0000904
fruiting body formation during asexual reproduction (sensu Fungi)	GO:0000905
fruiting body formation during sexual reproduction (sensu Fungi)	GO:0000909
cytokinesis	GO:0000910
cytokinesis by cell plate formation	GO:0000911
cytokinesis\, formation of actomyosin apparatus	GO:0000912
preprophase band formation	GO:0000913
phragmoplast formation	GO:0000914
cytokinesis\, actomyosin ring formation	GO:0000915
cytokinesis\, actomyosin ring contraction	GO:0000916
barrier septum formation	GO:0000917
selection of site for barrier septum formation	GO:0000918
cell plate formation	GO:0000919
cell separation during cytokinesis	GO:0000920
septin ring assembly	GO:0000921
negative regulation of exit from mitosis	GO:0001100
response to acid	GO:0001101
chronological cell aging	GO:0001300
progressive alteration of chromatin during cell aging	GO:0001301
replicative cell aging	GO:0001302
nucleolar fragmentation during replicative aging	GO:0001303
progressive alteration of chromatin during replicative cell aging	GO:0001304
progressive alteration of chromatin during chronological cell aging	GO:0001305
age dependent response to oxidative stress	GO:0001306
extrachromosomal circular DNA accumulation during replicative cell aging	GO:0001307
loss of chromatin silencing during replicative cell aging	GO:0001308
age dependent telomere shortening	GO:0001309
extrachromosomal rDNA circle accumulation during replicative cell aging	GO:0001310
formation of extrachromosomal circular rDNA by homologous recombination during replicative cell aging	GO:0001311
replication of extrachromosomal rDNA circles during replicative cell aging	GO:0001312
formation of extrachromosomal circular DNA during replicative cell aging	GO:0001313
replication of extrachromosomal circular DNA during replicative cell aging	GO:0001314
age dependent response to reactive oxygen species	GO:0001315
age dependent response to reactive oxygen species during replicative cell aging	GO:0001316
accumulation of oxidatively modified proteins during replicative cell aging	GO:0001317
formation of oxidatively modified proteins during replicative cell aging	GO:0001318
inheritance of oxidatively modified proteins during replicative cell aging	GO:0001319
age dependent response to reactive oxygen species during chronological cell aging	GO:0001320
age dependent general metabolic decline during replicative cell aging	GO:0001321
age dependent response to oxidative stress during replicative cell aging	GO:0001322
age dependent general metabolic decline during chronological cell aging	GO:0001323
age dependent response to oxidative stress during chronological cell aging	GO:0001324
formation of extrachromosomal circular DNA	GO:0001325
replication of extrachromosomal circular DNA	GO:0001326
skeletal development	GO:0001501
cartilage condensation	GO:0001502
ossification	GO:0001503
neurotransmitter uptake	GO:0001504
regulation of neurotransmitter levels	GO:0001505
acetylcholine breakdown in the synaptic cleft	GO:0001507
regulation of action potential	GO:0001508
RNA methylation	GO:0001510
selenocysteine incorporation	GO:0001514
prostaglandin biosynthesis	GO:0001516
peptide amidation	GO:0001519
pseudouridine synthesis	GO:0001522
retinoid metabolism	GO:0001523
angiogenesis	GO:0001525
proteoglycan sulfate transfer	GO:0001526
ciliary/flagellar motility	GO:0001539
ovarian follicle development	GO:0001541
ovulation (sensu Mammalia)	GO:0001542
ovarian follicle rupture	GO:0001543
initiation of primordial ovarian follicle growth	GO:0001544
primary ovarian follicle growth	GO:0001545
preantral ovarian follicle growth	GO:0001546
antral ovarian follicle growth	GO:0001547
ovarian follicle antrum/follicular fluid formation	GO:0001548
ovarian cumulus cell differentiation	GO:0001549
ovarian cumulus expansion	GO:0001550
ovarian follicle endowment	GO:0001551
ovarian follicle atresia	GO:0001552
luteinization	GO:0001553
luteolysis	GO:0001554
oocyte growth	GO:0001555
oocyte maturation	GO:0001556
metabolism resulting in cell growth	GO:0001557
regulation of cell growth	GO:0001558
interpretation of nuclear/cytoplasmic ratio to regulate cell growth	GO:0001559
interpretation of external signals that regulate cell growth	GO:0001560
fatty acid alpha-oxidation	GO:0001561
response to protozoa	GO:0001562
perception of protozoa	GO:0001563
blood vessel development	GO:0001568
patterning of blood vessels	GO:0001569
vasculogenesis	GO:0001570
lactosylceramide biosynthesis	GO:0001572
ganglioside metabolism	GO:0001573
ganglioside biosynthesis	GO:0001574
globoside metabolism	GO:0001575
globoside biosynthesis	GO:0001576
microtubule bundling	GO:0001578
medium-chain fatty acid transport	GO:0001579
bitter taste perception	GO:0001580
sour taste perception	GO:0001581
sweet taste perception	GO:0001582
salty taste perception	GO:0001583
osteoblast differentiation	GO:0001649
eye morphogenesis	GO:0001654
urogenital system development	GO:0001655
metanephros development	GO:0001656
ureteric bud development	GO:0001657
ureteric bud branching	GO:0001658
thermoregulation	GO:0001659
fever	GO:0001660
taste aversion	GO:0001661
behavioral fear response	GO:0001662
physiological fear response	GO:0001663
response to hypoxia	GO:0001666
ameboid cell migration	GO:0001667
regulation of chromatin assembly/disassembly	GO:0001672
acrosome formation	GO:0001675
long-chain fatty acid metabolism	GO:0001676
formation of translation initiation ternary complex	GO:0001677
cell glucose homeostasis	GO:0001678
neurulation	GO:0001679
tRNA 3'-terminal CCA addition	GO:0001680
tRNA 5'-leader removal	GO:0001682
histamine metabolism	GO:0001692
histamine biosynthesis	GO:0001694
histamine catabolism	GO:0001695
gastric acid secretion	GO:0001696
histamine-induced gastric acid secretion	GO:0001697
gastrin-induced gastric acid secretion	GO:0001698
acetylcholine-induced gastric acid secretion	GO:0001699
embryonic development (sensu Insecta)	GO:0001700
embryonic development (sensu Mammalia)	GO:0001701
gastrulation (sensu Deuterostoma)	GO:0001702
gastrulation (sensu Protostomia)	GO:0001703
formation of primary germ layer	GO:0001704
ectoderm formation	GO:0001705
endoderm formation	GO:0001706
mesoderm formation	GO:0001707
cell fate specification	GO:0001708
cell fate determination	GO:0001709
mesoderm cell fate commitment	GO:0001710
endoderm cell fate commitment	GO:0001711
ectoderm cell fate commitment	GO:0001712
ectoderm cell fate determination	GO:0001713
endoderm cell fate specification	GO:0001714
ectoderm cell fate specification	GO:0001715
conversion of seryl-tRNAsec to selenocys-tRNAsec	GO:0001717
conversion of met-tRNAf to fmet-tRNA	GO:0001718
inhibition of caspase activation	GO:0001719
conversion of lysyl-tRNA to pyrrolysyl-tRNA	GO:0001720
formation of translation preinitiation complex	GO:0001731
formation of translation initiation complex	GO:0001732
establishment of planar polarity	GO:0001736
establishment of wing hair orientation	GO:0001737
morphogenesis of a polarized epithelium	GO:0001738
oenocyte differentiation	GO:0001742
optic placode formation	GO:0001743
optic placode formation (sensu Drosophila)	GO:0001744
compound eye morphogenesis (sensu Drosophila)	GO:0001745
Bolwig's organ morphogenesis	GO:0001746
eye morphogenesis (sensu Mammalia)	GO:0001747
optic placode development (sensu Drosophila)	GO:0001748
non-eye photoreceptor development (sensu Drosophila)	GO:0001749
eye photoreceptor differentiation (sensu Drosophila)	GO:0001751
eye photoreceptor fate commitment (sensu Drosophila)	GO:0001752
eye photoreceptor cell differentiation	GO:0001754
neural crest cell migration	GO:0001755
somitogenesis	GO:0001756
somite specification	GO:0001757
induction of an organ	GO:0001759
beta-alanine transport	GO:0001762
morphogenesis of an epithelium	GO:0002009
morphogenesis of an epithelial sheet	GO:0002011
larval development (sensu Amphibia)	GO:0002117
larval development (sensu Nematoda)	GO:0002119
larval development	GO:0002164
larval/pupal development (sensu Insecta)	GO:0002165
larval development (sensu Insecta)	GO:0002168
calcium ion sensing	GO:0005513
carbohydrate metabolism	GO:0005975
polysaccharide metabolism	GO:0005976
glycogen metabolism	GO:0005977
glycogen biosynthesis	GO:0005978
regulation of glycogen biosynthesis	GO:0005979
glycogen catabolism	GO:0005980
regulation of glycogen catabolism	GO:0005981
starch metabolism	GO:0005982
starch catabolism	GO:0005983
disaccharide metabolism	GO:0005984
sucrose metabolism	GO:0005985
sucrose biosynthesis	GO:0005986
sucrose catabolism	GO:0005987
lactose metabolism	GO:0005988
lactose biosynthesis	GO:0005989
lactose catabolism	GO:0005990
trehalose metabolism	GO:0005991
trehalose biosynthesis	GO:0005992
trehalose catabolism	GO:0005993
melibiose metabolism	GO:0005994
melibiose catabolism	GO:0005995
monosaccharide metabolism	GO:0005996
xylulose metabolism	GO:0005997
xylulose catabolism	GO:0005998
xylulose biosynthesis	GO:0005999
fructose metabolism	GO:0006000
fructose catabolism	GO:0006001
fructose 6-phosphate metabolism	GO:0006002
fructose 2\,6-bisphosphate metabolism	GO:0006003
fucose metabolism	GO:0006004
L-fucose biosynthesis	GO:0006005
glucose metabolism	GO:0006006
glucose catabolism	GO:0006007
glucose 1-phosphate utilization	GO:0006008
glucose 1-phosphate phosphorylation	GO:0006009
glucose 6-phosphate utilization	GO:0006010
UDP-glucose metabolism	GO:0006011
galactose metabolism	GO:0006012
mannose metabolism	GO:0006013
ribose metabolism	GO:0006014
5-phosphoribose 1-diphosphate biosynthesis	GO:0006015
2-deoxyribose 1-phosphate biosynthesis	GO:0006016
deoxyribose 1\,5-bisphosphate biosynthesis	GO:0006017
deoxyribose 1-phosphate catabolism	GO:0006018
deoxyribose 5-phosphate phosphorylation	GO:0006019
myo-inositol metabolism	GO:0006020
myo-inositol biosynthesis	GO:0006021
aminoglycan metabolism	GO:0006022
aminoglycan biosynthesis	GO:0006023
glycosaminoglycan biosynthesis	GO:0006024
galactosaminoglycan biosynthesis	GO:0006025
aminoglycan catabolism	GO:0006026
glycosaminoglycan catabolism	GO:0006027
galactosaminoglycan catabolism	GO:0006028
proteoglycan metabolism	GO:0006029
chitin metabolism	GO:0006030
chitin biosynthesis	GO:0006031
chitin catabolism	GO:0006032
chitin localization	GO:0006033
cuticle chitin metabolism	GO:0006034
cuticle chitin biosynthesis	GO:0006035
cuticle chitin catabolism	GO:0006036
cell wall chitin metabolism	GO:0006037
cell wall chitin biosynthesis	GO:0006038
cell wall chitin catabolism	GO:0006039
amino sugar metabolism	GO:0006040
glucosamine metabolism	GO:0006041
glucosamine biosynthesis	GO:0006042
glucosamine catabolism	GO:0006043
N-acetylglucosamine metabolism	GO:0006044
N-acetylglucosamine biosynthesis	GO:0006045
N-acetylglucosamine catabolism	GO:0006046
UDP-N-acetylglucosamine metabolism	GO:0006047
UDP-N-acetylglucosamine biosynthesis	GO:0006048
UDP-N-acetylglucosamine catabolism	GO:0006049
mannosamine metabolism	GO:0006050
N-acetylmannosamine metabolism	GO:0006051
N-acetylmannosamine biosynthesis	GO:0006052
N-acetylmannosamine catabolism	GO:0006053
N-acetylneuraminate metabolism	GO:0006054
CMP-N-acetylneuraminate biosynthesis	GO:0006055
mannoprotein metabolism	GO:0006056
mannoprotein biosynthesis	GO:0006057
mannoprotein catabolism	GO:0006058
hexitol metabolism	GO:0006059
sorbitol metabolism	GO:0006060
sorbitol biosynthesis	GO:0006061
sorbitol catabolism	GO:0006062
uronic acid metabolism	GO:0006063
glucuronate catabolism	GO:0006064
UDP-glucuronate biosynthesis	GO:0006065
alcohol metabolism	GO:0006066
ethanol metabolism	GO:0006067
ethanol catabolism	GO:0006068
ethanol oxidation	GO:0006069
octanol metabolism	GO:0006070
glycerol metabolism	GO:0006071
glycerol-3-phosphate metabolism	GO:0006072
glucan metabolism	GO:0006073
beta-1\,3 glucan metabolism	GO:0006074
beta-1\,3 glucan biosynthesis	GO:0006075
beta-1\,3 glucan catabolism	GO:0006076
beta-1\,6 glucan metabolism	GO:0006077
beta-1\,6 glucan biosynthesis	GO:0006078
beta-1\,6 glucan catabolism	GO:0006079
mannan metabolism	GO:0006080
aldehyde metabolism	GO:0006081
organic acid metabolism	GO:0006082
acetate metabolism	GO:0006083
acetyl-CoA metabolism	GO:0006084
acetyl-CoA biosynthesis	GO:0006085
acetyl-CoA biosynthesis from pyruvate	GO:0006086
pyruvate dehydrogenase bypass	GO:0006087
lactate metabolism	GO:0006089
pyruvate metabolism	GO:0006090
energy pathways	GO:0006091
main pathways of carbohydrate metabolism	GO:0006092
gluconeogenesis	GO:0006094
glycolysis	GO:0006096
glyoxylate cycle	GO:0006097
pentose-phosphate shunt	GO:0006098
tricarboxylic acid cycle	GO:0006099
TCA intermediate metabolism	GO:0006100
citrate metabolism	GO:0006101
isocitrate metabolism	GO:0006102
2-oxoglutarate metabolism	GO:0006103
succinyl-CoA metabolism	GO:0006104
succinate metabolism	GO:0006105
fumarate metabolism	GO:0006106
oxaloacetate metabolism	GO:0006107
malate metabolism	GO:0006108
regulation of carbohydrate metabolism	GO:0006109
regulation of glycolysis	GO:0006110
regulation of gluconeogenesis	GO:0006111
energy reserve metabolism	GO:0006112
fermentation	GO:0006113
glycerol biosynthesis	GO:0006114
ethanol biosynthesis	GO:0006115
NADH oxidation	GO:0006116
acetaldehyde metabolism	GO:0006117
electron transport	GO:0006118
oxidative phosphorylation	GO:0006119
mitochondrial electron transport\, NADH to ubiquinone	GO:0006120
mitochondrial electron transport\, succinate to ubiquinone	GO:0006121
mitochondrial electron transport\, ubiquinol to cytochrome c	GO:0006122
mitochondrial electron transport\, cytochrome c to oxygen	GO:0006123
ferredoxin metabolism	GO:0006124
thioredoxin pathway	GO:0006125
glycerophosphate shuttle	GO:0006127
oxidized glutathione reduction	GO:0006128
protein-disulfide reduction	GO:0006129
6-phosphofructokinase reduction	GO:0006130
dihydrolipoamide reduction	GO:0006131
dihydrolipoylprotein reduction	GO:0006132
5\,10-methyltetrahydrofolate oxidation	GO:0006133
dihydrobiopterin reduction	GO:0006134
dihydropteridine reduction	GO:0006135
succinate-O2 electron transport	GO:0006136
ubiquinone-8-O2 electron transport	GO:0006137
NADH-O2 electron transport	GO:0006138
nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism	GO:0006139
regulation of nucleotide metabolism	GO:0006140
regulation of purine base metabolism	GO:0006141
regulation of pyrimidine base metabolism	GO:0006142
purine base metabolism	GO:0006144
purine base catabolism	GO:0006145
adenine catabolism	GO:0006146
guanine catabolism	GO:0006147
inosine catabolism	GO:0006148
deoxyinosine catabolism	GO:0006149
hypoxanthine oxidation	GO:0006150
xanthine oxidation	GO:0006151
purine nucleoside catabolism	GO:0006152
adenosine catabolism	GO:0006154
adenosine phosphorolysis	GO:0006156
deoxyadenosine catabolism	GO:0006157
deoxyadenosine phosphorolysis	GO:0006159
guanosine phosphorolysis	GO:0006160
deoxyguanosine catabolism	GO:0006161
purine/pyrimidine nucleoside diphosphate reduction	GO:0006162
purine nucleotide metabolism	GO:0006163
purine nucleotide biosynthesis	GO:0006164
nucleoside diphosphate phosphorylation	GO:0006165
purine salvage	GO:0006166
AMP biosynthesis	GO:0006167
adenine salvage pathway	GO:0006168
adenosine salvage pathway	GO:0006169
dAMP biosynthesis	GO:0006170
cAMP biosynthesis	GO:0006171
ADP biosynthesis	GO:0006172
dADP biosynthesis	GO:0006173
dADP phosphorylation	GO:0006174
dATP biosynthesis	GO:0006175
dATP biosynthesis from ADP	GO:0006176
GMP biosynthesis	GO:0006177
guanine salvage	GO:0006178
guanosine salvage	GO:0006179
deoxyguanosine salvage	GO:0006180
dGMP biosynthesis	GO:0006181
cGMP biosynthesis	GO:0006182
GTP biosynthesis	GO:0006183
GTP catabolism	GO:0006184
dGDP biosynthesis	GO:0006185
dGDP phosphorylation	GO:0006186
dGTP biosynthesis from dGDP	GO:0006187
IMP biosynthesis	GO:0006188
'de novo' IMP biosynthesis	GO:0006189
inosine salvage	GO:0006190
deoxyinosine salvage	GO:0006191
IDP phosphorylation	GO:0006192
ITP catabolism	GO:0006193
dIDP phosphorylation	GO:0006194
purine nucleotide catabolism	GO:0006195
AMP catabolism	GO:0006196
cAMP catabolism	GO:0006198
ADP reduction	GO:0006199
ATP catabolism	GO:0006200
GMP catabolism to IMP	GO:0006201
GMP catabolism to guanine	GO:0006202
dGTP catabolism	GO:0006203
IMP catabolism	GO:0006204
pyrimidine base metabolism	GO:0006206
'de novo' pyrimidine base biosynthesis	GO:0006207
pyrimidine base catabolism	GO:0006208
cytosine catabolism	GO:0006209
thymine catabolism	GO:0006210
5-methylcytosine catabolism	GO:0006211
uracil catabolism	GO:0006212
pyrimidine nucleoside metabolism	GO:0006213
thymidine catabolism	GO:0006214
cytidine catabolism	GO:0006216
deoxycytidine catabolism	GO:0006217
uridine catabolism	GO:0006218
deoxyuridine catabolism	GO:0006219
pyrimidine nucleotide metabolism	GO:0006220
pyrimidine nucleotide biosynthesis	GO:0006221
UMP biosynthesis	GO:0006222
uracil salvage	GO:0006223
UDP biosynthesis	GO:0006225
dUMP biosynthesis	GO:0006226
dUDP biosynthesis	GO:0006227
UTP biosynthesis	GO:0006228
dUTP biosynthesis	GO:0006229
TMP biosynthesis	GO:0006230
dTMP biosynthesis	GO:0006231
TDP biosynthesis	GO:0006232
dTDP biosynthesis	GO:0006233
TTP biosynthesis	GO:0006234
dTTP biosynthesis	GO:0006235
cytidine salvage	GO:0006236
deoxycytidine salvage	GO:0006237
CMP salvage	GO:0006238
dCMP salvage	GO:0006239
dCDP biosynthesis	GO:0006240
CTP biosynthesis	GO:0006241
dCTP biosynthesis	GO:0006242
CTP deamination	GO:0006243
pyrimidine nucleotide catabolism	GO:0006244
TDP catabolism	GO:0006245
dTDP catabolism	GO:0006246
TTP reduction	GO:0006247
CMP catabolism	GO:0006248
dCMP catabolism	GO:0006249
CDP reduction	GO:0006250
dCDP catabolism	GO:0006251
CTP reduction	GO:0006252
dCTP catabolism	GO:0006253
CTP catabolism	GO:0006254
UDP reduction	GO:0006255
UDP catabolism	GO:0006256
dUDP catabolism	GO:0006257
UDP-glucose catabolism	GO:0006258
DNA metabolism	GO:0006259
DNA replication	GO:0006260
DNA dependent DNA replication	GO:0006261
mitochondrial DNA replication	GO:0006264
DNA topological change	GO:0006265
DNA ligation	GO:0006266
pre-replicative complex formation and maintenance	GO:0006267
DNA unwinding	GO:0006268
DNA replication\, priming	GO:0006269
DNA replication initiation	GO:0006270
DNA strand elongation	GO:0006271
leading strand elongation	GO:0006272
lagging strand elongation	GO:0006273
DNA replication termination	GO:0006274
regulation of DNA replication	GO:0006275
plasmid maintenance	GO:0006276
DNA amplification	GO:0006277
RNA dependent DNA replication	GO:0006278
premeiotic DNA synthesis	GO:0006279
mutagenesis	GO:0006280
DNA repair	GO:0006281
regulation of DNA repair	GO:0006282
transcription-coupled nucleotide-excision repair	GO:0006283
base-excision repair	GO:0006284
base-excision repair\, AP site formation	GO:0006285
base-excision repair\, base-free sugar-phosphate removal	GO:0006286
base-excision repair\, gap-filling	GO:0006287
base-excision repair\, DNA ligation	GO:0006288
nucleotide-excision repair	GO:0006289
pyrimidine dimer repair	GO:0006290
nucleotide-excision repair\, preincision complex stabilization	GO:0006293
nucleotide-excision repair\, preincision complex formation	GO:0006294
nucleotide-excision repair\, DNA incision\, 3' to lesion	GO:0006295
nucleotide-excision repair\, DNA incision\, 5' to lesion	GO:0006296
