phosphopyruvate hydratase complex	GO:0000015
snRNP U4	GO:0005687
snRNP U6	GO:0005688
minor (U12-dependent) spliceosome complex	GO:0005689
snRNP U4atac	GO:0005690
snRNP U6atac	GO:0005691
snRNP U11	GO:0005692
snRNP U12	GO:0005693
chromosome	GO:0005694
telomerase holoenzyme complex	GO:0005697
polytene chromosome	GO:0005700
polytene chromosome chromocenter	GO:0005701
polytene chromosome weak point	GO:0005702
polytene chromosome puff	GO:0005703
polytene chromosome band	GO:0005704
polytene chromosome interband	GO:0005705
polytene chromosome ectopic fiber	GO:0005706
chiasma	GO:0005712
recombination nodule	GO:0005713
early recombination nodule	GO:0005714
late recombination nodule	GO:0005715
nuclear euchromatin	GO:0005719
nuclear heterochromatin	GO:0005720
centric heterochromatin	GO:0005721
beta-heterochromatin	GO:0005722
alpha-heterochromatin	GO:0005723
nuclear telomeric heterochromatin	GO:0005724
intercalary heterochromatin	GO:0005725
perichromatin fibrils	GO:0005726
extrachromosomal circular DNA	GO:0005727
extrachromosomal rDNA circle	GO:0005728
2-micrometer circle DNA	GO:0005729
nucleolus	GO:0005730
nucleolus organizer complex	GO:0005731
small nucleolar ribonucleoprotein complex	GO:0005732
DNA-directed RNA polymerase I complex	GO:0005736
cytoplasm	GO:0005737
mitochondrion	GO:0005739
mitochondrial membrane	GO:0005740
mitochondrial outer membrane	GO:0005741
mitochondrial outer membrane translocase complex	GO:0005742
mitochondrial inner membrane	GO:0005743
mitochondrial inner membrane pre-sequence translocase complex	GO:0005744
m-AAA complex	GO:0005745
mitochondrial electron transport chain	GO:0005746
respiratory chain complex I (sensu Eukarya)	GO:0005747
respiratory chain complex II (sensu Eukarya)	GO:0005749
respiratory chain complex III (sensu Eukarya)	GO:0005750
respiratory chain complex IV (sensu Eukarya)	GO:0005751
proton-transporting ATP synthase complex (sensu Eukarya)	GO:0005753
proton-transporting ATP synthase\, catalytic core (sensu Eukarya)	GO:0005754
proton-transporting ATP synthase\, central stalk (sensu Eukarya)	GO:0005756
mitochondrial permeability transition pore	GO:0005757
mitochondrial intermembrane space	GO:0005758
mitochondrial matrix	GO:0005759
gamma DNA polymerase complex	GO:0005760
mitochondrial ribosome	GO:0005761
mitochondrial large ribosomal subunit	GO:0005762
mitochondrial small ribosomal subunit	GO:0005763
lysosome	GO:0005764
lysosomal membrane	GO:0005765
primary lysosome	GO:0005766
secondary lysosome	GO:0005767
endosome	GO:0005768
early endosome	GO:0005769
late endosome	GO:0005770
multivesicular body	GO:0005771
digestive vacuole	GO:0005772
vacuole	GO:0005773
vacuolar membrane	GO:0005774
vacuolar lumen	GO:0005775
autophagic vacuole	GO:0005776
peroxisome	GO:0005777
peroxisomal membrane	GO:0005778
integral peroxisomal membrane	GO:0005779
intra-peroxisomal peripheral membrane	GO:0005780
peroxisome targeting signal receptor complex	GO:0005781
peroxisomal matrix	GO:0005782
endoplasmic reticulum	GO:0005783
translocon	GO:0005784
signal recognition particle receptor complex	GO:0005785
signal recognition particle	GO:0005786
signal peptidase complex	GO:0005787
endoplasmic reticulum lumen	GO:0005788
endoplasmic reticulum membrane	GO:0005789
smooth endoplasmic reticulum	GO:0005790
rough endoplasmic reticulum	GO:0005791
microsome	GO:0005792
ER-Golgi intermediate compartment	GO:0005793
Golgi apparatus	GO:0005794
Golgi stack	GO:0005795
Golgi lumen	GO:0005796
Golgi medial cisterna	GO:0005797
Golgi vesicle	GO:0005798
Golgi cis-face	GO:0005801
Golgi trans face	GO:0005802
lipid particle	GO:0005811
centrosome	GO:0005813
centriole	GO:0005814
microtubule organizing center	GO:0005815
spindle pole body	GO:0005816
aster	GO:0005818
spindle	GO:0005819
intermediate layer of spindle pole body	GO:0005821
inner plaque of spindle pole body	GO:0005822
central plaque of spindle pole body	GO:0005823
outer plaque of spindle pole body	GO:0005824
half bridge of spindle pole body	GO:0005825
contractile ring	GO:0005826
polar microtubule	GO:0005827
kinetochore microtubule	GO:0005828
cytosol	GO:0005829
cytosolic ribosome (sensu Eukarya)	GO:0005830
steroid hormone aporeceptor complex	GO:0005831
chaperonin-containing T-complex	GO:0005832
hemoglobin complex	GO:0005833
heterotrimeric G-protein complex	GO:0005834
fatty-acid synthase complex	GO:0005835
fatty-acyl-CoA synthase complex	GO:0005836
proteasome regulatory particle (sensu Eukarya)	GO:0005838
proteasome core complex (sensu Eukarya)	GO:0005839
ribosome	GO:0005840
cytosolic large ribosomal subunit (sensu Eukarya)	GO:0005842
cytosolic small ribosomal subunit (sensu Eukarya)	GO:0005843
polysome	GO:0005844
mRNA cap complex	GO:0005845
snRNA cap binding complex	GO:0005846
mRNA cleavage and polyadenylation specificity factor complex	GO:0005847
mRNA cleavage stimulating factor complex	GO:0005848
mRNA cleavage factor complex	GO:0005849
eukaryotic translation initiation factor 2 complex	GO:0005850
eukaryotic translation initiation factor 2B complex	GO:0005851
eukaryotic translation initiation factor 3 complex	GO:0005852
eukaryotic translation elongation factor 1 complex	GO:0005853
nascent polypeptide-associated complex	GO:0005854
signal sequence receptor complex	GO:0005855
cytoskeleton	GO:0005856
actin cortical patch (sensu Saccharomyces)	GO:0005857
axonemal dynein complex	GO:0005858
muscle myosin	GO:0005859
non-muscle myosin	GO:0005860
troponin complex	GO:0005861
muscle thin filament tropomyosin	GO:0005862
striated muscle thick filament	GO:0005863
striated muscle thin filament	GO:0005865
cytoplasmic dynein complex	GO:0005868
dynactin complex	GO:0005869
actin capping protein of dynactin complex	GO:0005870
kinesin complex	GO:0005871
minus-end kinesin complex	GO:0005872
plus-end kinesin complex	GO:0005873
microtubule	GO:0005874
microtubule associated complex	GO:0005875
spindle microtubule	GO:0005876
axonemal microtubule	GO:0005879
nuclear microtubule	GO:0005880
cytoplasmic microtubule	GO:0005881
intermediate filament	GO:0005882
neurofilament	GO:0005883
actin filament	GO:0005884
Arp2/3 protein complex	GO:0005885
plasma membrane	GO:0005886
integral to plasma membrane	GO:0005887
hydrogen/potassium-exchanging ATPase complex	GO:0005889
sodium/potassium-exchanging ATPase complex	GO:0005890
voltage-gated calcium channel complex	GO:0005891
nicotinic acetylcholine-gated receptor-channel complex	GO:0005892
interleukin-2 receptor complex	GO:0005893
interleukin-3 receptor complex	GO:0005894
interleukin-5 receptor complex	GO:0005895
interleukin-6 receptor complex	GO:0005896
interleukin-9 receptor complex	GO:0005897
interleukin-13 receptor complex	GO:0005898
insulin receptor complex	GO:0005899
oncostatin-M receptor complex	GO:0005900
caveola	GO:0005901
microvillus	GO:0005902
brush border	GO:0005903
lipid bilayer	GO:0005904
coated pit	GO:0005905
intercellular junction	GO:0005911
adherens junction	GO:0005912
cell-cell adherens junction	GO:0005913
spot adherens junction	GO:0005914
zonula adherens	GO:0005915
fascia adherens	GO:0005916
nephrocyte junction	GO:0005917
septate junction	GO:0005918
pleated septate junction	GO:0005919
smooth septate junction	GO:0005920
gap junction	GO:0005921
connexon complex	GO:0005922
tight junction	GO:0005923
cell-substrate adherens junction	GO:0005924
focal adhesion	GO:0005925
connecting hemi-adherens junction	GO:0005926
muscle tendon junction	GO:0005927
apical hemi-adherens junction	GO:0005928
cilium	GO:0005929
axoneme	GO:0005930
nexin	GO:0005931
basal body	GO:0005932
bud	GO:0005933
bud tip	GO:0005934
bud neck	GO:0005935
shmoo tip	GO:0005937
cell cortex	GO:0005938
septin ring	GO:0005940
unlocalized	GO:0005941
1-phosphatidylinositol 3-kinase complex	GO:0005942
1-phosphatidylinositol-4-phosphate kinase\, class IA complex	GO:0005943
1-phosphatidylinositol-4-phosphate kinase\, class IB complex	GO:0005944
6-phosphofructokinase complex	GO:0005945
alpha\, alpha-trehalose-phosphate synthase complex (UDP-forming)	GO:0005946
alpha-ketoglutarate dehydrogenase complex (sensu Eukarya)	GO:0005947
acetolactate synthase complex	GO:0005948
aminoadipate-semialdehyde dehydrogenase complex	GO:0005949
anthranilate synthase complex	GO:0005950
carbamoyl-phosphate synthase complex	GO:0005951
cAMP-dependent protein kinase complex	GO:0005952
CAAX-protein geranylgeranyltransferase complex	GO:0005953
calcium/calmodulin-dependent protein kinase complex	GO:0005954
calcineurin complex	GO:0005955
protein kinase CK2 complex	GO:0005956
DNA-dependent protein kinase complex	GO:0005958
glycine cleavage complex	GO:0005960
glycine dehydrogenase complex (decarboxylating)	GO:0005961
isocitrate dehydrogenase complex (NAD+) (sensu Eukarya)	GO:0005962
magnesium-dependent protein serine/threonine phosphatase complex	GO:0005963
phosphorylase kinase complex	GO:0005964
protein farnesyltransferase complex	GO:0005965
photoreceptor cyclic-nucleotide phosphodiesterase complex	GO:0005966
pyruvate dehydrogenase complex (sensu Eukarya)	GO:0005967
Rab-protein geranylgeranyltransferase complex	GO:0005968
serine-pyruvate aminotransferase\, type 2B complex	GO:0005969
serine-pyruvate aminotransferase\, type 1 complex	GO:0005970
ribonucleoside-diphosphate reductase complex	GO:0005971
lamina lucida	GO:0008002
lamina densa	GO:0008003
lamina reticularis	GO:0008004
synaptic vesicle	GO:0008021
transcription elongation factor complex	GO:0008023
transcription elongation factor complex b	GO:0008024
ferritin complex	GO:0008043
farnesyl-diphosphate farnesyl transferase complex	GO:0008051
guanylate cyclase complex\, soluble	GO:0008074
voltage-gated potassium channel complex	GO:0008076
light-activated voltage-gated calcium channel complex	GO:0008087
spectrin	GO:0008091
signalosome complex	GO:0008180
ecdysone receptor holocomplex	GO:0008230
repressor ecdysone receptor holocomplex	GO:0008231
activator ecdysone receptor holocomplex	GO:0008232
2-acetyl-1-alkylglycerophosphocholine esterase complex	GO:0008247
oligosaccharyl transferase complex	GO:0008250
gamma-tubulin ring complex	GO:0008274
gamma-tubulin small complex	GO:0008275
cohesin complex	GO:0008278
cohesin core heterodimer	GO:0008280
ATP-sensitive potassium channel complex	GO:0008282
protein serine/threonine phosphatase complex	GO:0008287
F-actin capping protein complex	GO:0008290
caspase complex	GO:0008303
integrin complex	GO:0008305
ionotropic glutamate receptor complex	GO:0008328
katanin	GO:0008352
cellular_component unknown	GO:0008372
IkappaB kinase complex	GO:0008385
proteasome activator complex	GO:0008537
proteasome regulatory particle\, base subcomplex (sensu Eukarya)	GO:0008540
proteasome regulatory particle\, lid subcomplex (sensu Eukarya)	GO:0008541
epsilon DNA polymerase complex	GO:0008622
chromatin accessibility complex	GO:0008623
cell wall (sensu Bacteria)	GO:0009274
cell wall (sensu Gram-positive Bacteria)	GO:0009275
cell wall (sensu Gram-negative Bacteria)	GO:0009276
cell wall (sensu Fungi)	GO:0009277
external outer membrane (sensu Gram-negative Bacteria)	GO:0009279
cytosolic ribosome (sensu Bacteria)	GO:0009281
cytosolic large ribosomal subunit (sensu Bacteria)	GO:0009282
cytosolic small ribosomal subunit (sensu Bacteria)	GO:0009283
flagellum (sensu Bacteria)	GO:0009288
fimbria	GO:0009289
nucleoid	GO:0009295
3-isopropylmalate dehydratase complex	GO:0009316
acetyl-CoA carboxylase complex	GO:0009317
exodeoxyribonuclease VII complex	GO:0009318
cytochrome o ubiquinol oxidase complex	GO:0009319
phosphoribosylaminoimidazole carboxylase complex	GO:0009320
alkyl hydroperoxide reductase complex	GO:0009321
trimethylamine-N-oxide reductase complex	GO:0009322
ribosomal-protein-alanine N-acetyltransferase complex	GO:0009323
D-amino acid dehydrogenase complex	GO:0009324
nitrate reductase complex	GO:0009325
formate dehydrogenase complex	GO:0009326
NAD(P)+ transhydrogenase complex (AB-specific)	GO:0009327
phenylalanine-tRNA ligase complex	GO:0009328
acetate CoA-transferase complex	GO:0009329
DNA topoisomerase complex (ATP-hydrolyzing)	GO:0009330
glycerol-3-phosphate dehydrogenase complex	GO:0009331
glutamate-tRNA ligase complex	GO:0009332
cysteine synthase complex	GO:0009333
3-phenylpropionate dioxygenase complex	GO:0009334
holo-[acyl-carrier protein] synthase complex	GO:0009335
sulfate adenylyltransferase complex (ATP)	GO:0009336
sulfite reductase complex (NADPH)	GO:0009337
exodeoxyribonuclease V complex	GO:0009338
glycolate oxidase complex	GO:0009339
DNA topoisomerase IV complex	GO:0009340
beta-galactosidase complex	GO:0009341
glutamate synthase complex (NADPH)	GO:0009342
biotin carboxylase complex	GO:0009343
nitrite reductase complex (NAD(P)H)	GO:0009344
glycine-tRNA ligase complex	GO:0009345
citrate lyase complex	GO:0009346
aspartate carbamoyltransferase complex	GO:0009347
ornithine carbamoyltransferase complex	GO:0009348
riboflavin synthase complex	GO:0009349
ethanolamine ammonia-lyase complex	GO:0009350
dihydrolipoamide S-acyltransferase complex	GO:0009351
dihydrolipoamide dehydrogenase complex	GO:0009352
oxoglutarate dehydrogenase complex (sensu Eukarya)	GO:0009353
dihydrolipoamide S-succinyltransferase complex	GO:0009354
DNA polymerase V complex	GO:0009355
p-aminobenzoate synthetase complex	GO:0009356
protein-N(PI)-phosphohistidine-sugar phosphotransferase complex	GO:0009357
polyphosphate kinase complex	GO:0009358
type II site-specific deoxyribonuclease complex	GO:0009359
DNA polymerase III complex	GO:0009360
succinate-CoA ligase complex (ADP-forming)	GO:0009361
protein histidine kinase complex	GO:0009365
enterobactin synthetase complex	GO:0009366
prepilin peptidase complex	GO:0009367
endopeptidase Clp complex	GO:0009368
hydrogenase complex	GO:0009375
HslUV protease complex	GO:0009376
Holliday junction helicase complex	GO:0009379
excinuclease ABC complex	GO:0009380
imidazoleglycerol-phosphate synthase complex	GO:0009382
dimethyl sulfoxide reductase complex	GO:0009390
fimbrin	GO:0009417
fimbrial shaft	GO:0009418
fimbrial tip	GO:0009419
flagellar filament (sensu Bacteria)	GO:0009420
flagellar filament cap (sensu Bacteria)	GO:0009421
flagellar hook-filament junction (sensu Bacteria)	GO:0009422
flagellar hook (sensu Bacteria)	GO:0009424
flagellar basal body (sensu Bacteria)	GO:0009425
flagellar basal body\, distal rod (sensu Bacteria)	GO:0009426
flagellar basal body\, distal rod\, L ring (sensu Bacteria)	GO:0009427
flagellar basal body\, distal rod\, P ring (sensu Bacteria)	GO:0009428
flagellar basal body\, proximal rod (sensu Bacteria)	GO:0009429
flagellar basal body\, MS ring (sensu Bacteria)	GO:0009431
flagellar basal body\, C ring (sensu Bacteria)	GO:0009433
flagellum (sensu Eukarya)	GO:0009434
amyloplast	GO:0009501
photosynthetic electron transport chain	GO:0009502
light-harvesting complex (sensu Viridiplantae)	GO:0009503
cell plate	GO:0009504
cell wall (sensu Magnoliophyta)	GO:0009505
plasmodesma	GO:0009506
chloroplast	GO:0009507
plastid chromosome	GO:0009508
chromoplast	GO:0009509
plasmodesmatal desmotubule	GO:0009510
plasmodesmatal endoplasmic reticulum	GO:0009511
cytochrome b6f complex	GO:0009512
etioplast	GO:0009513
glyoxysome	GO:0009514
granal stacked thylakoid	GO:0009515
leucoplast	GO:0009516
PSII associated light-harvesting complex II	GO:0009517
PSI associated light-harvesting complex I	GO:0009518
middle lamella	GO:0009519
photosystem	GO:0009521
photosystem I	GO:0009522
photosystem II	GO:0009523
phragmoplast	GO:0009524
phragmosome	GO:0009525
plastid envelope	GO:0009526
plastid outer membrane	GO:0009527
plastid inner membrane	GO:0009528
plastid intermembrane space	GO:0009529
primary cell wall	GO:0009530
secondary cell wall	GO:0009531
plastid stroma	GO:0009532
chloroplast stromal thylakoid	GO:0009533
thylakoid (sensu Viridiplantae)	GO:0009534
thylakoid membrane (sensu Viridiplantae)	GO:0009535
plastid	GO:0009536
proplastid	GO:0009537
photosystem I reaction center	GO:0009538
photosystem II reaction center	GO:0009539
etioplast prolamellar body	GO:0009541
granum	GO:0009542
thylakoid lumen (sensu Viridiplantae)	GO:0009543
chloroplast ATP synthase complex	GO:0009544
elaioplast	GO:0009545
plasmodesmatal cytoplasmic sleeve	GO:0009546
plastid ribosome	GO:0009547
plasmodesmatal plasma membrane	GO:0009548
cellulose microfibril	GO:0009549
primary plasmodesma	GO:0009550
secondary plasmodesma	GO:0009551
amyloplast starch grain	GO:0009568
chloroplast starch grain	GO:0009569
chloroplast stroma	GO:0009570
proplastid stroma	GO:0009571
desmotubule central rod	GO:0009572
ribulose bisphosphate carboxylase complex	GO:0009573
preprophase band	GO:0009574
chromoplast stroma	GO:0009575
leucoplast stroma	GO:0009576
elaioplast stroma	GO:0009577
etioplast stroma	GO:0009578
thylakoid	GO:0009579
oxygen evolving complex	GO:0009654
PSII associated light-harvesting complex II\, core complex	GO:0009655
PSII associated light-harvesting complex II\, peripheral complex	GO:0009656
vacuolar membrane (sensu Streptophyta)	GO:0009705
chloroplast inner membrane	GO:0009706
chloroplast outer membrane	GO:0009707
photosystem I antenna complex	GO:0009782
photosystem II antenna complex	GO:0009783
chloroplastic endopeptidase Clp complex	GO:0009840
mitochondrial endopeptidase Clp complex	GO:0009841
cyanelle	GO:0009842
thylakoid (sensu Glaucocystophyceae)	GO:0009843
external side of plasma membrane	GO:0009897
internal side of plasma membrane	GO:0009898
auxin efflux carrier complex	GO:0009921
fatty acid elongase complex	GO:0009923
basal plasma membrane	GO:0009925
cell surface (sensu Magnoliophyta)	GO:0009928
longitudinal side of cell surface (sensu Magnoliophyta)	GO:0009930
chloroplast envelope	GO:0009941
cell surface	GO:0009986
cortical microtubule (sensu Viridiplantae)	GO:0010005
toc complex	GO:0010006
magnesium chelatase complex	GO:0010007
endosome membrane	GO:0010008
external side of endosome membrane	GO:0010009
endomembrane system	GO:0012505
vesicle membrane	GO:0012506
ER-Golgi transport vesicle membrane	GO:0012507
Golgi-ER transport vesicle membrane	GO:0012508
inter-Golgi transport vesicle membrane	GO:0012509
trans-Golgi network transport vesicle membrane	GO:0012510
lipid storage body (sensu Viridiplantae)	GO:0012511
ubiquinol-cytochrome c reductase complex (sensu Eukarya)	GO:0015008
Cajal body	GO:0015030
methane monooxygenase complex	GO:0015050
type II protein secretion system complex	GO:0015627
actin cytoskeleton	GO:0015629
microtubule cytoskeleton	GO:0015630
large ribosomal subunit	GO:0015934
small ribosomal subunit	GO:0015935
Nebenkern	GO:0016006
mitochondrial derivative	GO:0016007
major mitochondrial derivative	GO:0016008
minor mitochondrial derivative	GO:0016009
dystrophin-associated glycoprotein complex	GO:0016010
dystroglycan complex	GO:0016011
sarcoglycan complex	GO:0016012
syntrophin complex	GO:0016013
dystrobrevin complex	GO:0016014
membrane	GO:0016020
integral to membrane	GO:0016021
endoplasmic reticulum cisterna	GO:0016022
cytoplasmic vesicle	GO:0016023
inaD signaling complex	GO:0016027
rhabdomere	GO:0016028
subrhabdomeral cisterna	GO:0016029
zeta DNA polymerase complex	GO:0016035
procollagen-proline\, 2-oxoglutarate-4-dioxygenase complex	GO:0016222
inclusion body	GO:0016234
aggresome	GO:0016235
prefoldin complex	GO:0016272
