(S)-2-hydroxy-acid oxidase	SF000138
NADH dehydrogenase (ubiquinone) chain 1	SF000215
NADH dehydrogenase (ubiquinone) chain 11	SF000224
NADH dehydrogenase (ubiquinone) chain 2	SF000222
NADH dehydrogenase (ubiquinone) chain 3	SF000225
NADH dehydrogenase (ubiquinone) chain 4	SF000227
NADH dehydrogenase (ubiquinone) chain 4L	SF000226
NADH dehydrogenase (ubiquinone) chain 5	SF000228
NADH dehydrogenase (ubiquinone) chain 6	SF000229
NADH dehydrogenase (ubiquinone) chain F	SF000217
NADPH-ferrihemoprotein reductase	SF000208
Na+/K+-exchanging ATPase beta-3 chain	SF005757
Na+/K+-transporting ATPase alpha chain	SF001297
Na+/K+-transporting ATPase beta chain	SF001298
Neurospora cytosolic leucine-tRNA ligase	SF001521
O-methyltransferase	SF005739
O-succinylhomoserine (thiol)-lyase	SF001434
OX40 ligand	SF009367
P-selectin	SF036331
Passover protein	SF005844
Phaseolus glycine-rich protein 1.0	SF002681
Pyrococcus abyssi hypothetical protein PAB0429	SF015728
Pyrococcus horikoshii hypothetical protein PH1060	SF015730
RAD50 protein	SF003342
RING finger protein MAT1	SF003338
RNA-binding protein EWS	SF002101
RPD3 protein	SF003305
Ras interactor RIN1	SF001735
S-100 protein	SF002353
SEC23 protein	SF003206
SF015161	SF015161
SF015618	SF015618
SF015624	SF015624
SF015661	SF015661
SF015663	SF015663
SF015682	SF015682
SF015712	SF015712
SF015719	SF015719
SF015720	SF015720
SF015722	SF015722
SF015743	SF015743
SF015744	SF015744
SF015745	SF015745
SF015749	SF015749
SF015752	SF015752
SF015758	SF015758
SF015759	SF015759
SF015819	SF015819
SF015835	SF015835
SF015839	SF015839
SF015844	SF015844
SF015846	SF015846
SF015847	SF015847
SF015849	SF015849
SF015850	SF015850
SF015851	SF015851
SF015854	SF015854
SF015859	SF015859
SF015860	SF015860
SF015893	SF015893
SF015898	SF015898
SF015901	SF015901
SF015922	SF015922
SF015943	SF015943
SF015945	SF015945
SF015947	SF015947
SF015954	SF015954
SF016005	SF016005
SF016017	SF016017
SF016032	SF016032
SF016041	SF016041
SF016044	SF016044
SF016046	SF016046
SF016048	SF016048
SF016053	SF016053
SF016057	SF016057
SF016063	SF016063
SF016067	SF016067
SF016072	SF016072
SF016081	SF016081
SF016102	SF016102
SF016104	SF016104
SF016105	SF016105
SF016238	SF016238
SF016305	SF016305
SF016308	SF016308
SF016312	SF016312
SF016313	SF016313
SF016322	SF016322
SF016325	SF016325
SF016327	SF016327
SF016369	SF016369
SF016435	SF016435
SF016439	SF016439
SF016440	SF016440
SF016441	SF016441
SF016444	SF016444
SF016463	SF016463
SF016464	SF016464
SF016502	SF016502
SF016503	SF016503
SF016515	SF016515
SF016520	SF016520
SF016521	SF016521
SF016522	SF016522
SF016525	SF016525
SF016527	SF016527
SF016529	SF016529
SF016530	SF016530
SF016533	SF016533
SF016535	SF016535
SF016542	SF016542
SF016544	SF016544
SF016545	SF016545
SF016549	SF016549
SF016550	SF016550
SF016553	SF016553
SF016562	SF016562
SF016564	SF016564
SF016567	SF016567
SF016569	SF016569
SF016570	SF016570
SF016571	SF016571
SF016574	SF016574
SF016577	SF016577
SF016581	SF016581
SF016588	SF016588
SF016591	SF016591
SF016594	SF016594
SF016598	SF016598
SF016606	SF016606
SF016607	SF016607
SF016608	SF016608
SF016610	SF016610
SF016613	SF016613
SF016614	SF016614
SF016616	SF016616
SF016617	SF016617
SF016620	SF016620
SF016621	SF016621
SF016623	SF016623
SF016627	SF016627
SF016629	SF016629
SF016634	SF016634
SF016635	SF016635
SF016767	SF016767
SF016768	SF016768
SF016939	SF016939
SF016952	SF016952
SF016953	SF016953
SF016954	SF016954
SF016955	SF016955
SF017021	SF017021
SF017026	SF017026
SF017029	SF017029
SF017155	SF017155
SF017198	SF017198
SF017234	SF017234
SF017244	SF017244
SF017268	SF017268
SF017277	SF017277
SF017299	SF017299
SF017434	SF017434
SF017449	SF017449
SF017458	SF017458
SF017562	SF017562
SF017607	SF017607
SF017609	SF017609
SF017611	SF017611
SF017612	SF017612
SF017632	SF017632
SF017635	SF017635
SF017675	SF017675
SF017681	SF017681
SF017682	SF017682
SF017692	SF017692
SF017700	SF017700
SF017706	SF017706
SF017708	SF017708
SF017716	SF017716
SF017721	SF017721
SF017739	SF017739
SF017742	SF017742
SF017743	SF017743
SF017744	SF017744
SF017745	SF017745
SF017760	SF017760
SF017765	SF017765
SF017766	SF017766
SF017773	SF017773
SF017788	SF017788
SF017831	SF017831
SF017834	SF017834
SF017835	SF017835
SF017858	SF017858
SF017947	SF017947
SF017954	SF017954
SF017964	SF017964
SF017965	SF017965
SF017967	SF017967
SF018001	SF018001
SF018090	SF018090
SF018113	SF018113
SF018114	SF018114
SF018116	SF018116
SF018121	SF018121
SF018126	SF018126
SF018128	SF018128
SF018166	SF018166
SF018169	SF018169
SF018175	SF018175
SF018180	SF018180
SF018185	SF018185
SF018203	SF018203
SF018204	SF018204
SF018205	SF018205
SF018206	SF018206
SF018208	SF018208
SF018216	SF018216
SF018236	SF018236
SF018237	SF018237
SF018242	SF018242
SF018259	SF018259
SF018271	SF018271
SF018286	SF018286
SF018288	SF018288
SF018290	SF018290
SF018291	SF018291
SF018300	SF018300
SF018312	SF018312
SF018314	SF018314
SF018322	SF018322
SF018363	SF018363
SF018365	SF018365
SF018373	SF018373
SF018374	SF018374
SF018375	SF018375
SF018376	SF018376
SF018377	SF018377
SF018378	SF018378
SF018380	SF018380
SF018387	SF018387
SF018396	SF018396
SF018405	SF018405
SF018417	SF018417
SF018419	SF018419
SF018420	SF018420
SF018435	SF018435
SF018443	SF018443
SF018444	SF018444
SF018449	SF018449
SF018466	SF018466
SF018475	SF018475
SF018497	SF018497
SF018501	SF018501
SF018512	SF018512
SF018514	SF018514
SF018515	SF018515
SF018517	SF018517
SF018518	SF018518
SF018520	SF018520
SF018524	SF018524
SF018525	SF018525
SF018526	SF018526
SF018529	SF018529
SF018531	SF018531
SF018533	SF018533
SF018534	SF018534
SF018536	SF018536
SF018540	SF018540
SF018547	SF018547
SF018548	SF018548
SF018549	SF018549
SF018550	SF018550
SF018552	SF018552
SF018553	SF018553
SF018554	SF018554
SF018555	SF018555
SF018556	SF018556
SF018557	SF018557
SF018558	SF018558
SF018561	SF018561
SF018562	SF018562
SF018563	SF018563
SF018583	SF018583
SF018584	SF018584
SF018585	SF018585
SF019028	SF019028
SF019029	SF019029
SF019030	SF019030
SF019480	SF019480
SF019532	SF019532
SF019533	SF019533
SF019537	SF019537
SF019545	SF019545
SF019548	SF019548
SF019558	SF019558
SF019560	SF019560
SF019561	SF019561
SF019594	SF019594
SF019596	SF019596
SF019598	SF019598
SF019599	SF019599
SF019600	SF019600
SF019602	SF019602
SF019604	SF019604
SF019608	SF019608
SF019614	SF019614
SF019621	SF019621
SF019622	SF019622
SF019623	SF019623
SF019626	SF019626
SF019635	SF019635
SF019672	SF019672
SF019693	SF019693
SF019782	SF019782
SF019921	SF019921
SF023882	SF023882
SF023883	SF023883
SF023884	SF023884
SF023885	SF023885
SF023887	SF023887
SF023888	SF023888
SF023889	SF023889
SF023890	SF023890
SF023896	SF023896
SF023897	SF023897
SF023898	SF023898
SF023899	SF023899
SF023900	SF023900
SF023901	SF023901
SF023916	SF023916
SF023917	SF023917
SF023919	SF023919
SF023920	SF023920
SF023921	SF023921
SF023922	SF023922
SF023923	SF023923
SF023924	SF023924
SF023925	SF023925
SF023926	SF023926
SF023927	SF023927
SF023932	SF023932
SF023933	SF023933
SF023934	SF023934
SF023935	SF023935
SF023936	SF023936
SF023937	SF023937
SF023939	SF023939
SF023940	SF023940
SF023941	SF023941
SF023942	SF023942
SF023943	SF023943
SF023944	SF023944
SF023946	SF023946
SF023948	SF023948
SF023949	SF023949
SF023951	SF023951
SF023952	SF023952
SF023953	SF023953
SF023955	SF023955
SF023956	SF023956
SF023957	SF023957
SF023966	SF023966
SF023967	SF023967
SF023969	SF023969
SF023970	SF023970
SF023972	SF023972
SF023973	SF023973
SF023974	SF023974
SF023976	SF023976
SF023977	SF023977
SF023978	SF023978
SF025005	SF025005
SF025022	SF025022
SF025373	SF025373
SF025378	SF025378
SF025454	SF025454
SF025938	SF025938
SF027338	SF027338
SF027340	SF027340
SF027351	SF027351
SF027352	SF027352
SF027803	SF027803
SF027808	SF027808
SF027809	SF027809
SF027810	SF027810
SF027812	SF027812
SF027813	SF027813
SF027814	SF027814
SF027815	SF027815
SF027817	SF027817
SF027818	SF027818
SF027819	SF027819
SF027820	SF027820
SF027821	SF027821
SF027822	SF027822
SF027824	SF027824
SF027825	SF027825
SF027826	SF027826
SF027828	SF027828
SF027831	SF027831
SF027832	SF027832
SF027833	SF027833
SF027834	SF027834
SF027835	SF027835
SF027836	SF027836
SF027837	SF027837
SF027985	SF027985
SF028043	SF028043
SF028738	SF028738
SF028739	SF028739
SF028749	SF028749
SF028758	SF028758
SF028804	SF028804
SF028821	SF028821
SF028841	SF028841
SF028843	SF028843
SF028915	SF028915
SF028921	SF028921
SF028926	SF028926
SF028927	SF028927
SF028988	SF028988
SF028989	SF028989
SF029013	SF029013
SF029021	SF029021
SF029026	SF029026
SF029027	SF029027
SF029771	SF029771
SF029846	SF029846
SF029847	SF029847
SF030202	SF030202
SF031081	SF031081
SF033001	SF033001
SF033089	SF033089
SF033090	SF033090
SF033910	SF033910
SF034247	SF034247
SF034248	SF034248
SF034443	SF034443
SF035054	SF035054
SF036290	SF036290
SF036292	SF036292
Saccharomyces alpha-mannosidase	SF009348
Saccharomyces cerevisiae DNA-directed RNA polymerase 40K chain	SF000750
Saccharomyces cerevisiae cell division control protein CDC10	SF006698
Saccharomyces cerevisiae probable membrane protein YNR048w	SF015840
Saccharomyces hypothetical protein YKL189w	SF009316
Saccharomyces probable membrane protein YCR034w	SF009300
Saccharomyces probable membrane protein YMR292w	SF009824
Schizosaccharomyces pombe 42K protein	SF005553
Schizosaccharomyces pombe hypothetical protein SPAC577.03c	SF017219
Schizosaccharomyces pombe hypothetical protein SPBC31F10.11c	SF028835
Schizosaccharomyces pombe hypothetical protein SPBC3E7.13c	SF017226
Schizosaccharomyces pombe negative regulator of mitosis skb1	SF015894
Schizosaccharomyces pombe probable transcription factor SPCC645.08c	SF017179
Schizosaccharomyces pombe single-stranded DNA binding protein 30K chain	SF015944
Schizosaccharomyces probable vacuolar protein sorting-associated protein	SF009375
Shb protein	SF023954
Streptococcus agalactiae capsular polysaccharide biosynthesis protein cpsN	SF015583
Streptomyces chitinase chi40	SF001061
Synechocystis hypothetical protein sll1147	SF016035
T-cell surface glycoprotein CD2	SF001984
T-cell surface glycoprotein CD28	SF002019
T-cell surface glycoprotein CD3 delta chain	SF001993
T-cell surface glycoprotein CD4	SF001977
T-cell surface glycoprotein CD5	SF001985
T-cell surface glycoprotein CD8 beta chain	SF002020
T-cell surface glycoprotein MAL	SF006355
TGF-beta receptor interacting protein	SF005593
TRPC3 protein	SF005528
Ty transcription activator TEC1	SF002601
UDP-N-acetylglucosamine acyltransferase	SF000456
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase	SF006375
UDP-galactose transporter	SF005799
UDPglucose-hexose-1-phosphate uridylyltransferase	SF000808
UMP synthase	SF000483
UTP-glucose-1-phosphate uridylyltransferase	SF000806
UV-damaged DNA-binding protein	SF002088
X box-binding protein 1	SF001720
X-linked lymphocyte-regulated protein	SF005466
Y box-binding protein 1	SF002600
acetate-CoA ligase	SF001550
acetyl-CoA acetyltransferase	SF000429
acetylcholine receptor	SF002443
acid sphingomyelinase	SF000948
acrosin	SF001141
actin	SF002337
actin bundling protein	SF005682
actin-capping protein alpha chain	SF005982
actin-capping protein beta chain	SF002336
activin receptor II	SF000627
acyl-CoA dehydrogenase	SF000182
acyl-CoA oxidase	SF000168
acyl-CoA thiolesterase II	SF004843
acylaminoacyl-peptidase	SF001131
acyloxyacyl hydrolase	SF000878
acylphosphatase	SF001266
adenine phosphoribosyltransferase	SF000479
adenomatous polyposis coli protein	SF002396
adenosine deaminase	SF001249
adenosine kinase	SF005991
adenosine receptor A1	SF005692
adenosylhomocysteinase	SF001109
adenylate kinase	SF000734
adenylosuccinate synthase	SF001578
adenylyl cyclase-associated protein MCH1	SF005505
adipokinetic hormone	SF001834
advanced glycosylation end products receptor	SF002509
aggrecan	SF002270
agouti protein ASIP	SF018587
alanine transaminase	SF000516
alanine-tRNA ligase	SF001526
alcohol dehydrogenase	SF000091
alcohol oxidase	SF000137
alcohol sulfotransferase	SF000856
aldehyde dehydrogenase (NAD+)	SF000147
aldehyde reductase	SF000097
alkaline phosphatase	SF000891
alkyl hydroperoxide reductase C22 protein	SF000239
allantoinase	SF001239
allergen Der p II	SF005796
allograft inflammatory factor-1	SF036323
alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	SF000475
alpha-2,3-sialyltransferase STZ	SF005557
alpha-2-HS-glycoprotein	SF002476
alpha-2-macroglobulin	SF001635
alpha-2-macroglobulin receptor	SF001963
alpha-L-fucosidase	SF001092
alpha-N-acetylneuraminate alpha-2,8-sialyltransferase	SF005554
alpha-actinin	SF002301
alpha-catenin	SF002294
alpha-crystallin	SF002280
alpha-fetoprotein enhancer-binding protein	SF002624
alpha-galactosidase	SF001080
alpha-glucosidase	SF001076
alpha-latrotoxin receptor, calcium-independent	SF010401
alpha-s1-casein	SF002370
alpha-s2-casein	SF002371
alpha-soluble NSF attachment protein	SF009269
amelogenin	SF002573
amidophosphoribosyltransferase	SF000485
amiloride-binding protein	SF005701
aminomethyltransferase	SF006487
amphiphysin	SF002386
amphiregulin	SF001777
amyloid protein	SF002472
animal 3'-phosphoadenosine-5'-phosphosulfate synthetase	SF001612
animal sulfatase	SF000971
ankyrin	SF002298
annexin I	SF002359
annexin VI	SF002361
annexin VII	SF002360
antileukoproteinase	SF001624
antithrombin III	SF001630
apolipoprotein A-I	SF002367
apolipoprotein B	SF002366
apolipoprotein B mRNA editing enzyme, catalytic chain 1	SF015861
apolipoprotein H	SF002488
apolipoprotein(a)	SF001153
apoptosis inhibitor IAP homolog	SF005724
apoptotic cell death regulator DAD1	SF005588
arachidonate 5-lipoxygenase	SF000316
arginase	SF001246
arginine permease	SF002742
arginine-tRNA ligase	SF001543
argininosuccinate lyase	SF001440
argininosuccinate synthase	SF001579
aromatic-L-amino-acid decarboxylase	SF001346
arrest-defective protein 1	SF001742
arrestin	SF005693
arylamine acetyltransferase	SF000426
arylphorin	SF005266
asparagine synthase (glutamine-hydrolyzing)	SF001589
aspartate aminotransferase	SF000515
aspartate transaminase	SF005725
ataxia telangiectasia-associated protein	SF000720
axon guidance signal protein	SF005772
band 3 anion transport protein	SF002468
basic fibroblast growth factor receptor 1	SF000628
bcl transforming protein	SF001714
bcr protein	SF002581
beta-adaptin	SF002291
beta-adrenergic-receptor kinase	SF000585
beta-casein	SF002372
beta-crystallin	SF002281
beta-galactosidase bga	SF006336
beta-galactoside alpha-2,3-sialyltransferase	SF005555
