Ribosomal protein L11, RNA binding domain	PF00298
Cytochrome C oxidase subunit II, transmembrane domain. The N-terminal domain of cytochrome C oxidase contains two transmembrane alpha-helices	PF02790
Ribosomal RNA adenine dimethylase	PF00398
Plant PEC family metallothionein	PF02068
NAC domain	PF01849
Suppressor Mra1. The suppressor Mra1 is found in high-copy-number when Ras1 is mutated, that recovers the mating deficiency caused by the decrease of Ras1 activity. Mutational analysis in yeast suggests that the suppressor Mra1 is essential for cell growt	PF03587
Anion-transporting ATPase. This Pfam family represents a conserved domain, which is sometimes repeated, in an anion-transporting ATPase. The ATPase is involved in the removal of arsenate, antimonite, and arsenate from the cell	PF02374
Paramyxovirus P phosphoprotein. This family consists of paramyxovirus P phosphoprotein from sendai virus and human and bovine parainfluenza viruses. The P protein is an essential part of the viral RNA polymerase complex formed form the P and L proteins.	PF01806
ATP P2X receptor	PF00864
MoaE protein. This family contains the MoaE protein that is involved in biosynthesis of molybdopterin. Molybdopterin, the universal component of the pterin molybdenum cofactors, contains a dithiolene group serving to bind Mo. Addition of the dithiolene su	PF02391
Nucleoplasmin. Nucleoplasmins are also known as chromatin decondensation proteins. They bind to core histones and transfer DNA to them in a reaction that requires ATP. This is thought to play a role in the assembly of regular nucleosomal arrays	PF03066
PI3-kinase family, ras-binding domain. Certain members of the PI3K family possess Ras-binding domains in their N-termini. These regions show some similarity (although not highly significant similarity) to Ras-binding pfam00788 domains	PF00794
SH2 domain	PF00017
Uncharacterized ACR	PF02591
Myosin tail	PF01576
Aconitase C-terminal domain. Members of this family usually also match to pfam00330. This domain undergoes conformational change in the enzyme mechanism	PF00694
Chitin synthase. Members of this family are fungal chitin synthase EC:2.4.1.16 enzymes. They catalyse chitin synthesis as follows: UDP-N-acetyl-D-glucosamine + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N) <=> UDP + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N+1)	PF03142
Glycosyl transferase family, a/b domain. This family includes anthranilate phosphoribosyltransferase (TrpD), thymidine phosphorylase. All these proteins can transfer a phosphorylated ribose substrate	PF00591
Aminotransferase class IV. The D-amino acid transferases (D-AAT) are required by bacteria to catalyse the synthesis of D-glutamic acid and D-alanine, which are essential constituents of bacterial cell wall and are the building block for other D-amino acid	PF01063
MBOAT family. The MBOAT (membrane bound O-acyl transferase) family of membrane proteins contains a variety of acyltransferase enzymes. A conserved histidine has been suggested to be the active site residue	PF03062
Ribosomal L18ae protein family	PF01775
Malic enzyme, NAD binding domain	PF03949
Uncharacterized ACR, COG1490	PF02580
Apolipoprotein A1/A4/E family. These proteins contain several 22 residue repeats which form a pair of alpha helices. This family includes: Apolipoprotein A-I, Apolipoprotein A-IV, Apolipoprotein E	PF01442
Integrase Zinc binding domain. Integrase mediates integration of a DNA copy of the viral genome into the host chromosome. Integrase is composed of three domains. This domain is the amino-terminal domain zinc binding domain. The central domain is the catal	PF02022
Caldesmon	PF02029
Chlorohydrolase. This family consist of chlorohydrolase from the ATZ/TRZ family	PF01685
A20-like zinc finger. A20- (an inhibitor of cell death)-like zinc fingers. The zinc finger mediates self-association in A20. These fingers also mediate IL-1-induced NF-kappa B activation	PF01754
Nup133 nucleoporin. RNA undergoing nuclear export first encounters the basket of the nuclear pore. Nup133 is a nucleoporin accessible on the basket side of the pore	PF04044
Arp2/3 complex, 34kD subunit p34-Arc. Arp2/3 protein complex has been implicated in the control of actin polymerization in cells. The human complex consists of seven subunits which include the actin related Arp2 and Arp3, and five others referred to as p4	PF04045
ATP synthase B/B' CF(0)	PF00430
Sm protein. The U1, U2, U4/U6, and U5 small nuclear ribonucleoprotein particles (snRNPs) involved in pre-mRNA splicing contain seven Sm proteins (B/B', D1, D2, D3, E, F and G) in common, which assemble around the Sm site present in four of the major splic	PF01423
Uncharacterized BCR, YceG family COG1559	PF02618
Uncharacterised protein family (Hly-III / UPF0073). Members of this family are integral membrane proteins. This family includes a protein with hemolytic activity from Bacillus cereus. It is not clear if all the members of this family are hemolysins. It h	PF03006
Exportin-t. Exportin-t is a specific mediator of tRNA export. RanGTP-binding, importin beta-related factor with predominantly nuclear localization. It shuttles rapidly between nucleus and between nucleus and cytoplasm and interacts with nuclear pore comp	PF04150
Acetyltransferase (GNAT) family	PF00583
Origin recognition complex subunit 2. All DNA replication initiation is driven by a single conserved eukaryotic initiator complex termed he origin recognition complex (ORC). The ORC is a six protein complex. The function of ORC is reviewed in	PF04084
Homocysteine S-methyltransferase. This is a family of related homocysteine S-methyltransferases enzymes: 5-methyltetrahydrofolate--homocysteine S-methyltransferases also known EC:2.1.1.13,	PF02574
Carboxylesterase	PF00135
Ferrous iron transport protein B	PF02421
ZIP Zinc transporter. The ZIP family consists of zinc transport proteins and many putative metal transporters. The main contribution to this family is from the Arabidopsis thaliana ZIP protein family these proteins are responsible for zinc uptake in the p	PF02535
Surfactant protein B	PF03489
PHD-finger. PHD folds into an interleaved type of Zn-finger chelating 2 Zn ions in a similar manner to that of the RING and FYVE domains	PF00628
Putative tyrosine phosphatase family. This family consists of putative tyrosine phosphatase proteins, this function is inferred from several sequences at the top of the noise, EC:3.1.3.48	PF03162
ATP synthase B/B' CF(0). Part of the CF(0) (base unit) of the ATP synthase. The base unit is thought to translocate protons through membrane (inner membrane in mitochondria, thylakoid membrane in plants, cytoplasmic membrane in bacteria). The B subunits	PF00430
Uncharacterized protein family UPF0004. This family is the N terminal half of the family. The C-terminal half has been shown to be related to MiaB proteins	PF00919
Thyroglobulin type-1 repeat. Thyroglobulin type 1 repeats are thought to be involved in the control of proteolytic degradation. The domain usually contains six conserved cysteines. These form three disulphide bridges. Cysteines 1 pairs with 2, 3 with 4 an	PF00086
Uncharacterised protein (DUF314)	PF03757
4'-phosphopantetheinyl transferase superfamily. Members of this family transfers the 4'-phosphopantetheine (4'-PP) moiety from coenzyme A (CoA) to the invariant serine of pfam00550. This post-translational modification renders holo-ACP capable of acyl gro	PF01648
Sof1-like domain. Sof1 is essential for cell growth and is a component of the nucleolar rRNA processing machinery	PF04158
Transcription initiation factor IIF	PF02270
GNT-I family. Alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase (GNT-I, GLCNAC-T I) EC:2.4.1.101 transfers N-acetyl-D-glucosamine from UDP to high-mannose glycoprotein N-oligosaccharide. This is an essential step in the synthesis of	PF03071
Matrixin. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis	PF00413
NAD-dependent glycerol-3-phosphate dehydrogenase	PF01210
Serine carboxypeptidase	PF00450
Glycosyl hydrolase family 65 central catalytic domain. This family of glycosyl hydrolases contains vacuolar acid trehalase and maltose phosphorylase.Maltose phosphorylase (MP) is a dimeric enzyme that catalyzes the conversion of maltose and inorganic phos	PF03632
Retinoblastoma-associated protein A domain. This domain has the cyclin fold as predicted	PF01858
Copper amine oxidase, enzyme domain. Copper amine oxidases are a ubiquitous and novel group of quinoenzymes that catalyse the oxidative deamination of primary amines to the corresponding aldehydes, with concomitant reduction of molecular oxygen to hydroge	PF01179
DnaJ C terminal region. This family consists of the C terminal region form the DnaJ protein. Although the function of this region is unknown, it is always found associated with pfam00226 and pfam00684. DnaJ is a chaperone associated with the Hsp70 heat-sh	PF01556
Dienelactone hydrolase family	PF01738
Endonuclease/Exonuclease/phosphatase family. This large family of proteins includes magnesium dependent endonucleases and a large number of phosphatases involved in intracellular signalling. This family includes: AP endonuclease proteins EC:4.2.99.18, DNa	PF03372
Dopey, N-terminal domain. DopA is the founding member of the Dopey family and is required for correct cell morphology and spatiotemporal organization of multicellular structures in the filamentous fungus Aspergillus nidulans. DopA homologues are found in	PF04118
Indoleamine 2,3-dioxygenase	PF01231
CBS domain. CBS domains are small intracellular modules of unknown function. They are mostly found in 2 or four copies within a protein. Pairs of CBS domains dimerise to form a stable globular domain. Two CBS domains are found in inosine-monophosphate de	PF00571
Treacher Collins syndrome protein Treacle	PF03546
Carbamoyl-phosphate synthase L chain, ATP binding domain. Carbamoyl-phosphate synthase catalyses the ATP-dependent synthesis of carbamyl-phosphate from glutamine or ammonia and bicarbonate. This important enzyme initiates both the urea cycle and the biosy	PF02786
Otx1 transcription factor	PF03529
TT viral orf 1. TT virus (TTV)	PF02956
Anaphylotoxin-like domain. C3a, C4a and C5a anaphylatoxins are protein fragments generated enzymatically in serum during activation of complement molecules C3, C4, and C5. They induce smooth muscle contraction. These fragments are homologous to a three-fo	PF01821
HNH endonuclease	PF01844
EF hand. The EF-hands can be divided into two classes: signaling proteins and buffering/transport proteins. The first group is the largest and includes the most well-known members of the family such as calmodulin, troponin C and S100B. These proteins typ	PF00036
Resolvase, N terminal domain. The N-terminal domain of the resolvase family (this family) contains the active site and the dimer interface. The extended arm at the C-terminus of this domain connects to the C-terminal helix-turn-helix domain of resolvase -	PF00239
60s Acidic ribosomal protein. This family includes archaebacterial L12, eukaryotic P0, P1 and P2	PF00428
Domain of Unknown Function (DUF408)	PF04181
Lipoxygenase	PF00305
SpoVR like protein. Bacillus subtilis stage V sporulation protein R is involved in spore cortex formation. Little is known about cortex biosynthesis, except that it depends on several sigma E controlled genes, including spoVR	PF04293
Uncharacterised protein family (UPF0170). This family contains uncharacterised eukaryotic proteins of around 250 amino acids	PF03679
Interferon gamma	PF00714
Orexin receptor type 2	PF03827
IMP4 family. This family includes IMP4, which is involved ribosomal RNA processing	PF01945
7 transmembrane receptor (rhodopsin family)	PF00001
tRNA synthetases class I (R). Other tRNA synthetase sub-families are too dissimilar to be included. This family includes only arginyl tRNA synthetase	PF00750
C-type lysozyme/alpha-lactalbumin family. Alpha-lactalbumin is the regulatory subunit of lactose synthase, changing the substrate specificity of galactosyltransferase from N-acetylglucosamine to glucose. C-type lysozymes are secreted bacteriolytic enzyme	PF00062
Laminin N-terminal (Domain VI)	PF00055
Biotin-requiring enzyme. This family covers two subfamilies, the conserved lysine residue binds biotin in one group and lipoic acid in the other. Note that the model may not currently recognise the Glycine cleavage system H proteins	PF00364
pfam02872, 5_nucleotidaseC, 5'-nucleotidase, C-terminal domain	PF02872
Glycosyl hydrolases family 2, sugar binding domain. This family contains beta-galactosidase, beta-mannosidase and beta-glucuronidase activities and has a jelly-roll fold	PF02837
Ribosomal L38e protein family	PF01781
ZU5 domain. Domain present in ZO-1 and Unc5-like netrin receptors Domain of unknown function	PF00791
Prion/Doppel alpha-helical domain. The prion protein is thought to be the infectious agent that causes transmissible spongiform encephalopathies, such as scrapie and BSE. It is thought that the prion protein can exist in two different forms: one is the n	PF00377
Rhomboid family. This family contains integral membrane proteins that are related to Drosophila rhomboid protein. Members of this family are found in bacteria and eukaryotes. These proteins contain three strongly conserved histidines in the putative trans	PF01694
eRF1 domain 1. The release factor eRF1 terminates protein biosynthesis by recognizing stop codons at the A site of the ribosome and stimulating peptidyl-tRNA bond hydrolysis at the peptidyl transferase center. The crystal structure of human eRF1 is known.	PF03463
Vps52 / Sac2 family. Vps52 complexes with Vps53 and Vps54 to form a multi- subunit complex involved in regulating membrane trafficking events	PF04129
Phenazine biosynthesis-like protein. PhzC/PhzF is involved in dimerization of two 2,3-dihydro-3-oxo-anthranilic acid molecules to create PCA by P. fluorescens. This family appears to be distantly related to pfam01678, including containing a weak internal	PF02567
DegT/DnrJ/EryC1/StrS aminotransferase family. The members of this family are probably all pyridoxal-phosphate-dependent aminotransferase enzymes with a variety of molecular functions. The family includes StsA, StsC and StsS. The aminotransferase activity	PF01041
Ribosomal protein L32. This family includes ribosomal protein L32 from eukaryotes and archaebacteria	PF01655
Myelin proteolipid protein (PLP or lipophilin)	PF01275
Fringe-like. The drosophila protein fringe (FNG) is a glucosaminyltransferase that controls the response of the Notch receptor to specific ligands. FNG is localised to the Golgi apparatus (not secreted as previously thought). Modification of Notch occurs	PF02434
Hus1-like protein. Hus1, Rad1, and Rad9 are three evolutionarily conserved proteins required for checkpoint control in fission yeast. These proteins are known to form a stable complex in vivo. Hus1-Rad1-Rad9 complex may form a PCNA-like ring structure, a	PF04005
XPG N-terminal domain	PF00752
Reprolysin (M12B) family zinc metalloprotease. The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis. Members of this family are also known as adamalysins. Most members of this family are snake venom endop	PF01421
Domain of unknown function (DUF382). This domain is specific to the human splicing factor 3b subunit 2 and it's orthologs	PF04037
Proteasome activator pa28 beta subunit. PA28 activator complex (also known as 11s regulator of 20S proteasome) is a ring shaped hexameric structure of alternating alpha and beta subunits. This family represents the beta subunit. The activator complex bin	PF02252
BRCA1 C Terminus (BRCT) domain. The BRCT domain is found predominantly in proteins involved in cell cycle checkpoint functions responsive to DNA damage. It has been suggested that the Retinoblastoma protein contains a divergent BRCT domain, this has not b	PF00533
metallopeptidase family M24	PF00557
Phosphatidylinositol-4-phosphate 5-Kinase. This family contains a region from the common kinase core found in the type I phosphatidylinositol-4-phosphate 5-kinase (PIP5K) family. The family consists of various type I, II and III PIP5K enzymes. PIP5K catal	PF01504
Lipoprotein amino terminal region. This family contains regions from: Vitellogenin, Microsomal triglyceride transfer protein and apolipoprotein B-100. These proteins are all involved in lipid transport. This family contains the LV1n chain from lipovitell	PF01347
SCP-like extracellular protein	PF00188
Tubulin/FtsZ family. This family includes the tubulin alpha	PF00091
Conserved region in glutamate synthase. This family represents a region of the glutamate synthase protein. This region is expressed as a separate subunit in the glutamate synthase alpha subunit from archaebacteria, or part of a large multidomain enzyme in	PF01645
Tubulin/FtsZ family, C-terminal domain. This family includes the tubulin alpha, beta and gamma chains, as well as the bacterial FtsZ family of proteins. Members of this family are involved in polymer formation. FtsZ is the polymer-forming protein of bacte	PF03953
Galactose-1-phosphate uridyl transferase, N-terminal domain. SCOP reports fold duplication with C-terminal domain. Both involved in Zn and Fe binding	PF01087
pfam02920, integrase_DNA, DNA binding domain of tn916 integrase	PF02920
HELP motif. The HELP (Hydrophobic ELP) motif is found in EMAP and EMAP-like proteins (ELPs). The HELP motif contains a predicted transmembrane helix so probably does not form a globular domain. It is also not clear if these proteins localize to membranes	PF03451
Cystatin domain. Very diverse family. Attempts to define separate sub-families failed. Typically, either the N-terminal or C-terminal end is very divergent. But splitting into two domains would make very short families. pfam00666 are related to this famil	PF00031
PAAD/DAPIN/Pyrin domain. This domain is predicted to contain 6 alpha helices and to have the same fold as the pfam00531 domain. This similarity may mean that this is a protein-protein interaction domain	PF02758
Kinase associated domain 1	PF02149
Spore germination protein	PF03845
FtsJ-like methyltransferase. This family consists of FtsJ from various bacterial and archaeal sources FtsJ is a methyltransferase, but actually has no effect on cell division. FtsJ's substrate is the 23S rRNA. The 1.5 A crystal structure of FtsJ in comple	PF01728
RNA polymerase alpha subunit. RNA polymerases catalyse the DNA dependent polymerisation of RNA. Prokaryotes contain a single RNA polymerase compared to three in eukaryotes (not including mitochondrial. and chloroplast polymerases). Members of this family	PF00623
Transglutaminase family	PF00868
Ribosomal protein L37e. This family includes ribosomal protein L37 from eukaryotes and archaebacteria. The family contains many conserved cysteines and histidines suggesting that this protein may bind to zinc	PF01907
Sec34-like family. Sec34 and Sec35 form a sub-complex, in a seven protein complex that includes Dor1 (PFAM:PF04124). This complex is thought to be important for tether vesicles to the Golgi	PF04136
Iron/manganese superoxide dismutases, C-terminal domain. superoxide dismutases (SODs) catalyse the conversion of superoxide radicals to molecular oxygen. Three evolutionarily distinct families of SODs are known, of which the Mn/Fe-binding family is one. I	PF02777
SCP-like extracellular protein. This domain is also found in prokaryotes	PF00188
Divalent cation transporter. This region is the integral membrane part of the eubacterial MgtE family of magnesium transporters. Related regions are found also in archaebacterial and eukaryotic proteins. All the archaebacterial and eukaryotic examples ha	PF01769
CutA1 divalent ion tolerance protein. Several gene loci with a possible involvement in cellular tolerance to copper have been identified. One such locus in eubacteria and archaebacteria, cutA, is thought to be involved in cellular tolerance to a wide var	PF03091
LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar	PF02886
Ribosomal protein L7Ae/L30e/S12e/Gadd45 family. This family includes: Ribosomal L7A from metazoa, Ribosomal L8-A and L8-B from fungi, 30S ribosomal protein HS6 from archaebacteria, 40S ribosomal protein S12 from eukaryotes, Ribosomal protein L30 from euk	PF01248
Helper component proteinase. This protein is found in genome polyproteins of potyviruses	PF00851
Thioredoxin. Thioredoxins are small enzymes that participate in redox reactions	PF00085
Exo70 exocyst complex subunit. The Exo70 protein forms one subunit of the exocyst complex. First discovered in S. cerevisiae , Exo70 and other exocyst proteins have been observed in several other eukaryotes, including humans. In S. cerevisiae, the exocyst	PF03081
CG-1 domain. CG-1 domains are highly conserved domains of about 130 amino-acid residues containing a predicted bipartite NLS and named after a partial cDNA clone isolated from parsley encoding a sequence-specific DNA-binding protein. CG-1 domains are asso	PF03859
Tub family	PF01167
pfam02880, PGM_PMM_III, Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	PF02880
Collagen triple helix repeat (20 copies). Members of this family belong to the collagen superfamily. Collagens are generally extracellular structural proteins involved in formation of connective tissue structure. The alignment contains 20 copies of the G	PF01391
Reticulon. Reticulon, also know as neuroendocrine-specific protein (NSP), is a protein of unknown function which associates with the endoplasmic reticulum. This family represents the C-terminal domain of the three reticulon isoforms and their homologues	PF02453
Tricarboxylate carrier	PF03820
Sec23/Sec24 family. COPII-coated vesicles carry proteins from the endoplasmic reticulum to the Golgi complex. This vesicular transport can be reconstituted by using three cytosolic components containing five proteins: the small GTPase Sar1p, the Sec23p/24	PF04105
Las1-like. Las1 is an essential nuclear protein involved in cell morphogenesis and cell surface growth	PF04031
Phosphopantetheine attachment site. A 4'-phosphopantetheine prosthetic group is attached through a serine. This prosthetic group acts as a a 'swinging arm' for the attachment of activated fatty acid and amino-acid groups. This domain forms a four helix bu	PF00550
Autophagy protein Apg5. Apg5p is directly required for the import of aminopeptidase I via the cytoplasm-to-vacuole targeting pathway	PF04106
eRF1 domain 2. The release factor eRF1 terminates protein biosynthesis by recognizing stop codons at the A site of the ribosome and stimulating peptidyl-tRNA bond hydrolysis at the peptidyl transferase center. The crystal structure of human eRF1 is known.	PF03464
ssDNA binding protein. This protein is found in herpesviruses and is needed for replication	PF00747
NHL repeat. The NHL (NCL-1, HT2A and LIN-41) repeat is found in multiple tandem copies. It is about 40 residues long and resembles the WD repeat pfam00400. The repeats have a catalytic activity in some members, proteolysis has shown that the Peptidyl-alp	PF01436
TAP C-terminal domain. The vertebrate Tap protein is a member of the NXF family of shuttling transport receptors for nuclear export of mRNA. Tap has a modular structure, and its most C-terminal domain is important for binding to FG repeat-containing nucle	PF03943
Ribosomal L18p/L5e family. This family includes ribosomal proteins from the large subunit. This family includes L18 from bacteria and L5 from eukaryotes. It has been shown for one member that the amino terminal 93 amino acids are necessary and sufficient	PF00861
Thymidylate synthase	PF00303
Coproporphyrinogen III oxidase	PF01218
Allantoicase repeat. This family is found in pairs in Allantoicases, forming the majority of the protein. These proteins allow the use of purines as secondary nitrogen sources in nitrogen-limiting conditions through the reaction: allantoate + H(2)0 = (-)-	PF03561
Formin Homology 2 Domain	PF02181
Dihydroorotase-like. This family are predicted to adopt a TIM barrel fold	PF00744
Phosphatidylinositol 3- and 4-kinase	PF00454
pfam02886, LBP_BPI_CETP_C, LBP / BPI / CETP family, C-terminal domain. The N and C terminal domains of the LBP/BPI/CETP family are structurally similar	PF02886
Double-stranded RNA binding motif. Putative motif shared by proteins that bind to dsRNA. At least some DSRM proteins seem to bind to specific RNA targets. Exemplified by Staufen, which is involved in localization of at least five different mRNAs in the ea	PF00035
Thymidylate kinase	PF02223
MoaC family. Members of this family are involved in molybdenum cofactor biosynthesis. However their molecular function is not known	PF01967
Globin	PF00042
UTP--glucose-1-phosphate uridylyltransferase. This family consists of UTP--glucose-1-phosphate uridylyltransferases, EC:2.7.7.9. Also known as UDP-glucose pyrophosphorylase (UDPGP) and Glucose-1-phosphate uridylyltransferase. UTP--glucose-1-phosphate uri	PF01704
UDP-glucoronosyl and UDP-glucosyl transferase	PF00201
Ribosomal protein L23, N-terminal domain. The N-terminal domain appears to be specific to the eukaryotic ribosomal proteins L25, L23, and L23a	PF03939
Methylenetetrahydrofolate reductase. This family includes the 5,10-methylenetetrahydrofolate reductase EC:1.7.99.5 from bacteria and methylenetetrahydrofolate reductase EC: 1.5.1.20 from eukaryotes. The structure for this domain is known to be a TIM barre	PF02219
Serum albumin family	PF00273
dUTPase. dUTPase hydrolyzes dUTP to dUMP and pyrophosphate	PF00692
Putative snoRNA binding domain. This family consists of various Pre RNA processing ribonucleoproteins. The function of the aligned region is unknown however it may be a common RNA or snoRNA or Nop1p binding domain. Nop5p (Nop58p) from yeast is the protein	PF01798
Patatin-like phospholipase. This family consists of various patatin glycoproteins from plants. The patatin protein accounts for up to 40% of the total soluble protein in potato tubers. Patatin is a storage protein but it also has the enzymatic activity of	PF01734
SET domain. SET domains appear to be protein-protein interaction domains. It has been demonstrated that SET domains mediate interactions with a family of proteins that display similarity with dual-specificity phosphatases (dsPTPases). A subset of SET dom	PF00856
gag gene protein p24 (core nucleocapsid protein). p24 forms inner protein layer of the nucleocapsid. ELISA tests for p24 is the most commonly used method to demonstrate virus replication both in vivo and in vitro	PF00607
ABC transporter. ABC transporters for a large family of proteins responsible for translocation of a variety of compounds across biological membranes. ABC transporters are the largest family of proteins in many completely sequenced bacteria. ABC transporte	PF00005
Histone deacetylase family. Histones can be reversibly acetylated on several lysine residues. Regulation of transcription is caused in part by this mechanism. Histone deacetylases catalyse the removal of the acetyl group. Histone deacetylases are related	PF00850
Sterile alpha motif (SAM)/Pointed domain	PF02198
Uncharacterised protein family UPF0066	PF01980
Arginyl tRNA synthetase N terminal domain. This domain is found at the amino terminus of Arginyl tRNA synthetase, also called additional domain 1 (Add-1). It is about 140 residues long and it has been suggested that this domain will be involved in tRNA r	PF03485
