(S)-2-hydroxy-acid oxidase  superfamily	SA1627
collagen alpha 1(VIII) chain  superfamily	SA1754
collagen alpha 2(I) chain	FA2500
collagen alpha 2(I) chain  superfamily	SA1561
complement C1q carboxyl-terminal homology	DA1560
complement C2	FA2196
complement C2  superfamily	SA3447
complement C3d/Epstein-Barr virus receptor	FA2630
complement C9  superfamily	SA2705
complement c6  superfamily	SA2982
complement factor H	FA2621
complement factor H repeat homology	DA1030
complement subcomponent C1q chain A  superfamily	SA3446
complement subcomponent C1r  superfamily	SA1543
conserved hypothetical protein YGL087c	FA3868
coproporphyrinogen oxidase  superfamily	SA2437
corticoliberin-endorpholiberin	FA0378
corticotropin-lipotropin	FA0062
coupling factor 6	FA2600
creatine kinase	FA0189
creatine kinase  superfamily	SA3151
creatine kinase repeat homology	DA2198
crk transforming protein	FA2068
cut repeat homology	DA1484
cuticle protein LCP1  superfamily	SA3522
cyclic nucleotide-gated channel	FA1387
cyclophilin homology	DA4314
cystathionine beta-synthase	FA4101
cystatin	FA0424
cystatin  superfamily	SA2247
cystatin homology	DA0932
cystic fibrosis transmembrane conductance regulator	FA1225
cytochrome P450 homology	DA4293
cytochrome b	FA0040
cytochrome b  superfamily	SA1161
cytochrome b5	FA0042
cytochrome b5 core homology	DA1032
cytochrome b6 homology	DA1034
cytochrome c	FA2814
cytochrome c  superfamily	SA2325
cytochrome c homology	DA1115
cytochrome c1 heme protein  superfamily	SA2277
cytochrome c1 heme protein homology	DA1188
cytochrome-b5 reductase	FA1528
cytochrome-b5 reductase homology	DA0702
cytochrome-c oxidase chain I	FA0275
cytochrome-c oxidase chain II	FA0273
cytochrome-c oxidase chain III	FA0278
cytochrome-c oxidase chain IV	FA1975
cytochrome-c oxidase chain VIII	FA1388
cytochrome-c oxidase chain VIII  superfamily	SA3103
cytochrome-c oxidase chain VIc	FA1973
cytokine receptor homology	DA1035
cytoskeletal keratin	FA2640
cytosol aminopeptidase	FA2195
cytosol aminopeptidase  superfamily	SA1856
dTMP kinase  superfamily	SA3095
decorin	FA1548
deoxyribonuclease I	FA1957
dihydrolipoamide dehydrogenase	FA2178
dihydrolipoamide dehydrogenase  superfamily	SA2028
dihydrolipoamide dehydrogenase homology	DA2193
dihydroorotate oxidase  superfamily	SA1036
dimethylaniline monooxygenase	FA0961
discoidin I amino-terminal homology	DA1162
disintegrin homology	DA3135
diuretic hormone homology	DA2251
dnaJ amino-terminal homology - includes atypical sequences	DA1140
double-stranded RNA-binding repeat homology	DA3333
dual specificity phosphoprotein phosphatase 1  superfamily	SA2138
dual specificity phosphoprotein phosphatase DUSP3  superfamily	SA2190
dynein heavy chain, cytosolic	FA2461
dystrop	FA1762
eclosion hormone	FA1391
elastin	FA2510
electron transfer flavoprotein alpha chain  superfamily	SA2294
electron transfer flavoprotein beta chain  superfamily	SA2285
endopeptidase Clp chain P  superfamily	SA3130
endothelin	FA1272
endothelin  superfamily	SA3651
endozepine	FA0270
endozepine  superfamily	SA3182
endozepine homology	DA1591
enolase	FA0263
enoyl-CoA hydratase homology	DA2303
enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	FA2425
enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase  superfamily	SA3116
enteropeptidase	FA2802
eosinophil major basic protein precursor  superfamily	SA3693
epidermal growth factor precursor	FA2203
epithelial glycoprotein antigen GA733  superfamily	SA1458
epoxide hydrolase	FA2123
epoxide hydrolase  superfamily	SA3066
erbA transforming protein homology	DA1038
erythropoietin	FA2125
erythropoietin receptor	FA1463
estrogen receptor	FA1261
ets DNA-binding domain homology	DA1039
ets RII regulatory region homology	DA2946
eubacterial ribosomal protein S15 homology	DA1164
eukaryotic adenosylmethionine decarboxylase	FA0591
eukaryotic adenosylmethionine decarboxylase  superfamily	SA3078
eukaryotic type I DNA topoisomerase	FA2928
eukaryotic type I DNA topoisomerase  superfamily	SA0618
excision repair protein	FA1394
ezrin	FA1227
farnesyl-pyrophosphate synthetase	FA0959
farnesyl-pyrophosphate synthetase  superfamily	SA3114
ferredoxin [2Fe-2S]	FA1857
ferredoxin [2Fe-2S] homology	DA1509
ferritin	FA0114
ferroxidase repeat homology	DA1166
fibrillar collagen carboxyl-terminal homology	DA1608
fibrinogen alpha chain	FA2514
fibrinogen beta/gamma homology	DA1167
fibrinogen disulfide ring homology	DA2150
fibrinogen gamma chain	FA0107
fibrinogen gamma chain  superfamily	SA3452
fibroblast growth factor	FA1897
fibronectin	FA2515
fibronectin type I repeat homology	DA0706
fibronectin type II repeat homology	DA1042
fibronectin type III repeat homology	DA0708
flavodoxin homology	DA1043
folate-binding protein	FA2490
folate-binding protein  superfamily	SA3442
fork head DNA-binding domain homology	DA1216
formate--tetrahydrofolate ligase homology	DA1482
fos transforming protein	FA0403
fos/jun DNA-binding domain homology	DA1295
fructose-bisphosphate aldolase	FA2313
fructose-bisphosphate aldolase  superfamily	SA0268
fruit fly white protein  superfamily	SA3455
fumarate hydratase	FA2189
fumarate hydratase  superfamily	SA0652
fumarate reductase flavoprotein	FA2938
fumarate reductase flavoprotein  superfamily	SA1540
galanin	FA0881
gamma-glutamyltransferase	FA1884
gamma-glutamyltransferase  superfamily	SA3136
gap junction protein	FA2465
gap junction protein  superfamily	SA1160
gastric intrinsic factor  superfamily	SA3736
gastrin	FA0772
gelatinase A	FA2777
gelatinase A  superfamily	SA2776
gelsolin	FA2511
gelsolin repeat homology	DA1044
glia maturation factor beta	FA1923
globin	FA0813
globin homology	DA3143
glucagon	FA1351
glucocorticoid receptor	FA0312
glucokinase regulator	FA1903
glucose-6-phosphatase catalytic domain homology	DA4401
glucose-6-phosphate dehydrogenase	FA2834
glucose-6-phosphate dehydrogenase  superfamily	SA1873
glucose-6-phosphate isomerase	FA0521
glutamate dehydrogenase (NAD(P)+)	FA1467
glutamate dehydrogenase (NAD(P)+)  superfamily	SA1469
glutamate receptor homology	DA1197
glutamate--ammonia ligase	FA0014
glutamine--fructose-6-phosphate aminotransferase (isomerizing)  superfamily	SA2192
glutamine--tRNA ligase homology	DA3280
glutaredoxin  superfamily	SA2633
glutaredoxin homology	DA3421
glutathione transferase	FA2115
glyceraldehyde-3-phosphate dehydrogenase	FA0733
glycine C-acetyltransferase homology	DA4331
glycine cleavage system protein H	FA2180
glycine hydroxymethyltransferase	FA2120
glycophorin	FA3233
glycophorin  superfamily	SA3457
glycoprotein hormone receptor	FA2133
glycoprotein hormone receptor  superfamily	SA2142
glycoprotein hormones alpha chain	FA0115
granulocyte-macrophage colony-stimulating factor	FA0765
guanylate cyclase catalytic domain homology	DA1045
guanylate kinase homology	DA1110
guanylin	FA1529
haptoglobin	FA0161
heat shock protein 70	FA0147
heat shock protein 90	FA0146
heat shock protein 90  superfamily	SA2757
heavy-metal-associated homology	DA3896
helix-destabilizing protein  superfamily	SA3555
heme oxygenase	FA2367
heme oxygenase (decyclizing)  superfamily	SA2439
hemopexin	FA2629
hemopexin repeat homology	DA1046
heparin-binding EGF-like growth factor	FA1530
hepatic lectin	FA0208
hepatocyte growth factor	FA3242
hepatocyte growth factor  superfamily	SA3240
hepatocyte growth factor receptor  superfamily	SA3243
herpesvirus ribonucleoside-diphosphate reductase large chain	FA0584
hexokinase homology	DA1593
histidine--tRNA ligase homology	DA1098
histone H1	FA0168
histone H2A	FA0782
histone H2B	FA0166
histone H3	FA0165
histone H4	FA0163
homeobox homology - Antp, Abd-B, lab, eve, and cad types	DA3316
homeobox homology - POU-type	DA3331
homeobox homology - diverse types	DA1048
homeobox homology - prd-type	DA3332
homeotic protein CDP	FA3211
homeotic protein Hox A5	FA0938
homeotic protein Hox A5  superfamily	SA2988
homeotic protein Hox A7  superfamily	SA2922
homeotic protein Hox B1	FA2745
homeotic protein Hox B3	FA2980
homeotic protein Hox B3  superfamily	SA2979
homeotic protein Hox D4	FA2975
homeotic protein Hox D4  superfamily	SA2978
homeotic protein lim-1	FA3153
homeotic protein lim-3	FA3248
homeotic protein sal	FA1396
hormone-sensitive lipase	FA2945
human 6-phosphofructokinase	FA1247
human 6-phosphofructokinase  superfamily	SA2181
human FK506-binding protein FKBP51	FA3795
human copper-transporting ATPase  superfamily	SA3408
human cytochrome P450 CYP11B1	FA1961
human cytochrome P450 CYP19	FA1965
human cytochrome P450 CYP2D6	FA1968
human cytochrome P450 CYP4B1	FA1966
human cytochrome P450 CYP7A1	FA2934
human diacylglycerol kinase  superfamily	SA3269
human dynamin II	FA4303
human ferredoxin--NADP+ reductase	FA2790
human glutamate decarboxylase	FA1460
human hexokinase I	FA1397
human long-chain-fatty-acid--CoA ligase	FA2937
human long-chain-fatty-acid--CoA ligase  superfamily	SA3415
human methionyl aminopeptidase	FA2846
human protein-tyrosine kinase abl	FA1671
human protein-tyrosine-phosphatase cdc25A  superfamily	SA3069
human protein-tyrosine-phosphatase cdc25C  superfamily	SA3067
human transcription factor 3	FA1502
human transcription factor 3  superfamily	SA1500
hydroxymethylglutaryl-CoA lyase  superfamily	SA3622
hydroxymethylglutaryl-CoA reductase	FA2027
hypothetical protein HI0719  superfamily	SA3400
hypoxanthine phosphoribosyltransferase	FA0365
immunoglobulin C region	FA0230
immunoglobulin V region	FA0906
immunoglobulin homology - C2 type	DA1564
inhibin	FA1733
inositol-trisphosphate receptor	FA2478
insulin	FA1270
insulin receptor	FA2254
insulin-like growth factor binding protein 1	FA1917
insulysin  superfamily	SA2891
int-1 transforming protein	FA0413
integrin beta chain	FA2594
intercellular adhesion molecule	FA2691
intercellular adhesion molecule  superfamily	SA3343
interferon alpha	FA0795
interferon gamma	FA1735
interferon gamma  superfamily	SA3459
interleukin-1	FA1913
interleukin-2	FA0786
interleukin-2 receptor alpha chain	FA2080
interleukin-3	FA2353
interleukin-3  superfamily	SA2306
interleukin-3 receptor beta chain	FA0960
interleukin-4	FA2453
interleukin-4  superfamily	SA1915
interleukin-4 receptor	FA1849
interleukin-5	FA1834
interleukin-6	FA1920
interleukin-7	FA1402
interleukin-7 receptor	FA2755
interphotoreceptor retinoid-binding protein	FA2667
interstitial collagenase	FA0621
interstitial collagenase  superfamily	SA2355
involucrin	FA2452
jun transforming protein	FA2580
kappa-casein  superfamily	SA3463
kexin	FA0624
kinase interaction domain homology	DA1566
kinase-related protein ros	FA2234
kinase-related transforming protein	FA0419
kinase-related transforming protein  superfamily	SA3255
kinesin heavy chain	FA1228
kinesin motor domain homology	DA1175
kinesin-related protein KIF2  superfamily	SA2984
kinesin-related protein KLPA  superfamily	SA2703
kinesin-related protein unc-104	FA2601
kininogen	FA0183
kringle homology - selected coagulation factors	DA1052
laminin G repeat homology	DA3817
laminin beta-1 chain	FA0236
laminin beta-1 chain  superfamily	SA3160
laminin-type EGF-like homology	DA3816
lens fiber membrane major intrinsic protein	FA2618
leptin	FA1594
leucine-rich alpha-2-glycoprotein repeat homology - set 	DA3840
leucine-rich alpha-2-glycoprotein repeat homology - set 1	DA3840
leucine-rich alpha-2-glycoprotein repeat homology - set 2	DA2772
leucine-rich alpha-2-glycoprotein repeat homology - set 3	DA2773
leucine-rich alpha-2-glycoprotein repeat homology - set 4	DA3841
leukemia inhibitory factor	FA1410
leukocyte common antigen cytosolic domain homology	DA1105
leukotriene-A4 hydrolase	FA1411
link protein repeat homology	DA3326
lipocalin	FA2606
lipocalin homology	DA1095
lipopolysaccharide-binding protein	FA1412
lipoyl/biotin-binding homology	DA1596
lipoyl/biotin-binding homology - biotin subset	DA3013
lipoyl/biotin-binding homology - lipoyl subset	DA2944
long-chain alcohol dehydrogenase homology	DA1520
lysine--tRNA ligase	FA0550
lysosomal integral membrane protein II  superfamily	SA2197
lysosome-associated membrane protein	FA2485
lysosome-associated membrane protein  superfamily	SA1797
lysozyme c	FA0535
macrophage colony-stimulating factor	FA1457
macrophage colony-stimulating factor 1 receptor	FA2074
macrophage inflammatory protein  superfamily	SA1416
maf homology	DA1512
major prion protein	FA2685
malate dehydrogenase	FA2136
malate dehydrogenase (oxaloacetate-decarboxylating)  superfamily	SA2128
mammalian acid phosphatase  superfamily	SA1417
mammalian alpha-amylase	FA0020
mammalian cytochrome-c oxidase chain VIIa	FA2260
mammalian cytochrome-c oxidase chain VIa  superfamily	SA1525
mammalian cytochrome-c oxidase chain VIb  superfamily	SA1526
mammalian cytochrome-c oxidase chain Va  superfamily	SA1523
mammalian cytochrome-c oxidase chain Vb  superfamily	SA1524
mammalian defensin  superfamily	SA3623
mammalian peptidyl-dipeptidase A	FA2217
mammalian stearoyl-CoA desaturase	FA2249
mannose 6-phosphate receptor, cation-dependent	FA1418
mannose 6-phosphate receptor, cation-independent	FA2454
mannose-binding lectin	FA0534
mas transforming protein	FA2070
matrix metalloproteinase homology	DA3692
membrane dipeptidase  superfamily	SA2309
membrane glycoprotein 2 homology	DA1901
membrane-bound guanylate cyclase	FA2732
membrane-bound guanylate cyclase  superfamily	SA0824
meprin A	FA2410
meprin A  superfamily	SA3085
metalloproteinase inhibitor	FA2233
metalloproteinase inhibitor  superfamily	SA2231
metallothionein	FA0374
methionine adenosyltransferase	FA2057
methylated-DNA--protein-cysteine S-methyltransferase	FA0949
methylated-DNA--protein-cysteine S-methyltransferase  superfamily	SA2915
methylated-DNA--protein-cysteine S-methyltransferase homology	DA2165
methylenetetrahydrofolate dehydrogenase	FA2841
methylenetetrahydrofolate dehydrogenase (NAD+)  superfamily	SA2833
methylenetetrahydrofolate dehydrogenase (NAD+) homology	DA1488
mevalonate kinase  superfamily	SA2761
microtubule-associated protein MAP2b	FA2641
microtubule-associated protein tau	FA0852
milk fat globule protein	FA2460
mitochondrial processing peptidase alpha chain	FA1275
mitochondrial processing peptidase alpha chain  superfamily	SA2322
monophenol monooxygenase	FA2121
monophenol monooxygenase  superfamily	SA2122
motilin	FA1953
mouse gene T protein	FA3774
multicatalytic endopeptidase complex chain C9	FA2045
multidrug resistance protein	FA0089
mutT domain homology	DA1211
myb DNA-binding repeat homology	DA1057
myb transforming protein	FA3125
myc transforming protein	FA0404
myc transforming protein homology	DA1176
myelin P0 protein	FA2599
myelin P2 protein	FA2668
myelin P2 protein  superfamily	SA2258
myelin basic protein	FA0218
myelin proteolipid protein	FA0250
myeloperoxidase	FA1978
myeloperoxidase homology	DA4420
myosin MYO2	FA2673
myosin heavy chain	FA2471
myosin heavy chain 95F	FA2467
myosin motor domain homology	DA1177
natriuretic peptide A precursor	FA2481
natriuretic peptide C precursor	FA2482
natriuretic peptide-binding domain homology	DA1503
neprilysin	FA0615
neprilysin  superfamily	SA3086
nerve growth factor beta chain	FA0816
nerve growth factor receptor	FA1902
nerve growth factor receptor, high affinity	FA2158
nerve growth factor receptor, high affinity  superfamily	SA2157
neural cell adhesion molecule	FA0789
neural cell adhesion molecule L1	FA2464
neural cell adhesion molecule L1  superfamily	SA1426
neuroendocrine protein 7B2	FA2003
neurofilament triplet H protein	FA2638
