ribosomal chaperone activity	GO:0000005
dopamine D5 receptor activity	GO:0001589
dopamine D1 receptor activity	GO:0001590
dopamine D2 receptor-like receptor activity	GO:0001591
dopamine D3 receptor activity	GO:0001592
dopamine D4 receptor activity	GO:0001593
trace-amine receptor activity	GO:0001594
angiotensin receptor activity	GO:0001595
angiotensin type I receptor activity	GO:0001596
chemokine receptor-like receptor activity	GO:0001598
endothelin-A receptor activity	GO:0001599
endothelin-B receptor activity	GO:0001600
peptide YY receptor activity	GO:0001601
pancreatic polypeptide receptor activity	GO:0001602
vasopressin-like receptor activity	GO:0001603
urotensin II receptor activity	GO:0001604
adrenomedullin receptor activity	GO:0001605
GPR37/endothelin B-like receptor activity	GO:0001606
neuromedin U receptor activity	GO:0001607
nucleotide receptor activity\, G-protein coupled	GO:0001608
adenosine receptor activity\, G-protein coupled	GO:0001609
A1 adenosine receptor activity\, G-protein coupled	GO:0001610
A2A adenosine receptor activity\, G-protein coupled	GO:0001611
A2B adenosine receptor activity\, G-protein coupled	GO:0001612
A3 adenosine receptor activity\, G-protein coupled	GO:0001613
purinergic nucleotide receptor activity	GO:0001614
thyrotropin releasing hormone and secretagogue-like receptors activity	GO:0001615
growth hormone secretagogue receptor activity	GO:0001616
growth hormone secretagogue-like receptor activity	GO:0001617
viral receptor activity	GO:0001618
lysosphingolipid and lysophosphatidic acid receptor activity	GO:0001619
class A orphan receptor activity	GO:0001620
platelet ADP receptor activity	GO:0001621
super conserved receptor expressed in brain receptor activity	GO:0001622
Mas proto-oncogene receptor activity	GO:0001623
RDC1 receptor activity	GO:0001624
Epstein-Barr Virus-induced receptor activity	GO:0001625
nociceptin/orphanin-FQ receptor activity	GO:0001626
leucine-rich G-protein receptor-like receptor activity	GO:0001627
gastropyloric receptor activity	GO:0001628
G-protein receptor 45-like receptor activity	GO:0001629
GP40-like receptor activity	GO:0001630
cysteinyl leukotriene receptor activity	GO:0001631
leukotriene B4 receptor activity	GO:0001632
secretin-like receptor activity	GO:0001633
pituitary adenylate cyclase activating protein receptor activity	GO:0001634
calcitonin gene-related polypeptide receptor activity	GO:0001635
corticotrophin-releasing factor gastric inhibitory peptide-like receptor activity	GO:0001636
G-protein chemoattractant receptor activity	GO:0001637
class B orphan receptor activity	GO:0001638
PLC activating metabotropic glutamate receptor activity	GO:0001639
adenylate cyclase inhibiting metabotropic glutamate receptor activity	GO:0001640
group II metabotropic glutamate receptor activity	GO:0001641
group III metabotropic glutamate receptor activity	GO:0001642
class C orphan receptor activity	GO:0001645
cAMP receptor activity\, chemotaxis	GO:0001646
G-protein coupled cytokinin receptor activity	GO:0001647
proteinase activated receptor activity	GO:0001648
peptide receptor activity	GO:0001653
G-protein-coupled receptor binding	GO:0001664
alpha-N-acetylgalactosaminide alpha-2\,6-sialyltransferase activity	GO:0001665
phosphatidylinositol-4\,5-bisphosphate 5-phosphatase activity	GO:0001668
dopamine D2 receptor activity	GO:0001670
ATPase stimulator activity	GO:0001671
sialate O-acetylesterase activity	GO:0001681
pseudophosphatase activity	GO:0001691
L-amino acid oxidase activity	GO:0001716
lipid kinase activity	GO:0001727
ceramide kinase activity	GO:0001729
2'-5'-oligoadenylate synthetase activity	GO:0001730
galactosylceramide sulfotransferase activity	GO:0001733
mRNA (N6-adenosine)-methyltransferase activity	GO:0001734
prenylcysteine oxidase activity	GO:0001735
retinal dehydrogenase activity	GO:0001758
aminocarboxymuconate-semialdehyde decarboxylase activity	GO:0001760
beta-alanine transporter activity	GO:0001761
nucleic acid binding	GO:0003676
DNA binding	GO:0003677
DNA helicase activity	GO:0003678
AT DNA binding	GO:0003680
bent DNA binding	GO:0003681
chromatin binding	GO:0003682
lamin/chromatin binding	GO:0003683
damaged DNA binding	GO:0003684
DNA replication origin binding	GO:0003688
DNA clamp loader activity	GO:0003689
double-stranded DNA binding	GO:0003690
double-stranded telomeric DNA binding	GO:0003691
left-handed Z-DNA binding	GO:0003692
P-element binding	GO:0003693
random coil DNA binding	GO:0003695
satellite DNA binding	GO:0003696
single-stranded DNA binding	GO:0003697
transcription factor activity	GO:0003700
RNA polymerase I transcription factor activity	GO:0003701
RNA polymerase II transcription factor activity	GO:0003702
specific RNA polymerase II transcription factor activity	GO:0003704
RNA polymerase II transcription factor activity\, enhancer binding	GO:0003705
ligand-regulated transcription factor activity	GO:0003706
steroid hormone receptor activity	GO:0003707
retinoic acid receptor activity	GO:0003708
RNA polymerase III transcription factor activity	GO:0003709
transcriptional elongation regulator activity	GO:0003711
transcription cofactor activity	GO:0003712
transcription co-activator activity	GO:0003713
transcription co-repressor activity	GO:0003714
transcription termination factor activity	GO:0003715
Pol I transcription termination factor activity	GO:0003716
Pol II transcription termination factor activity	GO:0003717
Pol III transcription termination factor activity	GO:0003718
transcription factor binding\, cytoplasmic sequestering	GO:0003719
telomerase activity	GO:0003720
telomeric template RNA reverse transcriptase activity	GO:0003721
RNA binding	GO:0003723
RNA helicase activity	GO:0003724
double-stranded RNA binding	GO:0003725
double-stranded RNA adenosine deaminase activity	GO:0003726
single-stranded RNA binding	GO:0003727
mRNA binding	GO:0003729
mRNA 3' UTR binding	GO:0003730
structural constituent of ribosome	GO:0003735
translation initiation factor activity	GO:0003743
translation elongation factor activity	GO:0003746
translation release factor activity	GO:0003747
chaperone activity	GO:0003754
peptidyl-prolyl cis-trans isomerase activity	GO:0003755
protein disulfide isomerase activity	GO:0003756
glycoprotein-specific chaperone activity	GO:0003759
histone-specific chaperone activity	GO:0003762
chaperonin ATPase activity	GO:0003763
co-chaperone activity	GO:0003767
co-chaperonin activity	GO:0003772
heat shock protein activity	GO:0003773
motor activity	GO:0003774
axonemal motor activity	GO:0003775
muscle motor activity	GO:0003776
microtubule motor activity	GO:0003777
actin binding	GO:0003779
actin cross-linking activity	GO:0003780
actin bundling activity	GO:0003781
F-actin capping activity	GO:0003782
barbed-end actin capping activity	GO:0003783
barbed-end actin capping/severing activity	GO:0003784
actin monomer binding	GO:0003785
actin lateral binding	GO:0003786
actin depolymerizing activity	GO:0003787
actin monomer sequestering activity	GO:0003788
actin filament severing activity	GO:0003789
actin modulating activity	GO:0003790
regulation of actin thin filament length activity	GO:0003792
defense/immunity protein activity	GO:0003793
acute-phase response protein activity	GO:0003794
antimicrobial peptide activity	GO:0003795
lysozyme activity	GO:0003796
antibacterial peptide activity	GO:0003797
male-specific antibacterial peptide activity	GO:0003798
antifungal peptide activity	GO:0003799
antiviral response protein activity	GO:0003800
blood coagulation factor activity	GO:0003801
blood coagulation factor VII activity	GO:0003802
blood coagulation factor IX activity	GO:0003803
blood coagulation factor X activity	GO:0003804
blood coagulation factor XI activity	GO:0003805
blood coagulation factor XII activity	GO:0003806
plasma kallikrein activity	GO:0003807
protein C (activated) activity	GO:0003808
thrombin activity	GO:0003809
protein-glutamine gamma-glutamyltransferase activity	GO:0003810
complement activity	GO:0003811
alternative-complement pathway C3/C5 convertase activity	GO:0003812
classical-complement pathway C3/C5 convertase activity	GO:0003813
complement component C1r activity	GO:0003815
complement component C1s activity	GO:0003816
complement factor D activity	GO:0003817
complement factor I activity	GO:0003818
antigen binding	GO:0003823
catalytic activity	GO:0003824
alpha\,alpha-trehalose-phosphate synthase (UDP-forming) activity	GO:0003825
alpha-ketoacid dehydrogenase activity	GO:0003826
alpha-1\,3-mannosylglycoprotein beta-1\,2-N-acetylglucosaminyltransferase activity	GO:0003827
alpha-N-acetylneuraminide alpha-2\,8-sialyltransferase activity	GO:0003828
beta-1\,3-galactosyl-O-glycosyl-glycoprotein beta-1\,6-N-acetylglucosaminyltransferase activity	GO:0003829
beta-1\,4-mannosylglycoprotein beta-1\,4-N-acetylglucosaminyltransferase activity	GO:0003830
beta-N-acetylglucosaminyl-glycopeptide beta-1\,4-galactosyltransferase activity	GO:0003831
beta-alanyl-dopamine hydrolase activity	GO:0003832
beta-alanyl-dopamine synthase activity	GO:0003833
beta-carotene 15\,15'-dioxygenase activity	GO:0003834
beta-galactosamide alpha-2\,6-sialyltransferase activity	GO:0003835
beta-galactoside alpha-2\,3-sialyltransferase activity	GO:0003836
beta-ureidopropionase activity	GO:0003837
delta(24)-sterol C-methyltransferase activity	GO:0003838
gamma-glutamylcyclotransferase activity	GO:0003839
gamma-glutamyl transferase activity	GO:0003840
1-acylglycerol-3-phosphate O-acyltransferase activity	GO:0003841
1-pyrroline-5-carboxylate dehydrogenase activity	GO:0003842
1\,3-beta-glucan synthase activity	GO:0003843
1\,4-alpha-glucan branching enzyme activity	GO:0003844
11-beta-hydroxysteroid dehydrogenase activity	GO:0003845
2-acylglycerol O-acyltransferase activity	GO:0003846
2-acetyl-1-alkylglycerophosphocholine esterase activity	GO:0003847
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase activity	GO:0003848
2-dehydro-3-deoxyphosphoheptonate aldolase activity	GO:0003849
2-deoxyglucose-6-phosphatase activity	GO:0003850
2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity	GO:0003851
2-isopropylmalate synthase activity	GO:0003852
2-methylacyl-CoA dehydrogenase activity	GO:0003853
3-beta-hydroxy-delta(5)-steroid dehydrogenase activity	GO:0003854
3-dehydroquinate dehydratase activity	GO:0003855
3-dehydroquinate synthase activity	GO:0003856
3-hydroxyacyl-CoA dehydrogenase activity	GO:0003857
3-hydroxybutyrate dehydrogenase activity	GO:0003858
3-hydroxybutyryl-CoA dehydratase activity	GO:0003859
3-hydroxyisobutyryl-CoA hydrolase activity	GO:0003860
3-isopropylmalate dehydratase activity	GO:0003861
3-isopropylmalate dehydrogenase activity	GO:0003862
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) activity	GO:0003863
3-methyl-2-oxobutanoate hydroxymethyltransferase activity	GO:0003864
3-oxo-5-alpha-steroid 4-dehydrogenase activity	GO:0003865
3-phosphoshikimate 1-carboxyvinyltransferase activity	GO:0003866
4-aminobutyrate aminotransferase activity	GO:0003867
4-hydroxyphenylpyruvate dioxygenase activity	GO:0003868
4-nitrophenylphosphatase activity	GO:0003869
5-aminolevulinate synthase activity	GO:0003870
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	GO:0003871
6-phosphofructokinase activity	GO:0003872
6-phosphofructo-2-kinase activity	GO:0003873
6-pyruvoyltetrahydropterin synthase activity	GO:0003874
ADP-ribosylarginine hydrolase activity	GO:0003875
AMP deaminase activity	GO:0003876
ATP adenylyltransferase activity	GO:0003877
ATP citrate synthase activity	GO:0003878
ATP phosphoribosyltransferase activity	GO:0003879
C-terminal protein carboxyl methyltransferase activity	GO:0003880
CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity	GO:0003881
CDP-diacylglycerol-serine O-phosphatidyltransferase activity	GO:0003882
CTP synthase activity	GO:0003883
D-amino acid oxidase activity	GO:0003884
D-arabinono-1\,4-lactone oxidase activity	GO:0003885
DNA (cytosine-5-)-methyltransferase activity	GO:0003886
DNA-directed DNA polymerase activity	GO:0003887
alpha DNA polymerase activity	GO:0003889
beta DNA polymerase activity	GO:0003890
delta DNA polymerase activity	GO:0003891
epsilon DNA polymerase activity	GO:0003893
zeta DNA polymerase activity	GO:0003894
gamma DNA-directed DNA polymerase activity	GO:0003895
DNA primase activity	GO:0003896
DNA-directed RNA polymerase activity	GO:0003899
deoxyribodipyrimidine photolyase activity	GO:0003904
alkylbase DNA N-glycosylase activity	GO:0003905
DNA-(apurinic or apyrimidinic site) lyase activity	GO:0003906
methylated-DNA-[protein]-cysteine S-methyltransferase activity	GO:0003908
DNA ligase activity	GO:0003909
DNA ligase (ATP) activity	GO:0003910
DNA ligase (NAD+) activity	GO:0003911
DNA nucleotidylexotransferase activity	GO:0003912
DNA photolyase activity	GO:0003913
DNA (6-4) photolyase activity	GO:0003914
DNA topoisomerase activity	GO:0003916
DNA topoisomerase type I activity	GO:0003917
DNA topoisomerase type II activity	GO:0003918
FMN adenylyltransferase activity	GO:0003919
GMP reductase activity	GO:0003920
GMP synthase activity	GO:0003921
GMP synthase (glutamine hydrolyzing) activity	GO:0003922
GPI-anchor transamidase activity	GO:0003923
GTPase activity	GO:0003924
small monomeric GTPase activity	GO:0003925
ARF small monomeric GTPase activity	GO:0003926
heterotrimeric G-protein GTPase activity	GO:0003927
RAB small monomeric GTPase activity	GO:0003928
RAN small monomeric GTPase activity	GO:0003929
RAS small monomeric GTPase activity	GO:0003930
Rho small monomeric GTPase activity	GO:0003931
SAR small monomeric GTPase activity	GO:0003932
GTP cyclohydrolase activity	GO:0003933
GTP cyclohydrolase I activity	GO:0003934
GTP cyclohydrolase II activity	GO:0003935
IMP cyclohydrolase activity	GO:0003937
IMP dehydrogenase activity	GO:0003938
L-iditol 2-dehydrogenase activity	GO:0003939
L-iduronidase activity	GO:0003940
L-serine ammonia-lyase activity	GO:0003941
N-acetyl-gamma-glutamyl-phosphate reductase activity	GO:0003942
N-acetylgalactosamine-4-sulfatase activity	GO:0003943
N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity	GO:0003944
N-acetyllactosamine synthase activity	GO:0003945
N-acetyllactosaminide alpha-1\,3-galactosyltransferase activity	GO:0003946
(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity	GO:0003947
N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity	GO:0003948
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	GO:0003949
NAD+ ADP-ribosyltransferase activity	GO:0003950
NAD+ kinase activity	GO:0003951
NAD+ synthase (glutamine-hydrolyzing) activity	GO:0003952
NAD+ nucleosidase activity	GO:0003953
NADH dehydrogenase activity	GO:0003954
NAD(P)H dehydrogenase (quinone) activity	GO:0003955
NAD(P)+-arginine ADP-ribosyltransferase activity	GO:0003956
NAD(P)+ transhydrogenase (B-specific) activity	GO:0003957
NADPH-ferrihemoprotein reductase activity	GO:0003958
NADPH dehydrogenase activity	GO:0003959
NADPH\:quinone reductase activity	GO:0003960
O-acetylhomoserine (thiol)-lyase activity	GO:0003961
cystathionine gamma-synthase activity	GO:0003962
RNA-3'-phosphate cyclase activity	GO:0003963
RNA-directed DNA polymerase activity	GO:0003964
RNA-directed RNA polymerase activity	GO:0003968
RNA editase activity	GO:0003969
double-stranded RNA specific editase activity	GO:0003971
RNA ligase (ATP) activity	GO:0003972
(S)-2-hydroxy-acid oxidase activity	GO:0003973
UDP-N-acetylglucosamine 4-epimerase activity	GO:0003974
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosamine-1-phosphate transferase activity	GO:0003975
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity	GO:0003976
UDP-N-acetylglucosamine pyrophosphorylase activity	GO:0003977
UDP-glucose 4-epimerase activity	GO:0003978
UDP-glucose 6-dehydrogenase activity	GO:0003979
UDP-glucose\:glycoprotein glucosyltransferase activity	GO:0003980
UTP-hexose-1-phosphate uridylyltransferase activity	GO:0003982
UTP-glucose-1-phosphate uridylyltransferase activity	GO:0003983
acetolactate synthase activity	GO:0003984
acetyl-CoA C-acetyltransferase activity	GO:0003985
acetyl-CoA hydrolase activity	GO:0003986
acetate-CoA ligase activity	GO:0003987
acetyl-CoA C-acyltransferase activity	GO:0003988
acetyl-CoA carboxylase activity	GO:0003989
acetylcholinesterase activity	GO:0003990
acetylglutamate kinase activity	GO:0003991
acetylornithine aminotransferase activity	GO:0003992
acid phosphatase activity	GO:0003993
aconitate hydratase activity	GO:0003994
acyl-CoA dehydrogenase activity	GO:0003995
acyl-CoA ligase activity	GO:0003996
acyl-CoA oxidase activity	GO:0003997
acylphosphatase activity	GO:0003998
adenine phosphoribosyltransferase activity	GO:0003999
adenosine deaminase activity	GO:0004000
adenosine kinase activity	GO:0004001
ATP dependent DNA helicase activity	GO:0004003
ATP dependent RNA helicase activity	GO:0004004
copper-exporting ATPase activity	GO:0004008
ATP-binding cassette (ABC) transporter activity	GO:0004009
phospholipid-translocating ATPase activity	GO:0004012
adenosylhomocysteinase activity	GO:0004013
adenosylmethionine decarboxylase activity	GO:0004014
adenosylmethionine-8-amino-7-oxononanoate aminotransferase activity	GO:0004015
adenylate cyclase activity	GO:0004016
adenylate kinase activity	GO:0004017
adenylosuccinate lyase activity	GO:0004018
adenylosuccinate synthase activity	GO:0004019
adenylylsulfate kinase activity	GO:0004020
alanine aminotransferase activity	GO:0004021
alcohol dehydrogenase activity	GO:0004022
alcohol dehydrogenase activity\, metal ion-independent	GO:0004023
alcohol dehydrogenase activity\, zinc-dependent	GO:0004024
alcohol dehydrogenase activity\, iron-dependent	GO:0004025
alcohol O-acetyltransferase activity	GO:0004026
alcohol sulfotransferase activity	GO:0004027
aldehyde dehydrogenase activity	GO:0004028
aldehyde dehydrogenase (NAD+) activity	GO:0004029
aldehyde dehydrogenase (NAD(P)+) activity	GO:0004030
aldehyde oxidase activity	GO:0004031
aldehyde reductase activity	GO:0004032
aldo-keto reductase activity	GO:0004033
aldose 1-epimerase activity	GO:0004034
alkaline phosphatase activity	GO:0004035
alkylbase DNA glycosidase activity	GO:0004036
allantoicase activity	GO:0004037
allantoinase activity	GO:0004038
allophanate hydrolase activity	GO:0004039
amidase activity	GO:0004040
amine oxidase (flavin-containing) activity	GO:0004041
amino acid N-acetyltransferase activity	GO:0004042
aminoadipate-semialdehyde dehydrogenase activity	GO:0004043
amidophosphoribosyltransferase activity	GO:0004044
aminoacyl-tRNA hydrolase activity	GO:0004045
aminoacylase activity	GO:0004046
aminomethyltransferase activity	GO:0004047
anthranilate phosphoribosyltransferase activity	GO:0004048
anthranilate synthase activity	GO:0004049
apyrase activity	GO:0004050
arachidonate 5-lipoxygenase activity	GO:0004051
arachidonate 12-lipoxygenase activity	GO:0004052
arginase activity	GO:0004053
arginine kinase activity	GO:0004054
argininosuccinate synthase activity	GO:0004055
argininosuccinate lyase activity	GO:0004056
arginyltransferase activity	GO:0004057
aromatic-L-amino acid decarboxylase activity	GO:0004058
arylalkylamine N-acetyltransferase activity	GO:0004059
arylamine N-acetyltransferase activity	GO:0004060
arylformamidase activity	GO:0004061
aryl sulfotransferase activity	GO:0004062
aryldialkylphosphatase activity	GO:0004063
arylesterase activity	GO:0004064
arylsulfatase activity	GO:0004065
asparagine synthase (glutamine-hydrolyzing) activity	GO:0004066
asparaginase activity	GO:0004067
aspartate 1-decarboxylase activity	GO:0004068
aspartate aminotransferase activity	GO:0004069
aspartate carbamoyltransferase activity	GO:0004070
aspartate-ammonia ligase activity	GO:0004071
aspartate kinase activity	GO:0004072
aspartate-semialdehyde dehydrogenase activity	GO:0004073
biliverdin reductase activity	GO:0004074
biotin carboxylase activity	GO:0004075
biotin synthase activity	GO:0004076
biotin-[acetyl-CoA-carboxylase] ligase activity	GO:0004077
biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity	GO:0004078
biotin-[methylmalonyl-CoA-carboxyltransferase] ligase activity	GO:0004079
biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity	GO:0004080
bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	GO:0004081
bisphosphoglycerate mutase activity	GO:0004082
bisphosphoglycerate phosphatase activity	GO:0004083
branched-chain amino acid aminotransferase activity	GO:0004084
butyryl-CoA dehydrogenase activity	GO:0004085
carbamoyl-phosphate synthase activity	GO:0004086
carbamoyl-phosphate synthase (ammonia) activity	GO:0004087
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	GO:0004088
carbonate dehydratase activity	GO:0004089
carbonyl reductase (NADPH) activity	GO:0004090
carboxylesterase activity	GO:0004091
carnitine O-acetyltransferase activity	GO:0004092
carnitine O-acetyltransferase I activity	GO:0004093
carnitine O-acetyltransferase II activity	GO:0004094
carnitine O-palmitoyltransferase activity	GO:0004095
catalase activity	GO:0004096
catechol oxidase activity	GO:0004097
cerebroside-sulfatase activity	GO:0004098
chitin deacetylase activity	GO:0004099
chitin synthase activity	GO:0004100
choline O-acetyltransferase activity	GO:0004102
choline kinase activity	GO:0004103
cholinesterase activity	GO:0004104
choline-phosphate cytidylyltransferase activity	GO:0004105
chorismate mutase activity	GO:0004106
chorismate synthase activity	GO:0004107
citrate (SI)-synthase activity	GO:0004108
coproporphyrinogen oxidase activity	GO:0004109
corticosteroid side-chain-isomerase activity	GO:0004110
creatine kinase activity	GO:0004111
cyclic-nucleotide phosphodiesterase activity	GO:0004112
2'\,3'-cyclic nucleotide 3'-phosphodiesterase activity	GO:0004113
3'\,5'-cyclic-nucleotide phosphodiesterase activity	GO:0004114
cAMP-specific phosphodiesterase activity	GO:0004115
cGMP-specific phosphodiesterase activity	GO:0004116
calmodulin-dependent cyclic-nucleotide phosphodiesterase activity	GO:0004117
cGMP-stimulated cyclic-nucleotide phosphodiesterase activity	GO:0004118
cGMP-inhibited cyclic-nucleotide phosphodiesterase activity	GO:0004119
photoreceptor cyclic-nucleotide phosphodiesterase activity	GO:0004120
cystathionine beta-lyase activity	GO:0004121
cystathione beta-synthase activity	GO:0004122
cystathionine-gamma-lyase activity	GO:0004123
cysteine synthase activity	GO:0004124
cysteinyl-tRNA(Ser) selenium transferase activity	GO:0004125
cytidine deaminase activity	GO:0004126
cytidylate kinase activity	GO:0004127
cytochrome b5 reductase activity	GO:0004128
cytochrome c oxidase activity	GO:0004129
cytochrome c peroxidase activity	GO:0004130
cytosine deaminase activity	GO:0004131
dCMP deaminase activity	GO:0004132
glycogen debranching enzyme activity	GO:0004133
4-alpha-glucanotransferase activity	GO:0004134
amylo-1\,6-glucosidase activity	GO:0004135
deoxyadenosine kinase activity	GO:0004136
deoxycytidine kinase activity	GO:0004137
deoxyguanosine kinase activity	GO:0004138
deoxyribose-phosphate aldolase activity	GO:0004139
dephospho-CoA kinase activity	GO:0004140
dethiobiotin synthase activity	GO:0004141
diacylglycerol cholinephosphotransferase activity	GO:0004142
diacylglycerol kinase activity	GO:0004143
diacylglycerol O-acyltransferase activity	GO:0004144
diamine N-acetyltransferase activity	GO:0004145
dihydrofolate reductase activity	GO:0004146
dihydrolipoamide branched chain acyltransferase activity	GO:0004147
dihydrolipoamide dehydrogenase activity	GO:0004148
dihydrolipoamide S-succinyltransferase activity	GO:0004149
dihydroneopterin aldolase activity	GO:0004150
dihydroorotase activity	GO:0004151
dihydroorotate dehydrogenase activity	GO:0004152
dihydropterin deaminase activity	GO:0004153
dihydropterin oxidase activity	GO:0004154
dihydropteridine reductase activity	GO:0004155
dihydropteroate synthase activity	GO:0004156
dihydropyrimidinase activity	GO:0004157
dihydroorotate oxidase activity	GO:0004158
