chip_vendor	chip_type	create_date	genome-species	genome-version	netaffx-annotation-netaffx-build	probeset_id	gene_symbol	gene_desc	chr_location	strand	refseq_accn
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1494_f_at	CYP2A6	cytochrome P450, family 2, subfamily A, polypeptide 6	chr19q13.2	-	NP_000753
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1598_g_at	GAS6	growth arrest-specific 6	chr13q34	-	NP_000811|NP_001137417|NP_001137418
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	160020_at	MMP14	matrix metallopeptidase 14 (membrane-inserted)	chr14q11-q12	-	NP_004986
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1729_at	TRADD	TNFRSF1A-associated via death domain	chr16q22	-	NP_003780
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1773_at	CHURC1-FNTB|FNTB	CHURC1-FNTB readthrough|farnesyltransferase, CAAX box, beta	chr14q23 /// chr14q23.3	-	NP_001189487|NP_001189488|NP_002019
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	177_at	PLD1	phospholipase D1, phosphatidylcholine-specific	chr3q26	-	NP_001123553|NP_002653
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	179_at	DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11 readthrough (non-protein coding)	chr7q11.23	-	---
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	1861_at	BAD	BCL2-associated agonist of cell death	chr11q13.1	-	NP_004313|NP_116784
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200000_s_at	PRPF8	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	chr17p13.3	-	NP_006436
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200001_at	CAPNS1	calpain, small subunit 1	chr19q13.12	-	NP_001003962|NP_001740
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200002_at	RPL35	ribosomal protein L35	chr9q34.1	-	NP_009140
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200003_s_at	RPL28	ribosomal protein L28	chr19q13.4	-	NP_000982|NP_001129606|NP_001129607|NP_001129608|NP_001129609
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200004_at	EIF4G2	eukaryotic translation initiation factor 4 gamma, 2	chr11p15	-	NP_001036024|NP_001166176|NP_001409
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200005_at	EIF3D	eukaryotic translation initiation factor 3, subunit D	chr22q13.1	-	NP_003744
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200006_at	PARK7	parkinson protein 7	chr1p36.23	-	NP_001116849|NP_009193
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200007_at	SRP14	signal recognition particle 14kDa (homologous Alu RNA binding protein)	chr15q22	-	NP_003125
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200008_s_at	GDI2	GDP dissociation inhibitor 2	chr10p15	-	NP_001108628|NP_001485
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200009_at	GDI2	GDP dissociation inhibitor 2	chr10p15	-	NP_001108628|NP_001485
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200010_at	RPL11	ribosomal protein L11	chr1p36.1-p35	-	NP_000966|NP_001186731
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200011_s_at	ARF3	ADP-ribosylation factor 3	chr12q13	-	NP_001650
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200012_x_at	RPL21|RPL21P28|SNORA27|SNORD102	ribosomal protein L21|ribosomal protein L21 pseudogene 28|small nucleolar RNA, H/ACA box 27|small nucleolar RNA, C/D box 102	chr13q12.2 /// chr1q32.3	-	NP_000973
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200013_at	RPL24	ribosomal protein L24	chr3q12	-	NP_000977
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200014_s_at	HNRNPC|LOC100652761|LOC100653343	heterogeneous nuclear ribonucleoprotein C (C1/C2)|uncharacterized LOC100652761|uncharacterized LOC100653343	chr14q11.2	-	NP_001070910|NP_001070911|NP_004491|NP_112604
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200015_s_at	SEPT2	septin 2	chr2q37	-	NP_001008491|NP_001008492|NP_004395|NP_006146
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200016_x_at	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	chr12q13.1	-	NP_002127|NP_112420
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200017_at	RPS27A	ribosomal protein S27a	chr2p16	-	NP_001129064|NP_001170884|NP_002945
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200018_at	LOC100508408|RPS13|SNORD14B	uncharacterized LOC100508408|ribosomal protein S13|small nucleolar RNA, C/D box 14B	chr11p15	-	NP_001008
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200019_s_at	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed	chr11q13	-	NP_001988
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200020_at	TARDBP	TAR DNA binding protein	chr1p36.22	-	NP_031401
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200021_at	CFL1	cofilin 1 (non-muscle)	chr11q13	-	NP_005498
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200022_at	RPL18	ribosomal protein L18	chr19q13	-	NP_000970
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200023_s_at	EIF3F	eukaryotic translation initiation factor 3, subunit F	chr11p15.4	-	NP_003745
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200024_at	RPS5	ribosomal protein S5	chr19q13.4	-	NP_001000
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200025_s_at	RPL27	ribosomal protein L27	chr17q21	-	NP_000979
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200026_at	RPL34	ribosomal protein L34	chr4q25	-	NP_000986|NP_296374
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200027_at	NARS	asparaginyl-tRNA synthetase	chr18q21.31	-	NP_004530
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200028_s_at	STARD7	StAR-related lipid transfer (START) domain containing 7	chr2q11.2	-	NP_064536
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200029_at	RPL19	ribosomal protein L19	chr17q11.2-q12	-	NP_000972
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200030_s_at	SLC25A3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	chr12q23	-	NP_002626|NP_005879|NP_998776
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200031_s_at	RPS11	ribosomal protein S11	chr19q13.3	-	NP_001006
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200032_s_at	RPL9	ribosomal protein L9	chr4p13	-	NP_000652|NP_001020092
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200033_at	DDX5	DEAD (Asp-Glu-Ala-Asp) box helicase 5	chr17q21	-	NP_004387
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200034_s_at	RPL6	ribosomal protein L6	chr12q24.1	-	NP_000961|NP_001019833
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200035_at	CTDNEP1	CTD nuclear envelope phosphatase 1	chr17p13	-	NP_001137247|NP_056158
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200036_s_at	RPL10A	ribosomal protein L10a	chr6p21.31	-	NP_009035
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200037_s_at	CBX3	chromobox homolog 3	chr7p15.2	-	NP_009207|NP_057671
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200038_s_at	RPL17|RPL17-C18ORF32	ribosomal protein L17|RPL17-C18orf32 readthrough	chr18q /// chr18q21	-	NP_000976|NP_001030178|NP_001186269|NP_001186270|NP_001186271|NP_001186272|NP_001186273|NP_001186274|NP_001186284|NP_001186285
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200039_s_at	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	chr1p34.2	-	NP_001186708|NP_001186709|NP_002785
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200040_at	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	chr1p32	-	NP_006550
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200041_s_at	ATP6V1G2-DDX39B|DDX39B|SNORD84	ATP6V1G2-DDX39B readthrough (non-protein coding)|DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B|small nucleolar RNA, C/D box 84	chr6p /// chr6p21.3 /// chr6p21.33	-	NP_004631|NP_542165
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200042_at	C22orf28	chromosome 22 open reading frame 28	chr22q12	-	NP_055121
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200043_at	ERH	enhancer of rudimentary homolog (Drosophila)	chr14q24.1|7q34	-	NP_004441
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200044_at	GATC|SRSF9	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)|serine/arginine-rich splicing factor 9	chr12q24.31	-	NP_003760|NP_789788
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200045_at	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	chr6p21.33	-	NP_001020262|NP_001081
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200046_at	DAD1	defender against cell death 1	chr14q11.2	-	NP_001335
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200047_s_at	YY1	YY1 transcription factor	chr14q	-	NP_003394
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200048_s_at	JTB	jumping translocation breakpoint	chr1q21	-	NP_006685
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200049_at	KAT7	K(lysine) acetyltransferase 7	chr17q21.32	-	NP_001186084|NP_001186085|NP_001186086|NP_001186087|NP_008998
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200050_at	ZNF146	zinc finger protein 146	chr19q13.1	-	NP_001093108|NP_001093109|NP_009076
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200051_at	SART1	squamous cell carcinoma antigen recognized by T cells	chr11q13.1	-	NP_005137
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200052_s_at	ILF2	interleukin enhancer binding factor 2, 45kDa	chr1q21.3	-	NP_001254738|NP_004506
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200053_at	SPAG7	sperm associated antigen 7	chr17p13.2	-	NP_004881
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200054_at	ZNF259	zinc finger protein 259	chr11q23.3	-	NP_003895
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200055_at	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	chr11p15.3	-	NP_006275
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200056_s_at	C1D	C1D nuclear receptor corepressor	chr2p13-p12	-	NP_001177192|NP_001177194|NP_006324|NP_775269
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200057_s_at	NONO	non-POU domain containing, octamer-binding	chrXq13.1	-	NP_001138880|NP_001138881|NP_001138882|NP_031389
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200058_s_at	SNRNP200	small nuclear ribonucleoprotein 200kDa (U5)	chr2q11.2	-	NP_054733
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200059_s_at	RHOA	ras homolog family member A	chr3p21.3	-	NP_001655
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200060_s_at	RNPS1	RNA binding protein S1, serine-rich domain	chr16p13.3	-	NP_006702|NP_542161
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200061_s_at	RPS24	ribosomal protein S24	chr10q22	-	NP_001017|NP_001135754|NP_001135755|NP_001135756|NP_001135757|NP_148982
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200062_s_at	RPL30	ribosomal protein L30	chr8q22	-	NP_000980
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200063_s_at	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	chr5q35.1	-	NP_001032827|NP_002511|NP_954654
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200064_at	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	chr6p12	-	NP_031381
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200065_s_at	ARF1|MIR3620	ADP-ribosylation factor 1|microRNA 3620	chr1q42	-	NP_001019397|NP_001019398|NP_001019399|NP_001649
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200066_at	IK	IK cytokine, down-regulator of HLA II	chr5q31.3	-	NP_006074
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200067_x_at	SNX3	sorting nexin 3	chr6q21	-	NP_003786|NP_690040
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200068_s_at	CANX	calnexin	chr5q35	-	NP_001019820|NP_001737
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200069_at	SART3	squamous cell carcinoma antigen recognized by T cells 3	chr12q24.1	-	NP_055521
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200070_at	CNPPD1	cyclin Pas1/PHO80 domain containing 1	chr2q35	-	NP_056495
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200071_at	SMNDC1	survival motor neuron domain containing 1	chr10q23	-	NP_005862
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200072_s_at	HNRNPM	heterogeneous nuclear ribonucleoprotein M	chr19p13.3-p13.2	-	NP_005959|NP_112480
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200073_s_at	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	chr4q21	-	NP_001003810|NP_002129|NP_112737|NP_112738
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200074_s_at	RPL14	ribosomal protein L14	chr3p22-p21.2	-	NP_001030168|NP_003964
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200075_s_at	GUK1	guanylate kinase 1	chr1q32-q41	-	NP_000849|NP_001152862|NP_001152863|NP_001229768|NP_001229769
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200076_s_at	KXD1	KxDL motif containing 1	chr19p13.11	-	NP_001165419|NP_001165420|NP_076974
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200077_s_at	OAZ1	ornithine decarboxylase antizyme 1	chr19p13.3	-	NP_004143
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200078_s_at	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	chr1p32.3	-	NP_001034546|NP_004038
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200079_s_at	KARS	lysyl-tRNA synthetase	chr16q23.1	-	NP_001123561|NP_005539
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200080_s_at	H3F3A|H3F3AP4|H3F3B	H3 histone, family 3A|H3 histone, family 3A, pseudogene 4|H3 histone, family 3B (H3.3B)	chr17q25.1 /// chr1q42.12 /// chr2q31.1	-	NP_002098|NP_005315
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200081_s_at	RPS6	ribosomal protein S6	chr9p21	-	NP_001001
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200082_s_at	RPS7	ribosomal protein S7	chr2p25	-	NP_001002
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200083_at	USP22	ubiquitin specific peptidase 22	chr17p11.2	-	NP_056091
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200084_at	C11orf58	chromosome 11 open reading frame 58	chr11p15.1	-	NP_055082
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200085_s_at	TCEB2	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	chr16p12.3	-	NP_009039|NP_996896
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200086_s_at	COX4I1	cytochrome c oxidase subunit IV isoform 1	chr16q24.1	-	NP_001852
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200087_s_at	TMED2	transmembrane emp24 domain trafficking protein 2	chr12q24.31	-	NP_006806
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200088_x_at	LOC648771|NBEAL1|RPL12	60S ribosomal protein L12-like|neurobeachin-like 1|ribosomal protein L12	chr2q33.2 /// chr9q34	-	NP_000967|NP_001107604
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200089_s_at	RPL4|SNORD16|SNORD18A|SNORD18B|SNORD18C	ribosomal protein L4|small nucleolar RNA, C/D box 16|small nucleolar RNA, C/D box 18A|small nucleolar RNA, C/D box 18B|small nucleolar RNA, C/D box 18C	chr15q22	-	NP_000959
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200090_at	FNTA	farnesyltransferase, CAAX box, alpha	chr8p11	-	NP_002018
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200091_s_at	RPS25	ribosomal protein S25	chr11q23.3	-	NP_001019
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200092_s_at	RPL37	ribosomal protein L37	chr5p13	-	NP_000988
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200093_s_at	HINT1	histidine triad nucleotide binding protein 1	chr5q31.2	-	NP_005331
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200094_s_at	EEF2	eukaryotic translation elongation factor 2	chr19pter-q12	-	NP_001952
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200095_x_at	RPS10	ribosomal protein S10	chr6p21.31	-	NP_001005|NP_001190174|NP_001191020
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200096_s_at	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	chr5q35.1	-	NP_003936
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200097_s_at	HNRNPK|MIR7-1	heterogeneous nuclear ribonucleoprotein K|microRNA 7-1	chr9q21.32 /// chr9q21.32-q21.33	-	NP_002131|NP_112552|NP_112553
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200098_s_at	ANAPC5	anaphase promoting complex subunit 5	chr12q24.31	-	NP_001131031|NP_057321
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200099_s_at	RPS3A|SNORD73A	ribosomal protein S3A|small nucleolar RNA, C/D box 73A	chr4q31.2-q31.3 /// chr4q31.3	-	NP_000997|NP_001254628
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200593_s_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	chr1q44	-	NP_004492|NP_114032
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200594_x_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	chr1q44	-	NP_004492|NP_114032
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200595_s_at	EIF3A	eukaryotic translation initiation factor 3, subunit A	chr10q26	-	NP_003741
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200596_s_at	EIF3A	eukaryotic translation initiation factor 3, subunit A	chr10q26	-	NP_003741
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200597_at	EIF3A	eukaryotic translation initiation factor 3, subunit A	chr10q26	-	NP_003741
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200598_s_at	HSP90B1|MIR3652	heat shock protein 90kDa beta (Grp94), member 1|microRNA 3652	chr12q24.2-q24.3	-	NP_003290
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200599_s_at	HSP90B1|MIR3652	heat shock protein 90kDa beta (Grp94), member 1|microRNA 3652	chr12q24.2-q24.3	-	NP_003290
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	200600_at	MSN	moesin	chrXq11.1	-	NP_002435
