CloneID	Ch	Start	End	Gene	BxPC-3_vs_humd	DanG_vs_humd	HPAC_vs_humd	HUP-T4_vs_humd	PA-8902_vs_humd	Panc1_vs_humd	SU86.86_vs_humd
A_23_P96777	1	3720223	3720343	KIAA1185	0.068670831	-0.290707204	-0.073086745	-0.181936096	-0.255178553	-0.103221962	-0.25703914
A_23_P200043	1	3751767	3751887	Y562_HUMAN	0.166986892	-0.403032138	-0.244339461	-0.083098155	-0.380542076	0.010710022	-0.108126347
A_23_P23159	1	4753063	4753183	SHREW1	0.000996037	-0.352375608	0.249217334	-0.452332406	-0.669886438	0.314426339	-0.040598019
A_23_P351739	1	5857358	5857478	NPHP4	-0.062426114	0.186487728			0.076704516	0.184748134	0.254591638
A_23_P138235	1	6046838	6046958	KCNAB2	0.123963844	0.009714625		0.130153284	-0.016491382	0.183891508	-0.077262481
A_23_P1007	1	6092893	6093013	KCNAB2	0.059822301	-0.128001258	-0.122303456	-0.080625416	-0.108766368	-0.061310087	-0.171947937
A_23_P501238	1	6094293	6094413	KCNAB2	0.02125056	-0.021978344	0.141826004	0.062283803	0.083698306	0.073756384	-0.153031429
A_23_P385254	1	6096075	6096195	CHD5	0.176035769	-0.136287505			-0.53751226	0.176691261	0.054587043
A_23_P115455	1	6180476	6180596	RPL22	0.005811841	0.102654821	0.483232592	-0.109043888	-0.199807262	0.28023972	0.522476745
A_23_P336000	1	6204647	6204767	FLJ32096	-0.332490101	-0.04194985	-0.052510605	-0.043709428		0.097789958	0.036391563
A_23_P104062	1	6217829	6217949	ICMT	-0.085385117	0.08497588		0.105883429		0.072704918	-0.051761153
A_23_P343261	1	6233484	6233604	MGC40168	0.34446295	-0.008516588	-0.141804019	0.12100016	0.158957447	-0.028551328	-0.080571813
A_23_P97652	1	6243791	6243911	GPR153	0.10051712	0.133942986	-0.268502552	0.260084685	0.191145297	0.005808091	-0.005872789
A_23_P86259	1	6258636	6258756	BACH	0.188765671	-0.28719401	-0.091249409		-0.24673204	-0.00097442	-0.087679339
A_23_P201686	1	6407358	6407478	HES2_HUMAN	0.115771045	0.027317733	-0.193371289	-0.036126386	0.036924762	-0.053116588	-0.120926105
A_23_P12405	1	6454901	6455021	ESPN		0.149133127	-1.014288836			-0.590988254	
A_23_P126844	1	6455450	6455570	TNFRSF25		-0.103717028				-0.07217155	0.209476332
A_23_P149626	1	6461427	6461547	KIAA0720	-0.014853293	-0.024768348	0.070959321	-0.096478855	-0.126778708	-0.049772905	0.090237244
A_23_P126727	1	6519980	6520100	FLJ23323	0.192006165	0.103174407	0.112298831		-0.181516952	0.338846976	0.219940706
A_23_P160890	1	6573516	6573636	TAS1R1	0.015989948	-0.122688505	-0.001627712	0.031707337	-0.089756884	0.151702574	-0.08562289
A_23_P149506	1	6583416	6583536	HKR3	-0.042615867	0.177889712	0.042384674	0.117348807	0.014350983	-0.08143903	
A_23_P341223	1	6585041	6585161	Y469_HUMAN	0.091820544	-0.156798033	-0.192113368	-0.054634857	-0.304917059	0.042720331	0.02055132
A_23_P201474	1	6587700	6587820	Y469_HUMAN	0.029266968	0.016701713		-0.172253758	-0.212751202	0.019853769	-0.020958351
A_23_P384559	1	6617779	6617899	PHF13	0.329835498	0.059814993	-0.052045263	0.335183409	-0.005544378	0.217935192	-0.005753693
A_23_P103942	1	6628580	6628700	MGC33488	0.094460838	-0.149202632		0.002130194	-0.22128949	-0.020249834	-0.125877484
A_23_P201461	1	7837548	7837668	PER3	0.154813654	-0.132014824	-0.093490033	-0.25269412	-0.294307157	-0.139348588	-0.104928625
A_23_P63343	1	7842034	7842154	UTS2	0.055733315	-0.10287006	-0.013361839	-0.099814585	-0.365414461	0.136569746	-0.115058988
A_23_P51936	1	7914928	7915048	TNFRSF9	0.162524702	-0.028339996	0.465416359	-0.060952673	-0.325648327	0.095459918	0.105781993
A_23_P74740	1	7979373	7979493	PARK7	-0.036910749	-0.294251272	-0.523118693	-0.092766948		-0.068972008	-0.479426031
A_23_P46470	1	8006413	8006533	MIG-6	0.28985658	-0.251107281	-0.229881083	-0.213702915	-0.444174134	0.121296112	-0.039542259
A_23_P85414	1	8349324	8349444	RERE	0.327017732	-0.188775441	-0.204215582	-0.111304627	-0.451337302	0.021204392	-0.230594536
A_23_P96809	1	8374780	8374900	RERE	-0.029326376	-0.113081724	-0.483967269	0.122790456	-0.098530125	-0.044621069	-0.137709132
A_23_P148861	1	8997674	8997794	SLC2A7	0.20311116	-0.046760793				0.124592564	0.04720784
A_23_P160159	1	9031375	9031495	SLC2A5	0.112051499	-0.102313789	-0.199228328	-0.290535051	-0.130823913	-0.111931226	-0.105560074
A_23_P158	1	9122305	9122425	GPR157	0.127735255		-0.063017653	0.002517776	-0.127057328	0.01620325	0.143105652
A_23_P114707	1	9258827	9258947	H6PD	0.224182054	-0.134172055		0.044496892	-0.269772152	0.010438808	
A_23_P200096	1	9350783	9350903	SSB1	0.108621278	0.230741794			0.020952483	0.00755964	0.031720426
A_23_P259833	1	9721419	9721539	PIK3CD	0.138946507	0.07012082	0.446028865	0.166189538	-0.17726693	0.0592843	0.117854201
A_23_P33303	1	9721772	9721892	PIK3CD	-0.056068676	-0.184737335	-0.523652881	-0.064808944	-0.296907637	-0.093611727	-0.061693927
A_23_P147599	1	9724403	9724523	CLSTN1	0.248813054	0.019471682		0.076165523	-0.050437641	0.17163214	0.001340739
A_23_P23586	1	9842728	9842848	CTNNBIP1	0.111332422	0.014368731	0.345631599			0.01016205	0.160886713
A_23_P784	1	9926168	9926288	LZIC	0.123083549	-0.050273548	0.142373297	-0.132804715	-0.000629279	0.077824526	-0.078473444
A_23_P309946	1	9976752	9976872	NMNAT1	0.314977532	-0.212344314	-1.00924019	-0.24835776	-0.261200074	-0.205719449	-0.026512379
A_23_P97431	1	10010130	10010250	RBP7	0.198135295	0.070482945	0.164652213	0.018526939	-0.330512886	0.048413333	
A_23_P201273	1	10174721	10174841	UBE4B	0.108675732	0.198930487		0.120301584	-0.229141422	0.068518312	-0.056626301
A_23_P201287	1	10375455	10375575	KIF1B	0.175658615	0.089689133	0.0882472	0.256118948	-0.059610949	0.001717618	-0.226231949
A_23_P126623	1	10413116	10413236	PGD	-0.020006786	0.063808168	-0.51200409	0.320315168	0.13712179	-0.283042388	-0.460000842
A_23_P138016	1	10436790	10436910	CORT	0.158975355	0.096061964	0.025959909	0.027872477	-0.158881678	0.032993842	-0.23121405
A_23_P149413	1	10445816	10445936	CORT	0.154827395	0.182139677	-0.013293372	0.05938092	-0.170637914	-0.168076067	-0.025249365
A_23_P258167	1	10445863	10445983	CORT	0.253532815	-0.094075489	-0.357886612		-0.036014764	-0.111476653	-0.049621534
A_23_P44314	1	10446079	10446199	CORT	0.215069962	-0.139743947	0.10461435	-0.23762569	-0.292737836	-0.112184055	-0.127208863
A_23_P12189	1	10455488	10455608	DFFA	0.013589674	-0.21635307	-0.575927304		-0.330209783	-0.485389039	-0.426082206
A_23_P160787	1	10624936	10625056	PEX14	0.116319423	-0.156181188	-0.370301174	0.034357663	-0.219152453		-0.148725852
A_23_P201295	1	10642323	10642443	FLJ20321	-0.247497784	-0.1691882		-0.091594349		0.069346559	0.003859162
A_23_P309903	1	10941964	10942084	FLJ37118	0.021481808	0.005498171	-0.009504483	0.11058855	0.093770106	0.142105827	0.212302222
A_23_P403955	1	11019501	11019621	TARDBP	0.119744982	-0.236811157	0.321097565			0.150656999	-0.092022496
A_23_P85672	1	11021023	11021143	MASP2	0.165332321	-0.185144206		-0.224485596	-0.400755533	0.099048744	-0.011423586
A_23_P301971	1	11039071	11039191	MASP2	0.110319816	0.014154138		0.052764969		0.090435623	0.069361352
A_23_P74269	1	11050272	11050392	SRM	0.114851169	-0.050049289		0.023139334	-0.112174937	-0.042969147	-0.115776346
A_23_P34606	1	11101697	11101817	FRAP1	0.232473444						
A_23_P114862	1	11190064	11190184	FRAP1	0.241251157	-0.024747051			-0.295170805	0.315833443	0.231365468
A_23_P103476	1	11280442	11280562	TERE1	-0.024858271	0.009449172	0.267250937	-0.155088068	-0.353593241	0.188642829	-0.030796498
A_23_P45999	1	11642763	11642883	FBXO2	-0.070487504	-0.165965651	-0.688503992	-0.108512841		-0.034100458	-0.006011896
A_23_P200633	1	11656492	11656612	FBXO44	0.090587667	-0.028696063	-0.032063502	-0.49523165	-0.137745718	0.007848527	-0.071776624
A_23_P97061	1	11668232	11668352	FBXO6	0.256446844	-0.256493665		-0.20910794		0.015587279	-0.116001768
A_23_P23206	1	11669368	11669488	MAD2L2	0.084941868	-0.215185854	-0.180458762		-0.161670742	-0.195605254	0.151339527
A_23_P158596	1	11742677	11742797	AGTRAP	-0.083467502	-0.092608511		0.044280401	-0.067149012	0.017082092	-0.080207488
A_23_P147215	1	11744800	11744920	AGTRAP	-0.06291131	-0.009033073		-0.269290289		0.480877093	
A_23_P200352	1	11784328	11784448	MTHFR	-0.027432303	-0.0118703	0.248921603	-0.045944941	-0.051394806	0.022154418	-0.120584661
A_23_P404045	1	11788626	11788746	MTHFR		-0.415101303					
A_23_P200361	1	11834653	11834773	CLCN6		0.112754608	0.483846239	0.024552319	-0.068465119	0.206110142	0.206711146
A_23_P74059	1	11840086	11840206	NPPA	0.186436851	-0.375163401	-0.237663069	-0.516145571	-0.668157066	5.24E-05	0.024921446
A_23_P62748	1	11851742	11851862	NPPB	0.240480829	0.043279063	0.081505912			0.137022946	0.026053614
A_23_P51355	1	11914287	11914407	Q9BSY1	0.192779725					-0.030856733	-0.204992416
A_23_P137525	1	11969629	11969749	PLOD	-0.008182715	0.175659399	0.527301294	0.160291914	0.105334125	0.051158637	0.212275878
A_23_P126135	1	12007625	12007745	MFN2	-0.113767051	0.216061047	0.0433039	0.132376046	0.035239785	0.077521496	0.046626743
A_23_P103357	1	12136719	12136839	TNFRSF8	0.2272703	-0.175252729	0.126625604	-0.063950735	-0.259560548	0.030795338	0.029188977
A_23_P500614	1	12138366	12138486	TNFRSF8	0.108321084	-0.187466081	-0.392250028		-0.348128262	-0.028717582	-0.103479408
A_23_P96940	1	12201830	12201950	TNFRSF1B	1.995514384	-0.121338199	-0.423930703		-0.348486152	-0.074453442	-0.098193408
A_23_P251216	1	12331867	12331987	VPS13D	0.430728508	-0.115356511	0.107468649		-0.12855584	0.01065203	0.051864975
A_23_P33759	1	12562315	12562435	DHRS3	0.142554396	0.039593804		0.162863538	0.145459117	0.235988869	-0.037503648
A_23_P51874	1	12660674	12660794		0.254476734	-0.016758712		0.170645422	-0.079309166	0.244078887	-0.027816105
A_23_P63269	1	12720488	12720608		0.070447718	-0.216487895		-0.178305228	-0.308886396	-0.032654064	-0.242090458
A_23_P74668	1	12755237	12755357	MGC35194	0.210386148	-0.113789003	-0.100914924	-0.026919147	-0.280071197	-0.209735839	-0.190853536
A_23_P97465	1	12854178	12854298	LOC65122	-0.0085719	-0.381410052		-0.390869266	-0.57654159	-0.110010665	-0.091928782
A_23_P103877	1	13547014	13547134	Q96B32	-0.037104008	-0.389896128		-0.359013193	-0.43433748	0.073387393	-0.078527286
A_23_P430068	1	13687928	13688048	T1A-2	0.199183088	-0.541079879	-0.527937037	-0.49966862		-0.145432059	-0.09978394
A_23_P201322	1	13687953	13688073	T1A-2		0.017916046	0.19012366	0.448021226	0.091018026	0.191377353	
A_23_P201071	1	13896677	13896797	PRDM2	0.087256201	-0.089134598	0.022040907	-0.147407858	-0.194445302	-0.116876756	-0.207743898
A_23_P12044	1	15292044	15292164	FLJ10199	0.221429472	-0.203383669	-0.110563264	-0.05553183		-0.1396847	-0.068205642
A_23_P85909	1	15400990	15401110	Q8NA05	0.051516146	0.059421711	0.511353424	0.267248293	-0.053156681	0.114233433	0.19049514
A_23_P23443	1	15501882	15502002	EFHD2	0.26944537	0.080795977	0.40360764	0.076156846	-0.334936045	0.328060538	0.15474194
A_23_P34852	1	15512272	15512392	CTRC	-0.024483072	-0.114375554		-0.132380316	-0.177995899	-0.108065897	-0.071847884
A_23_P46238	1	15539226	15539346	ELA2A	0.108062718	0.092217872		0.046640991	0.150309087		0.064139836
A_23_P51711	1	15559102	15559222	ELA2B	0.209528488	-0.314927573		-0.421356668	-0.526641121	-0.124314717	-0.195996661
A_23_P97309	1	15564224	15564344	CASP9	0.287070387	-0.31811272	-0.34018095	-0.343448102	-0.397948505	-0.251394607	-0.149203877
A_23_P103720	1	15645341	15645461	AGMAT	0.153289874	-0.119722206	0.138818771	-0.136735868	-0.018979415	0.143691834	0.096553968
A_23_P63114	1	15705365	15705485	Q9BRT1	0.158780774	0.224674062	0.728332961	-0.101563669	-0.126156654	0.270833661	0.208801133
A_23_P395534	1	15733384	15733504	RSC1A1	0.327568815	0.22020645	0.551159519	-0.153285771	-0.068597369	0.091940684	0.16801432
A_23_P74508	1	15733696	15733816		0.276853719	-0.248948655	-0.122931604	-0.179811941	-0.438766821	-0.08567933	0.021147589
A_23_P12054	1	16011777	16011897	SHARP	0.506193369	-0.140369257	0.187771187	-0.125020802	-0.377311861	0.039307227	
A_23_P654	1	16013905	16014025	ZBTB17	0.052870841	0.043933307		0.023853114	-0.324898027	0.007148051	0.074702442
A_23_P376172	1	16077780	16077900	MGC24047	0.060777616	-0.049503866	0.188423334	-0.129720461	0.012381961	-0.027362822	0.060284813
A_23_P103703	1	16086634	16086754	HSPB7	-0.711083523	0.045615338			-0.086927832	-0.011871687	0.365038236
A_23_P160660	1	16321920	16322040	Q9P2L4	0.008831076	-0.093005825	0.063772294	-0.202695891	-0.234254564	-0.067750976	-0.099035539
A_23_P115106	1	16468023	16468143	DKFZp566C0424	0.112997751	-0.622654918		-0.40042794	-0.544161879	-0.064088287	0.037826033
A_23_P97296	1	16531615	16531735	FLJ10420	0.264206469	0.004888936	0.557841375	-0.027575435	-0.425851305	0.223278661	-0.005583654
A_23_P126486	1	16690071	16690191	Q96FR5	-0.132366542	-0.045548624	-0.927367536	0.174520995	0.356258344	-0.097021825	-0.251613967
A_23_P148629	1	16757407	16757527		-0.50002331	0.12874609	-0.346552285	-0.183462537	-0.423512517	-0.420769439	-0.049641249
A_23_P104086	1	17042431	17042551	CROCC	-0.006783429	-0.011540048	-0.208400928	-0.07170151	-0.042859283	0.016279456	-0.046742449
A_23_P201747	1	17139009	17139129	PDI2_HUMAN	-0.113575383	-0.171748168	0.241473282		-0.644393956	0.260044365	0.120804291
A_23_P115478	1	17315872	17315992	PADI1	-0.011410835	-0.161951087		-0.294097896	-0.165463053	-0.131640123	0.259846582
A_23_P126869	1	17355174	17355294	PADI3	0.193204861	-0.326438236		-0.345247684	-0.679431748	-0.076189242	-0.105962933
A_23_P138260	1	17435369	17435489	PADI4	0.064752178	-0.0201821		-0.063584691	0.069570623	-0.041653748	-0.060764293
A_23_P381	1	17769479	17769599	FLJ10521	-0.338585657	0.014806718	0.672943558	-0.059625874	0.053640871	0.071752962	-0.074034407
A_23_P160388	1	17898473	17898593	LOC81569	0.011383978	-0.140889712	-0.11799688	-0.286934838	0.043001716	0.000403174	0.425744099
A_23_P149090	1	18254812	18254932	MGC15730	0.003034212	-0.764907102	-0.501637814	-0.797905787	-0.91055615	-0.305890331	-0.314077899
A_23_P95899	1	18450105	18450225	MGC15730	0.246541637	-0.529144556		-0.810021502	-0.659432412	-0.033452583	-0.021315792
A_23_P422131	1	18555437	18555557	FLJ38753	-0.887563093	-0.898106838		-1.613375678	-0.477956797	-1.004337713	-0.491764372
A_23_P126225	1	18807786	18807906	PAX7	0.36472802	-0.122863136	0.144336298	-0.156395783	-0.335035807	0.137216831	-0.259484952
A_23_P170337	1	18943294	18943414	ALDH4A1		-0.122156245	0.060898336	0.017485455	-0.198243235	0.045980843	-0.049137628
A_23_P158945	1	18943419	18943539	ALDH4A1	-0.013609679	-0.289123037	-0.365072677	-0.398868113		-0.070508445	-0.12374406
A_23_P86164	1	19148477	19148597	RBAF600	0.317531008	0.196204977	0.096328205	0.151400056	0.147059192	0.168340141	-0.191572559
A_23_P97553	1	19289390	19289510	Q14700	0.35047549	-0.063363843	0.221835576	0.041683931	-0.422307312	0.169974962	0.022977336
A_23_P435610	1	19290300	19290420	KIAA0090	0.132300149	-0.068323018	0.108492099	-0.082493744	-0.342081688	-0.023451812	-0.184266719
A_23_P35094	1	19330666	19330786	C1orf33	0.011143149	-0.084795688	-0.157297542	0.005520057	-0.123537521	0.246438039	0.014984617
A_23_P115356	1	19375838	19375958	AKR7A2	0.067235989		-0.234904446	0.066721456	-0.129796907	0.00250133	-0.06004392
A_23_P201528	1	19400671	19400791	PQLC2	0.164559255				0.864286851		
A_23_P405243	1	19403591	19403711	PQLC2	0.694556116	0.148648183	0.003609205	0.264529478	0.049285079	0.232535623	
A_23_P51958	1	19728963	19729083	NBL1		0.31551224		-0.093615008	0.063065744	0.000197438	0.089312903
A_23_P74766	1	19738097	19738217	HTR6	0.160771877	-0.142345068	0.202256591	-0.299168464	-0.439131696	0.035952294	0.14240597
A_23_P158276	1	19754420	19754540	LOC255104	0.214241758	0.058152947			-0.205500126	0.172580317	-0.047650269
A_23_P126248	1	19885899	19886019	FLJ20225	0.177729248	0.048173105	0.316162152	0.000397422	-0.187897037	0.089022304	0.054457767
A_23_P114857	1	19994067	19994187	PLA2G2E	0.033078306	0.148998225	0.232107228	0.243265728	-0.078013167	-0.086602472	-0.110195395
A_23_P103465	1	20162668	20162788	PLA2G5	0.130345416	0.218955238	0.389719657	-0.053988874	-0.20541357	0.082786885	-0.064881839
A_23_P300100	1	20184135	20184255	PLA2G2D	0.290814849	-0.313532316	-0.178394183	-0.15397415	-0.368566798	0.135799866	-0.327347851
A_23_P200610	1	20187272	20187392	PLA2G2D		-0.235536654		-0.157665046	-0.30371364	-0.055374815	-0.065687455
A_23_P200629	1	20221295	20221415		0.16710195	-0.057970182	0.327148385	-0.088055506	-0.275969163	0.000827461	-0.025731035
A_23_P85666	1	20263365	20263485	UBXD3	0.052343841	-0.212468593	-0.288877167		-0.449539366	-0.207288912	-0.063690955
A_23_P11800	1	20554646	20554766	Q9P1J2	0.051729598	-0.181369633		-0.078121292	-0.345836476	0.055663724	-0.102587542
A_23_P200598	1	20571443	20571563	FLJ12875		-0.146324086	0.04977919	-0.148580214	-0.254912743	0.031472989	
A_23_P34597	1	20690314	20690434	CDA	-0.020402752	-0.104220531	0.204453477	-0.003614903	-0.028374568	0.087121021	0.088265901
A_23_P160399	1	20720214	20720334	PINK1	-0.004028506	-0.185845801	-0.394501661	-0.127732839	-0.25546348	-0.178191223	-0.04870447
A_23_P23194	1	20722570	20722690	PINK1	-0.07294518	0.05796118	0.455713621	-0.232509873	-0.278187866	0.115705988	0.126316362
A_23_P149099	1	20724147	20724267	DDOST	0.171237528	0.094413128	-0.13202651	-0.140898335	-0.315149233	0.058931854	-0.02077133
A_23_P137630	1	20837155	20837275	HP1-BP74	0.253906903		-0.386671674	-0.288854949	-0.510740992	0.118867422	0.212654162
A_23_P126241	1	20879178	20879298	EIF4G3	0.075802799	-0.020958535		-0.081270823	-0.158635153	0.134466037	0.033763104
A_23_P200585	1	21350991	21351111	ECE1	-0.213000624	-0.212020559		-0.176760771	-0.028843352	-0.113644753	-0.489219758
A_23_P97043	1	21647572	21647692	ALPL	0.002196689	-0.028813785	0.186759343	-0.072928393	-0.422131442	0.02310894	0.402396039
A_23_P51455	1	21668520	21668640	RAP1GA1	0.086244329	0.21041699	0.183301004	0.181167622	-0.084021139	0.125019646	0.003756223
A_23_P200551	1	21750998	21751118	USP48	0.225599242	-0.0842297	0.339752702	-0.136226818	-0.487319779	-0.050607712	-0.011349123
A_23_P200575	1	22081480	22081600	ELA3A	-0.009501042	0.334379553	0.2079366	-0.003831902	0.289789458	0.138469913	-0.017406102
A_23_P74252	1	22102596	22102716	Q9P007	-0.108555288	-0.289284179	-0.973017872	-0.499910557	-0.715478846	-0.045170077	0.121267878
A_23_P11787	1	22191460	22191580	WNT4	0.207613569	-0.216446109	0.29454527	-0.108468218	-0.30989854	0.157574376	-0.079726206
A_23_P382607	1	22192110	22192230	WNT4	0.023085794	-0.235061752	0.190030705	-0.074142352	0.054705912	0.107400499	0.26054033
A_23_P160136	1	22580848	22580968	KIAA0478	0.010482059	0.047052424	-0.462193523	0.178035624	0.247319692	-0.277356543	-0.174398726
A_23_P11533	1	22598193	22598313	KIAA0478	0.441459817	0.041299846	0.439002067	0.015258738	-0.050013093	0.051785633	0.307741465
A_23_P387523	1	22602136	22602256		0.303711241	0.012877306	0.050966827	-0.172048499	-0.448165244	0.174900269	-0.014631898
A_23_P103199	1	22673035	22673155	EPHA8	-0.10631467	-0.100173636				-0.039563421	-0.097998936
A_23_P114678	1	22711281	22711401	C1QA	0.068094146		0.427383847	-0.392554818	-0.469828676	0.220818831	-0.041565641
A_23_P125974	1	22719703	22719823	C1QG	0.039506808	-0.097574045		-0.10900964	-0.322169904	-0.001934837	-0.137896664
A_23_P137366	1	22733040	22733160	C1QB	-0.299979654	-0.003986939	0.197566136		-0.340256696	0.110966565	0.102420788
A_23_P200067	1	22985836	22985956	EPHB2	-0.101908445	-0.22528412		-0.35196583	-0.442593	-0.197709084	-0.033358475
A_23_P22941	1	23163263	23163383	LUZP1	0.061845576	0.179543294	0.183776651	0.271658931	-0.137162678	-0.082020843	0.103175174
A_23_P34366	1	23264806	23264926	HTR1D	0.053441065	0.034252502	-0.110631558	0.005685999	-0.512789435	0.193122779	-0.011896679
A_23_P51202	1	23431775	23431895	ZNF436	0.241319663	0.049628893	0.377217349	-0.141322454	-0.338919855	0.12154271	-0.055673128
A_23_P114689	1	23500532	23500652	UPLC1	0.061248616	-0.068838203	0.104996979	0.204847052	-0.181980531	0.16944291	-0.19516701
A_23_P125990	1	23581620	23581740	E2F2	0.220239362	-0.035975514	-0.101878104	-0.137222326	-0.182738277	-0.12511669	-0.005771764
A_23_P137381	1	23630911	23631031	ID3		-0.445452581	-0.412726195	-0.150967713		-0.149976087	-0.072156488
A_23_P323194	1	23710922	23711042	Q8NDY4	0.246569501	0.043927886		-0.050975254	-0.314659484	0.160182435	-0.085419148
A_23_P74097	1	23831262	23831382	TCEB3	0.29350922	-0.356404385	-0.406938805	-0.082585382	-0.381205153	-0.151423954	-0.211169587
A_23_P200079	1	23859755	23859875	HT014	0.057258112	-0.208017115	-0.310851051	-0.07055745	-0.379832879	-0.001837322	0.020599536
A_23_P354154	1	23867346	23867466	GALE	0.32971887	0.261630453	0.543951332	0.190225189	0.052337494	0.190172926	-0.001251253
A_23_P160148	1	23867471	23867591	GALE	0.073064582	0.083563455			-0.297401164	0.000493522	-0.061003047
A_23_P145	1	23874069	23874189	HMGCL	0.060168011	0.082968211	-0.021580384		-0.082320812	0.069278555	-0.217472418
A_23_P11543	1	23917095	23917215	FUCA1		0.085095836	0.155174326	0.105986363	-0.169649507	0.173743201	0.243439405
A_23_P310931	1	23945765	23945885	CNR2	0.123341738	0.163836795				0.084744162	0.07292474
A_23_P22948	1	23946363	23946483	CNR2	0.085817925	-0.032233751	-0.052599561	-0.044123717	0.028357938	0.014652675	0.063409788
