Gene	YEW1_Control	YEW2_Control	YEW3_Control	YEW4_Treated	YEW5_Treated	YEW6_Treated
YPEL1	0	0	0	0	0	0
RN7SKP187	0	0	0	0	0	0
RP11-409K20.6	0	0	0	0	0	0
DNAJC14	1	3	0	4	0	7
TUBB2B	0	0	0	0	0	0
PTMAP4	58	38	44	39	58	51
PMF1-BGLAP	2139	1692	1660	2091	1859	2006
RP5-890O3.3	0	0	0	0	0	0
RP11-875O11.2	8	4	6	2	13	17
THEMIS2	0	0	0	0	0	0
RPL23AP6	0	0	2	0	0	0
NONO	5808	5443	5033	6892	5619	5931
RN7SL692P	125	93	59	109	84	82
DCAF13P3	0	0	0	0	0	0
RP11-236P13.1	0	0	0	0	0	2
PRRT2	36	32	22	25	32	26
POU4F3	0	0	0	0	0	0
AL358781.1	9	1	9	5	0	5
RP11-666A1.7	4	9	2	2	6	8
RP3-523E19.2	0	15	5	6	3	5
LA16c-306E5.1	0	0	0	0	0	0
RP11-575L7.2	7463	7051	6332	8731	8419	8172
SF1	959	897	821	990	849	833
RP11-255A11.4	35	28	37	42	58	37
JAK3	0	0	0	2	0	0
SPATS2L	2	0	1	0	0	0
RP11-356J5.12	1566	1381	1283	1571	1367	1492
YWHAG	0	0	0	0	0	0
RP11-443N24.1	32	27	45	23	34	37
HNRNPA1P48	3	1	7	4	17	17
RP11-332H18.5	755	579	449	847	659	735
RP3-486I3.5	1	0	0	2	2	0
SH3KBP1	2	0	0	0	5	0
MCU	2306	2072	1926	2313	1939	1837
ZNF699	0	0	0	0	4	0
MTND1P35	0	0	0	0	0	0
AC016821.1	8	2	7	10	9	0
AC005618.1	0	0	0	0	0	0
RBPJP5	0	0	0	0	0	0
Z98881.1	0	0	0	0	0	0
CDY23P	132	90	104	166	176	133
RP11-338K13.1	0	0	0	0	0	0
MIR4280	1037	944	930	1169	898	990
CTC-523E23.6	0	0	0	0	0	0
MIR4706	35	62	42	58	40	53
FAM177A1P1	168	133	124	166	150	102
RP5-996D20.3	5	1	3	7	5	2
SRP72P2	10456	7178	6963	15396	12292	12049
RP11-266O8.1	0	0	0	0	0	0
RP11-298J23.8	21	16	6	12	8	12
MIR1224	2603	2356	2376	4565	3996	4433
RASA2-IT1	903	738	734	730	788	676
AC007364.1	3	7	5	1	4	11
GS1-166A23.2	0	0	0	0	0	0
RP3-340N1.2	0	0	0	0	0	0
CD320	928	904	797	984	927	815
RNU6-79P	0	0	0	0	0	0
ADAMTS12	15	5	6	9	4	6
RNU6-814P	3112	3038	2677	3645	3124	3363
SPRR2C	1	0	2	9	0	0
MBD3L4	53	31	45	68	42	44
FAM166A	2056	1820	1673	2753	2349	2204
RNA5SP37	372	331	275	364	321	302
RP11-506M12.1	0	0	0	0	0	0
FOXJ2	1379	1240	1219	1310	1355	1118
CTB-36H16.2	20	9	11	29	16	32
AC083855.5	0	0	0	0	4	0
SLC13A3	0	0	0	0	0	0
AC020910.2	0	0	0	0	0	0
AC127032.6	0	0	0	0	0	0
AC130689.5	0	0	0	0	0	0
ARHGEF7	0	0	0	0	1	0
NAT6	0	0	0	0	1	0
TTF2	1	0	0	0	0	0
PDLIM1P2	0	0	0	0	0	0
ZEB2	0	0	0	0	0	0
PRELID2	0	0	0	0	0	0
RP11-759L5.2	0	0	0	0	0	0
RP11-400N13.1	0	0	1	0	0	0
ATP2A3	810	730	746	833	772	689
RP11-409O11.3	0	0	0	0	0	0
RP11-145M4.3	208	220	124	166	205	155
SIAH2-AS1	0	0	0	0	0	0
HCG4P7	15	8	14	12	22	5
PP13439	8946	7906	7372	9481	8924	8475
IFNK	15	9	4	4	3	11
VAX2	611	454	551	852	715	667
PSMG3-AS1	13009	13415	12289	14492	12837	13152
SRPRB	1	10	9	8	5	0
RP11-263K19.8	0	0	0	0	2	0
RP11-331N16.1	380	333	368	532	445	390
ADAM15	5625	4839	4473	5527	4771	4795
AC074389.6	0	0	0	0	0	0
ASB17	13	15	23	31	7	4
WI2-1959D15.1	13	14	16	5	9	3
RP11-6N17.4	0	0	0	0	0	0
RP11-666A8.11	0	0	0	0	0	0
RP11-1E11.1	758	772	583	774	721	768
RNU1-22P	2263	1924	1839	2702	2299	2207
STYXL1	2775	2859	2454	2805	2922	2625
RNU7-181P	0	3	0	0	0	4
IGLV3-17	12	15	4	6	12	8
AL391994.1	4	1	1	2	0	0
RP11-468E2.5	675	575	532	636	548	474
NANOGP2	5802	4718	4815	5915	5216	5022
DENND5B	1956	1845	1729	1957	1552	1704
HOXC12	719	558	626	707	668	776
AC005082.1	3370	3082	2650	3510	3169	3287
RNU6-1022P	0	0	0	0	0	0
AP2S1	297	331	332	323	418	287
AC068831.3	10	7	9	10	8	9
RP5-1031D4.2	1517	1562	1402	1508	1430	1442
RP1-29C18.8	0	0	0	0	5	0
ARL13B	0	0	0	0	0	0
AC139099.6	0	0	0	0	0	0
RPL27A	0	2	0	3	0	4
ADAMTS9-AS2	0	0	0	0	0	0
RP3-449M8.9	0	0	0	0	0	0
SAP30BP	0	0	0	0	0	0
RP11-161H23.9	0	0	0	0	0	0
RP11-354A14.1	0	0	0	0	0	0
CLDN10-AS1	8563	8959	7966	11712	11528	10715
RP11-383I23.2	29	51	22	33	40	7
TMEM161B	1013	938	862	976	917	884
RP3-437C15.1	8	9	3	10	6	0
RP3-430N8.10	0	0	0	0	0	0
INTS1	15	11	18	19	26	45
URI1	0	0	0	0	0	0
SHISA5	13190	11600	10293	12819	11915	11141
RN7SL422P	493	667	596	543	637	477
CTD-2643I7.1	6576	6195	5289	5107	5324	4726
DOK5	0	3	0	1	4	0
DYNC2H1	2	2	2	1	0	0
CHD8	0	0	0	0	3	0
AC015815.6	0	0	0	0	0	0
SNORD79	0	0	0	4	2	0
RP11-428G5.7	0	0	0	0	0	0
RP11-325E5.1	0	0	0	0	0	0
GOLGA6L5P	0	0	0	0	0	0
AL845450.2	51	64	48	92	61	81
RP11-977G19.11	6691	6116	5594	6423	5974	5596
AC137932.5	5	2	4	13	0	5
RPS27P29	9	2	4	13	1	7
RN7SL17P	0	5	0	0	0	0
DUX4	1	2	1	3	6	2
CTD-2144E22.6	0	4	0	0	0	0
CR753328.2	0	0	0	2	1	0
AIG1	0	0	0	0	0	0
AF241726.4	0	1	1	1	1	0
RPP21	197387	174222	157403	180429	158490	159124
MIR512-1	20	27	33	30	38	13
RNU6-835P	10	8	4	2	4	21
RP11-84C10.3	0	0	0	3	0	0
BX294158.4	20	14	25	9	11	8
hsa-mir-466	0	0	0	0	0	0
MIR4712	1	0	0	0	1	0
ITGAL	0	0	0	1	3	0
KLKP1	0	0	0	0	0	0
KRT18P34	0	0	2	0	0	0
OR6C69P	5	6	19	18	26	6
RP11-172E9.2	0	0	0	0	0	0
AC005606.1	318	331	334	401	421	429
RP11-517A5.7	1	0	0	1	4	0
RP11-523H24.3	0	0	0	5	2	2
RP1-137D17.1	14	5	12	75	39	43
RP11-617J18.1	2572	2168	1959	2700	2439	2241
SIX5	0	0	0	0	0	0
SNORD83A	2353	2015	1817	2098	1861	1808
RP11-1C8.6	0	0	0	0	0	0
OR6C70	0	0	0	0	0	0
MIR4262	485	417	397	480	407	453
AL583784.1	13	18	8	8	12	2
MPV17L2	2140	1895	1722	1870	1437	1584
RIPK2	2105	1918	1875	2613	2254	2306
LL0XNC01-16G2.1	0	0	0	0	0	0
RP11-361A23.1	0	0	0	0	0	0
CTD-2370N5.3	10	2	1	5	5	0
RNA5SP385	14866	12977	11985	17047	14526	14631
RN7SL762P	0	2	0	2	0	0
SNF8	923	789	693	925	880	820
RNA5SP180	0	0	0	0	0	0
RN7SKP91	1682	1724	1612	1655	1578	1544
ZNF669	26	10	13	18	12	21
POLR2KP2	658	590	519	796	746	675
RNU7-92P	12	13	7	0	0	0
KCNJ12	2	0	0	0	0	2
RN7SL769P	0	0	0	0	0	0
CARKD	4	10	12	5	17	5
RP11-267M23.4	0	0	0	0	0	0
RP11-459O16.7	4737	4389	4133	5078	4471	4557
RP11-671M22.4	0	0	0	0	0	0
THADA	0	0	0	0	0	0
AL592170.2	3	0	2	0	0	0
C1orf110	5817	5467	4958	6531	6388	6203
XXYLT1-AS2	0	0	0	0	0	0
RP11-473O4.3	0	0	0	0	0	0
RP11-350G24.2	0	0	0	0	0	0
RP11-701P16.1	4	4	1	0	0	0
AC067718.1	20352	19025	17496	18642	16122	15943
RP11-617I14.1	0	1	6	0	1	0
NPPA	567	606	515	514	506	492
RNU1-112P	0	0	0	0	0	0
C14orf142	10	6	18	2	9	10
TRAJ8	3484	3346	2750	3993	3779	3384
RP11-180C1.1	0	0	0	0	0	0
ACTL7A	1284	1026	991	1286	1078	1164
RP11-157B13.7	4	0	2	0	3	0
HCG22	70	85	71	58	57	42
RP11-16C18.3	14	16	17	4	7	8
MYCLP2	0	0	0	0	0	0
OR6S1	0	0	0	0	0	0
RP11-598F7.5	0	0	0	0	0	0
AC016629.7	0	0	0	0	0	0
CDKN2AIPNLP3	13223	14112	12273	13727	13022	12620
RP5-1033K19.2	121	211	153	195	188	183
KCTD5	154	161	144	165	194	152
COX19	6987	6441	5856	7414	6139	6626
LINC00877	5163	5126	4626	4861	4615	4513
NREP-AS1	17	13	6	21	3	13
RP11-2F20.1	20	23	18	36	29	21
RP11-352G18.2	5978	5473	4900	6401	5696	5581
RNU6ATAC8P	5	0	2	0	0	0
AC003988.1	0	0	0	0	0	0
RNU7-147P	0	7	0	1	0	7
AL162424.2	0	0	0	0	5	0
MTERFD3	0	0	0	0	0	0
CALCOCO2	1674	1535	1372	1476	1321	1408
GS1-21A4.2	1	4	5	4	2	1
CGB	0	0	0	0	0	0
HRH4	1	0	0	8	2	0
RP11-241F15.7	1	0	0	0	0	0
NUCB2	10	6	5	19	13	6
FHL2	465	323	312	752	661	642
PITRM1	46	37	39	108	109	87
RP11-286N22.10	2028	1899	1788	1772	1554	1588
RNA5SP331	93	54	57	40	57	60
AP002498.1	1943	1393	1410	1726	1806	1635
ZBTB5	0	0	0	1	0	0
RP11-622O11.5	0	0	0	0	0	0
CHRM4	775	598	589	906	751	671
HNRNPA3P9	1641	1386	1274	1807	1446	1448
HLA-E	32	25	33	38	39	16
ZNF419	9	12	2	6	2	6
RN7SL798P	4	0	0	14	4	11
RP11-323N12.5	0	0	1	0	0	1
ZSCAN16	0	3	0	6	5	0
PPAN	0	0	0	4	0	0
RP11-538I12.2	3667	3089	2911	3890	3379	3323
AC104651.3	8276	6205	5822	11477	10252	9787
FAM64A	8600	7435	6882	9372	7918	8008
COL17A1	0	0	0	0	0	0
CTC-431G16.3	893	778	690	766	680	703
RNU6-1184P	0	0	0	0	0	0
TAF8	13	8	5	16	4	20
PCDHB2	0	0	0	0	0	0
AC022819.2	0	0	0	0	0	0
RP11-190G13.4	184	211	147	205	162	147
RP11-719C20.1	0	0	0	0	0	0
AC117401.1	0	0	0	0	0	1
RP11-12D24.7	21	11	7	24	24	34
MIR191	3779	3373	2973	4680	4092	4006
RP11-24B13.2	0	1	3	0	5	2
FEM1AP4	0	0	0	0	0	0
AC073569.1	2259	1396	1318	3017	2778	2478
AC021818.1	8	0	2	3	4	3
BACH1	19	7	3	24	23	3
SETD2	0	3	0	0	0	0
RP1-79C4.1	0	0	0	0	0	0
AC233299.1	0	0	0	0	0	0
AP000235.2	0	0	0	0	0	0
RP11-305L7.5	0	0	0	0	0	0
RP11-849F2.7	0	0	1	0	0	0
RP11-112N13.1	0	0	0	0	0	0
RPL5P30	0	0	0	0	0	0
STK11IP	0	0	0	0	0	0
EEF1A1P37	0	3	2	0	2	1
CDY22P	0	0	0	0	0	0
PGR	0	0	0	0	0	0
RNU4ATAC11P	0	0	0	0	0	0
TDRD6	0	0	0	0	0	0
AC013275.2	0	0	0	0	0	0
KRTAP1-3	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0
AC010547.9	0	0	0	0	0	0
RNU6-530P	0	0	0	0	0	0
RP11-807H7.2	0	0	0	0	0	0
AC005307.3	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0
RP11-397P13.7	0	0	0	0	0	0
VN1R34P	0	0	0	0	0	0
RP11-644F5.15	0	0	0	0	0	0
FAM169B	0	0	0	0	0	0
RP11-328N19.1	9	3	7	7	7	3
RFC3	0	0	0	0	0	0
LINC00945	0	0	0	0	0	0
AC100817.1	0	0	0	0	0	0
RNU6-1097P	0	0	0	0	0	0
RP3-348I23.3	0	0	0	0	0	0
AF250324.1	0	0	0	0	0	0
RP11-424I19.2	0	0	0	0	0	0
RP11-67H2.1	0	0	0	0	0	0
RP11-989F5.1	0	0	0	0	0	0
RP11-503C24.1	0	0	0	0	0	0
RP11-28H5.2	0	0	0	0	0	0
NUDT4	0	0	0	0	0	0
ELOVL2-AS1	0	0	0	0	0	0
CTD-3239E11.2	0	0	0	0	0	0
RP11-146P2.1	0	0	0	0	0	0
GPR33	0	0	0	0	0	0
HBEGF	0	0	0	0	0	0
POTEB2	0	0	0	0	0	0
E2F3	0	0	0	0	0	0
PRKCE	0	0	0	0	0	0
RP1-92C8.3	0	0	0	0	0	0
RP11-254B13.1	0	0	0	0	0	0
LINC01087	0	0	0	0	0	0
NRGN	0	0	0	0	0	0
RP11-157E21.2	0	0	0	0	1	0
MCM3AP	0	0	0	0	0	0
RP11-723O4.2	0	0	0	0	0	0
MELK	0	0	0	0	0	0
RP11-434D12.1	0	0	0	0	0	0
MIR219-1	1	0	1	0	0	0
AC074366.3	1859	1677	1574	1972	1847	1734
MAGEA13P	0	0	0	0	0	0
RNF6P1	0	0	0	1	0	0
RP1-272J12.1	2	0	0	1	0	0
RNA5SP36	595	456	433	587	599	591
AC007879.3	0	1	0	0	0	1
HMGB3P12	1	2	0	0	1	4
RP11-263K4.1	785	680	611	731	730	726
HSP90AA1	2	2	0	0	0	0
RP11-760D2.12	0	0	0	0	0	0
hsa-mir-4539	7	4	1	8	21	8
CTC-296K1.4	0	0	0	0	0	0
GMCL1	0	0	0	0	0	0
RP11-242C24.3	6	11	9	9	6	4
RP11-463O12.3	5214	4505	4369	4715	4103	4274
AP001462.6	7	2	0	0	4	0
CBX3P8	0	0	0	0	0	1
RP11-57A19.5	0	0	0	0	0	0
RP11-153M7.5	392	268	270	519	441	390
RP11-11C20.1	1885	1771	1507	2553	2444	2584
YWHAQP9	2	2	3	8	8	0
RP11-154H12.3	1	0	2	0	0	0
RN7SL636P	68	72	90	113	58	88
RP1-39G22.7	3	0	1	5	2	1
CTD-2254N19.1	7	11	7	5	9	10
DDB2	0	0	0	0	0	0
AC244517.1	0	0	0	0	0	0
RP11-68I18.2	3019	2910	2632	3155	3129	2923
RP11-524D16__A.3	0	0	0	0	0	0
CTD-2127H9.1	0	0	0	0	0	0
AC105921.5	5605	4602	4350	6808	5746	5536
AC027320.1	0	0	0	0	0	0
RNA5SP394	10	13	36	19	16	16
AC005014.5	40	38	25	58	51	32
MFSD12	2	0	5	3	1	1
HIST2H3D	1	0	1	0	2	0
LSR	4130	3553	2968	4791	4110	4431
RP5-1070G24.2	20	19	10	16	33	12
C16orf52	254	187	204	184	181	141
CYP1A2	22	12	15	29	11	12
RP11-641A6.2	212	207	145	179	145	183
PHLDA1	7737	6689	6070	7184	6455	6208
ANKRD34A	0	0	0	0	0	0
AC023385.1	1733	1575	1368	1841	1427	1497
CTD-2378E21.1	1	2	6	1	0	0
AC073136.1	0	0	0	0	0	0
FAM102B	0	0	0	0	0	0
RP11-626G11.4	0	0	0	0	0	0
ADIRF-AS1	0	0	0	0	0	0
ITGB2	248	171	184	291	234	282
SCRT2	6	3	0	3	2	1
IGHV3OR16-10	12	6	3	1	19	9
EXT1	1	0	1	0	1	0
TTTY10	51	33	61	45	52	41
LBP	18198	16840	15056	22211	18274	19820
DNAJA1P6	22	29	18	14	19	14
AC007679.3	8	6	6	11	5	13
RP11-726G23.2	0	0	0	0	0	0
ST14	71	49	90	37	69	40
RP11-616M22.9	25	13	14	27	19	12
CXCR3	60	51	33	47	50	50
RP11-167P22.3	180	155	104	239	169	172
AL035610.2	13	25	18	23	19	11
COX6B1P5	1761	1602	1392	2031	1816	1768
NHS	10393	9479	8521	10552	9522	9541
AC007292.4	2	5	1	4	10	5
LINC00333	3	0	3	6	4	0
NPR1	3915	3715	3415	5049	4445	4410
CTA-941F9.9	48	40	36	63	86	57
CACNA1F	260	272	213	263	262	262
ANKRD20A14P	0	0	0	0	0	0
SKA3	1	0	2	2	3	2
SNRPF	0	0	0	0	0	1
RP11-459D22.2	39	27	27	48	19	48
SNX2	0	0	0	0	0	0
RP4-769N13.7	0	0	0	0	0	0
RP11-430H10.1	0	0	0	0	0	0
AC060226.1	3729	3597	3228	3972	3614	3611
C14orf132	1	2	2	1	0	0
RP11-607P23.1	1119	878	876	1017	949	822
DNAJB7	12	15	11	37	26	8
AC104088.1	0	0	0	0	0	0
EXOC1	0	0	0	0	0	0
AC007246.3	0	0	0	0	0	0
MIR511-1	155	160	116	137	137	113
RBM22P6	0	0	0	0	0	0
MT-TM	0	0	0	0	0	0
YIF1B	1201	1020	973	1212	1072	903
AC004901.1	0	0	0	0	0	0
ANTXRLP1	0	0	1	2	3	0
TCEB1P23	16	12	15	6	10	13
LY6G6F	0	0	0	0	0	0
USP3	0	0	0	0	0	0
RP11-24M17.3	0	0	0	0	0	0
CICP6	0	0	0	0	0	0
ITGA6	0	0	0	0	0	0
MIR4484	0	0	0	0	0	0
PVRL2	0	0	7	0	6	5
CPOX	914	678	644	1192	944	940
GAPDHP32	0	1	1	2	7	0
PLEKHA2	4291	3044	2775	4263	3552	3519
CD68	3442	3256	2935	3785	3595	3458
RP5-921G16.1	1	0	6	1	1	5
ZNF886P	559	409	393	543	586	478
AP001626.2	117	62	69	206	194	176
IL15	51	41	32	27	59	16
ZYEWIM5P1	0	0	0	0	0	0
HMGN1P38	0	2	0	0	0	0
AC010877.1	0	0	0	0	0	0
OR7C2	0	0	0	0	4	0
MAD1L1	0	0	0	0	0	0
RNU4-14P	8536	7679	7089	8744	8006	7642
ITM2B	0	0	0	0	0	0
IGHVIII-13-1	1563	1471	1247	1588	1417	1381
NTNG1	0	1	0	0	0	0
AC100757.1	11	1	10	6	7	20
DZIP1L	0	0	0	6	0	0
RPL15P2	0	0	0	0	0	0
LINC00226	0	0	0	0	0	0
SPDYE2	0	0	0	0	0	0
GUCA1B	5	1	4	15	17	4
RN7SL729P	0	0	0	0	0	2
AC105242.1	0	0	0	0	0	0
CTD-3049M7.1	0	0	0	0	0	0
CTC-512J12.7	0	0	0	0	0	0
CTC-224D3.1	0	0	0	0	2	0
AC010729.1	559	468	486	544	565	521
RP11-34F13.2	0	0	0	0	0	0
EMG1	0	0	0	0	0	0
RP11-644F5.10	1213	1124	1041	1634	1400	1397
RP11-495P10.1	76	75	42	48	50	71
NRBF2	19577	17337	15561	21330	17992	17417
AC096633.1	9	6	2	8	9	8
RNU6-330P	1	2	6	5	0	2
SNORD67	8507	7803	7385	10422	9755	9493
APOC4	5343	5186	4800	5139	4662	4254
OMG	32	43	27	46	34	42
RP11-722P11.4	31	36	37	32	30	41
ZBED3-AS1	75	74	60	107	82	64
RN7SL88P	3115	2557	2540	2902	2529	2672
RP11-349G13.1	6	2	1	1	1	4
HYPK	1395	1188	1099	1469	1253	1366
RP11-250H24.6	0	0	0	2	0	0
HSPA7	14530	12260	11617	16308	14279	14954
C9orf153	2	0	0	0	0	0
CCDC33	0	0	0	0	0	0
RP11-54O7.10	3	0	0	0	0	0
KIAA2013	0	0	0	0	0	0
AL662800.2	1051	1193	985	1371	1343	1469
NT5C3AP1	53	40	34	47	58	32
TNP1	119	119	109	174	113	116
EEF1DP1	0	0	0	0	0	0
RP11-554D15.1	1390	1246	1182	1341	1070	1218
GNA14	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0
RPL21P66	1766	1693	1468	1765	1685	1525
MEGF8	0	0	0	0	0	0
RNU6-817P	0	0	0	0	0	0
RN7SL250P	0	0	0	0	0	0
RNU6-547P	0	0	0	0	0	0
LILRB3	0	0	0	0	0	0
RP11-23D5.1	0	0	0	0	0	0
HCCAT5	0	0	0	0	0	0
RP11-603B24.1	0	0	0	0	0	0
RP11-253D19.2	0	0	0	0	0	0
HIST1H2APS6	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0
PHKA2-AS1	0	0	0	0	0	0
TWISTNB	0	0	0	0	0	0
GATSL1	0	0	0	0	0	0
WNT3	0	0	0	0	0	0
MIR4691	2301	2215	1914	1917	2015	1918
RP1-241P17.1	2563	2251	2156	2807	2446	2332
LBH	0	0	0	0	0	0
RP11-451B8.1	18	11	14	36	31	28
RN7SL555P	62	63	54	97	87	92
AL592528.1	2342	2248	1990	3285	2438	2694
GNAT3	369	300	272	401	373	389
CNN2P1	0	0	0	0	0	0
SEPT2	15319	12782	11688	18067	15927	16036
RNU6-891P	44	45	45	71	67	80
RER1	0	0	0	4	0	0
RPS16P5	2053	1701	1867	2085	1908	1716
MIR27B	0	0	0	2	0	0
TMEM178A	16729	17444	15252	16880	16693	15111
RP11-44D15.6	0	0	0	0	0	0
PF4V1	8985	8904	7908	11732	11083	10406
RP11-142C4.6	0	0	0	2	0	0
XXyac-YM21GA2.4	0	0	0	0	0	0
RP11-498M5.2	0	4	0	0	0	0
CSF2RB	0	0	0	1	4	0
MRPL44	7	1	0	1	7	2
RAD52	54	37	33	33	44	54
MIR34A	16372	13765	12460	17637	15288	15444
MIR4672	4	3	5	1	0	1
PLXNB2	4	1	1	9	2	8
GINS4	0	0	1	0	2	0
RP11-27K13.3	0	0	0	0	0	1
GREM1	0	0	0	0	0	0
SYT12	36	40	20	29	51	36
RP11-263I1.1	1	0	0	0	0	0
RNU7-12P	0	0	0	0	0	0
