	TCGA-13-0758-01A-01R-0363-07	TCGA-13-0723-01A-02R-0363-07	TCGA-09-0364-01A-02R-0363-07	TCGA-13-0727-01A-01R-0363-07	TCGA-09-0365-01A-02R-0363-07	TCGA-13-0805-01A-01R-0363-07	TCGA-01-0631-11A-01R-0363-07	TCGA-13-0768-01A-01R-0363-07	TCGA-13-0800-01A-01R-0363-07	TCGA-13-0791-01A-01R-0363-07	TCGA-13-0804-01A-01R-0363-07	TCGA-13-0762-01A-01R-0363-07	TCGA-13-0803-01A-01R-0363-07	TCGA-13-0757-01A-01R-0363-07	TCGA-13-0725-01A-01R-0363-07	TCGA-13-0730-01A-01R-0363-07	TCGA-01-0637-11A-01R-0363-07	TCGA-13-0794-01A-01R-0363-07	TCGA-13-0795-01A-01R-0363-07	TCGA-13-0792-01A-01R-0363-07	TCGA-01-0636-11A-01R-0363-07	TCGA-13-0764-01A-03R-0363-07	TCGA-13-0793-01A-01R-0363-07	TCGA-09-0369-01A-01R-0363-07	TCGA-07-0249-20A-01R-0363-07	TCGA-09-0367-01A-01R-0363-07	TCGA-13-0802-01A-01R-0363-07	TCGA-13-0760-01A-01R-0363-07	TCGA-01-0633-11A-01R-0363-07	TCGA-13-0724-01A-01R-0363-07	TCGA-13-0726-01A-01R-0363-07	TCGA-13-0717-01A-01R-0363-07	TCGA-13-0801-01A-01R-0363-07	TCGA-09-0366-01A-01R-0363-07	TCGA-13-0714-01A-01R-0363-07	TCGA-13-0761-01A-01R-0363-07	TCGA-01-0638-11A-02R-0363-07	TCGA-01-0630-11A-01R-0363-07
PDCL3	0.363	0.728625	0.2235	0.194375	-0.211875	0.206625	0.02675	0.940375	1.53175	0.388	-0.031125	-0.36325	-0.345375	0.05325	-0.60025	0.33525	0.067625	0.335875	-0.5425	0.39375	0.11675	-0.0665	0.13575	0.207	-0.521	-0.290625	-0.0465	-0.37475	0.127	0.2265	0.2485	-0.2575	0.383875	0.5305	0.15475	0.479625	0.0745	-0.473625
DECR1	0.9264	-1.6311	-0.9351	-1.7662	-0.712	-0.4444	-0.3596	-0.5553	-0.3532	-0.9182	-1.3739	-2.923	-1.4863	-1.2077	0.0445	-0.6486	-0.7837	-0.6052	-2.1331	-0.7797	-0.2659	-0.7568	-1.1805	-0.3532	-0.2028	-0.9458	-0.4301	-0.553	-0.5332	-1.0191	-0.0231	-2.2445	-0.2608	-0.6678	-0.5243	-0.1217	0.9415	-1.2804
SALL1	-1.069125	-2.920125	-0.19425	-4.48825	2.318875	-4.588125	-0.13775	-4.5045	0.975375	-4.008	-4.2135	-4.350625	-4.57585714285714	-1.2155	-4.167625	1.19225	-0.444625	-3.128875	-3.36775	-4.25657142857143	1.399375	-4.88428571428571	-3.82525	-4.556375	2.445125	-5.07575	0.9265	-4.353	-0.22475	-4.89875	-3.465	-2.533	-4.5365	-3.380625	-4.27675	-3.479625	-2.395	0.687875
CADM4	0.219625	-0.0435	0.789125	0.233625	1.02	0.664875	-0.111	-0.288375	0.460125	0.449125	-0.2845	0.452875	0.408	1.26525	0.48175	0.77175	-0.0885	0.402625	0.095	-0.017625	-0.129125	0.463	0.349375	1.286625	0.338875	0.27025	0.99125	-0.19475	-0.19025	-0.204375	0.38175	0.747625	0.998875	0.070375	0.458125	0.683875	-0.4315	-0.097125
RPS18	0.42578947368421	0.296052631578947	1.41647368421053	0.990052631578947	0.137842105263158	1.54578947368421	0.622631578947368	-0.108157894736842	0.894263157894737	1.01263157894737	0.722736842105263	1.02457894736842	0.88078947368421	1.34778947368421	-0.217736842105263	-0.197157894736842	-0.178631578947368	0.931894736842105	1.45489473684211	2.24463157894737	0.655894736842105	1.45778947368421	1.336	-0.46	-1.216	1.32542105263158	0.199842105263158	0.353421052631579	1.05394736842105	1.61289473684211	-0.839105263157895	1.21794736842105	0.589789473684211	-0.130631578947368	0.757789473684211	1.22368421052632	0.355526315789474	0.461315789473684
HNRPD	-1.10393333333333	-0.372533333333333	-0.115866666666667	-0.837666666666667	-0.210266666666667	-1.58953333333333	-0.866133333333333	-1.21673333333333	-0.388266666666667	-1.28333333333333	-1.34433333333333	-2.051	-1.9712	-1.34513333333333	-0.326666666666667	-0.561333333333333	-0.684866666666667	-0.562666666666667	-1.88086666666667	-1.9958	-0.258333333333333	-1.0536	-2.0562	-0.339	-0.1764	-0.832666666666667	0.00686666666666666	-0.730066666666667	-0.499533333333333	-1.1964	-1.3198	-1.62793333333333	-1.01006666666667	-1.0262	-1.3864	-0.605066666666667	-1.21	-0.959066666666667
CFHR5	0.848875	0.609833333333333	0.776833333333333	-0.00737499999999998	0.35275	-0.229625	0.728428571428571	-0.298571428571429	0.385333333333333	0.398875	0.179625	-0.5265	0.438	-0.238375	0.330166666666667	0.00385714285714286	0.1225	0.457	-1.456875	-0.2605	0.133571428571429	1.70957142857143	0.172875	-0.337571428571429	-0.140333333333333	0.108	-0.08925	0.206857142857143	-0.177125	-0.1135	0.155571428571429	0.183333333333333	-0.761875	0.22925	0.029	0.238375	-0.4824	0.404571428571429
SLC10A7	-0.133636363636364	-0.371181818181818	-0.277	-0.651363636363636	0.0080909090909091	-0.867363636363636	-0.410454545454545	-0.619363636363636	-0.545818181818182	0.257818181818182	-0.484	-0.854181818181818	-0.667636363636364	-0.517272727272727	-0.678090909090909	-0.648181818181818	-0.135727272727273	0.116454545454545	-0.688090909090909	-0.538	-0.201272727272727	-0.293363636363636	-0.785818181818182	0.220636363636364	0.308	-0.259090909090909	-0.3	-0.0720909090909091	-0.407454545454546	-0.457454545454545	-0.124636363636364	-1.14327272727273	-0.126363636363636	-0.478272727272727	-0.329818181818182	-0.221545454545455	-0.0456363636363636	-0.921636363636364
OR2K2	0.318666666666667	-0.0276666666666667	0.660333333333333	0.450666666666667	0.487333333333333	0.8	0.556333333333333	0.043	0.355333333333333	0.384333333333333	0.358333333333333	0.619333333333333	0.895666666666667	0.424666666666667	0.361	0.286	-0.0373333333333333	0.847	0.482	0.608333333333333	0.41	0.172333333333333	0.310666666666667	-0.180333333333333	0.372666666666667	0.766666666666667	0.393333333333333	0.268333333333333	0.246666666666667	0.630333333333333	0.525666666666667	1.154	0.549333333333333	0.767333333333333	0.743666666666667	0.700333333333333	0.968	0.399
LMAN1	-0.728181818181818	-0.861	-1.45545454545455	-2.17027272727273	-1.14372727272727	-1.48245454545455	-0.893454545454546	-0.935545454545454	-1.73118181818182	-1.66527272727273	-1.61736363636364	-0.413	-1.87627272727273	-0.755545454545455	-0.770272727272727	-1.40672727272727	-1.16727272727273	-0.645636363636364	-1.67981818181818	-1.20845454545455	-1.24763636363636	-0.914818181818182	-1.57054545454545	-0.569363636363636	0.771727272727273	-1.07172727272727	-1.10763636363636	-0.412181818181818	-1.41618181818182	-1.50718181818182	-1.71	-0.991090909090909	-0.850272727272727	-0.512090909090909	-1.237	-0.693	-0.591090909090909	-1.483
SUHW1	-2.3756	-1.5178	-1.2578	-1.8364	-1.874	-1.422	-2.2178	-1.6608	-1.4322	-1.891	-2.3372	-1.6086	-1.9182	-0.9064	-2.5788	-1.5364	-2.1962	-1.544	-1.6588	-2.3352	-2.263	-1.31	-1.7448	-2.0092	-1.7566	-2.1272	-1.1344	-0.4784	-2.3386	-1.5032	-2.4834	-1.3346	-1.189	-1.8374	-1.4982	-1.3592	-2.0708	-1.6414
CHD8	-0.576769230769231	-0.796769230769231	0.294769230769231	-0.608769230769231	-0.175461538461539	0.112923076923077	-0.621923076923077	0.445769230769231	0.119615384615385	-0.527923076923077	0.172	0.360846153846154	0.226461538461538	-0.967538461538461	-0.564461538461538	1.15061538461538	-0.356461538461538	-0.422615384615385	-0.240692307692308	-0.636153846153846	-0.467846153846154	-0.259461538461538	0.136	-0.467692307692308	-1.46230769230769	-0.283846153846154	-0.208153846153846	0.392846153846154	-0.838153846153846	0.0506153846153846	-0.930076923076923	-0.643923076923077	-0.440461538461538	-0.217615384615385	0.0705384615384615	-0.506	-1.01215384615385	-0.354538461538462
SUMO1	-0.0779230769230769	0.186538461538462	0.609923076923077	0.485384615384615	0.706615384615385	0.800615384615384	0.634615384615385	0.602692307692308	1.15253846153846	1.21630769230769	0.119769230769231	0.149230769230769	0.644230769230769	0.733307692307692	0.691846153846154	0.817307692307692	0.0215384615384614	0.191384615384615	0.0610769230769231	0.277076923076923	0.624692307692308	0.170692307692308	1.496	0.316615384615385	0.599076923076923	0.470384615384615	0.688384615384615	0.740307692307692	0.414923076923077	0.468153846153846	0.982615384615385	-0.282153846153846	0.480153846153846	0.348	0.225692307692308	0.764615384615385	0.290153846153846	0.158615384615385
GP1BA	-0.00223076923076923	0.562230769230769	0.208076923076923	0.14	0.318076923076923	0.168230769230769	0.617384615384616	0.411461538461538	0.0271538461538462	0.208384615384615	0.109	0.226846153846154	0.426230769230769	0.220384615384615	0.221769230769231	0.0844615384615384	0.0169230769230769	0.00146153846153846	0.174769230769231	0.387692307692308	0.123692307692308	0.422384615384615	0.300153846153846	0.388769230769231	0.103461538461538	0.421923076923077	0.196615384615385	0.395307692307692	0.466076923076923	0.219384615384615	0.138076923076923	0.296538461538462	0.376615384615385	0.117	0.406	0.319461538461539	1.65392307692308	0.348230769230769
DDB1	-0.57275	-0.863625	-0.167375	-0.273	-0.499	0.191625	-0.819	-0.18275	0.177375	0.019875	0.3325	-0.317	0.155375	-1.1855	0.043875	-0.44275	-0.301125	0.474625	-0.29875	-0.23725	-0.085125	-0.436875	0.056	0.057	-0.688125	0.115625	0.143125	0.31525	-0.885125	-0.00925	-0.2645	-0.123375	-0.2005	-1.22025	-0.678125	-0.746375	-0.975875	-0.341
MYO9B	-0.339642857142857	-0.423642857142857	-0.245	0.121142857142857	-0.145642857142857	0.0954285714285715	-0.315857142857143	0.301214285714286	1.02471428571429	-0.654	0.360214285714286	0.3675	-0.0518571428571428	0.290357142857143	-0.107571428571429	0.430785714285714	-0.177285714285714	-0.297428571428571	0.586785714285714	-0.457642857142857	-0.767357142857143	0.103928571428571	-0.0338571428571428	-0.459928571428572	0.266714285714286	-0.426428571428571	0.445928571428571	-0.0838571428571428	-0.578428571428572	0.304857142857143	-0.215857142857143	0.262714285714286	-0.153428571428571	0.3555	-0.0862857142857143	-0.132714285714286	0.00814285714285714	-0.517
MMP7	5.6786	4.8	2.4794	6.2564	5.7888	6.2478	6.5556	7.342	6.8412	6.823	5.5688	6.2618	7.4188	7.562	6.276	6.004	7.0662	3.394	6.3972	5.52	6.1966	3.2374	7.6592	4.2468	4.3328	7.0512	5.5286	5.5806	7.2308	6.644	7.3206	4.3318	5.6336	5.803	7.3356	6.856	1.6724	6.8226
CRNKL1	0.0425	0.1598	0.4337	1.592	-0.2698	-0.1199	-0.2766	-0.5772	0.8476	-0.1063	-0.5704	0.3927	-0.4119	0.4432	-0.3361	-0.3314	-0.0768	0.5391	-0.0211	0.0367	0.0555	0.5814	-0.5363	0.6954	-0.7883	0.4594	0.2016	0.4893	-0.1349	0.7521	0.0639	0.4137	0.4042	-0.0412	-0.4117	0.278	-0.3796	-0.2492
C9orf45	-0.055	-0.563125	0.146	0.095875	-0.300625	-1.345625	-1.38425	-1.40275	-0.9535	-1.727625	-0.670125	-0.72225	-0.5465	-1.28025	-1.066	-0.136375	-0.706	-0.862375	-1.431875	-1.525	-0.208875	-1.58425	-1.830875	-1.105625	-1.669	-0.488875	-1.34875	-0.892375	-0.9855	-0.946625	-0.55425	0.6705	-1.744125	-0.44075	-0.304375	-1.356375	-1.674875	-0.146125
XAB2	-0.3095	-0.2223	0.3088	0.3669	-0.00829999999999998	-0.2435	-0.57	-0.0844	0.3805	-0.0438	0.1468	0.1227	0.0712	-0.2891	-0.355	-0.2074	0.346	-0.1229	-0.0679	-0.00619999999999999	0.0792	0.4635	-0.2102	-0.2814	-0.1372	0.2085	0.2022	0.0838	-0.1684	-0.05	-0.0264	0.5069	0.1554	-0.7544	-0.2224	-0.000799999999999967	-0.1351	0.1019
RTN1	1.0423	1.0787	0.9936	0.7728	2.529	0.9436	2.163	0.9065	1.52044444444444	0.0957	0.6486	0.1146	0.086	0.1235	0.7093	2.2454	2.0375	0.1962	0.7755	0.1071	2.3445	0.3708	0.0877	0.458	2.1277	0.7252	1.2121	0.5033	1.8067	0.1716	-0.0707	0.6322	1.6333	1.7378	0.5113	0.4748	1.5431	2.8339
KLHL14	2.2439	2.5671	0.0286	2.6156	2.6913	2.8318	1.9843	1.5888	2.2018	2.8098	2.5995	2.8327	2.7336	2.7186	2.2635	1.563	1.5962	2.4018	3.2053	2.324	2.1462	2.1448	2.5502	0.758	-0.706	3.0279	2.2551	1.82	1.616	2.672	3.0716	2.9834	2.0532	2.1861	2.858	2.8718	-0.4828	2.1437
TBX10	-0.152666666666667	0.059	-0.0236666666666667	-0.0356666666666667	-0.113333333333333	0.308666666666667	-0.230666666666667	0.21	-0.013	0.315	-0.104	1.28633333333333	0.619333333333333	0.155666666666667	-0.238333333333333	-0.136333333333333	-0.101333333333333	0.095	0.242	0.053	-0.163666666666667	0.209666666666667	0.286	-0.0993333333333333	-0.0346666666666667	-0.111666666666667	-0.201666666666667	-0.0626666666666667	-0.231	-0.116	-0.0243333333333333	0.103	0.163333333333333	-0.390666666666667	0.372666666666667	0.286333333333333	1.94166666666667	0.211
CENPQ	-1.1464	-0.139	-0.0352	-0.8944	-0.9772	-1.111	-0.872	-1.6648	-0.2012	-0.1078	-1.0194	-1.4266	-2.0058	0.16	-0.5924	-1.2336	-1.533	-0.3428	0.1368	0.9032	-1.03	-0.642	-0.3922	-0.9678	0.5172	-1.2212	0.017	0.1762	-0.9352	-1.8612	-2.1988	-0.6062	0.7204	-0.4938	-2.0734	-0.7936	-1.68	-1.8756
UTY	-1.5021052631579	-0.909894736842105	-1.47605555555556	-1.11016666666667	-1.16684210526316	-1.319	-1.27472222222222	-1.19272222222222	-1.22978947368421	-1.108875	-1.19638888888889	-1.38622222222222	-1.52566666666667	-1.493375	-1.39677777777778	-1.54788235294118	-1.11438888888889	-1.30933333333333	-1.76744444444444	-1.06011764705882	-1.67977777777778	-1.67678947368421	-1.15894117647059	-1.64889473684211	-0.359947368421053	-1.63436842105263	-1.68235294117647	-1.4248947368421	-1.46588888888889	-1.11021052631579	-1.99982352941176	-1.77317647058824	-1.20661111111111	-1.967	-1.37473684210526	-1.25963157894737	-1.58894444444444	-1.211
ZBTB12	0.140666666666667	0.170666666666667	0.381	0.272333333333333	0.436	0.162666666666667	-0.0823333333333334	0.0566666666666667	0.471333333333333	0.392333333333333	1.27866666666667	0.350666666666667	0.144333333333333	0.325333333333333	0.387	0.0586666666666667	0.138	0.512666666666667	0.288333333333333	0.416333333333333	0.205333333333333	0.189	0.277666666666667	0.113	0.031	0.0623333333333333	0.540666666666667	0.0523333333333333	0.005	0.631	0.267333333333333	0.384666666666667	0.0683333333333333	0.345333333333333	0.33	0.268333333333333	0.108666666666667	-0.081
DTNBP1	-0.7849	0.2918	0.5384	0.3649	-0.1803	-0.3396	-0.5505	0.266	0.3468	-0.2944	-0.3606	0.9825	0.5227	-0.1934	0.0729	-0.3274	-0.3682	0.1828	0.3473	-0.3247	0.2315	0.0196	0.5297	0.0951	-1.8636	-0.4693	-0.7462	0.4562	0.1503	0.1583	0.0532	0.575	0.3111	0.1577	0.1204	-0.3985	0.1345	-0.1829
KBTBD8	-1.1575	-1.002125	-0.719375	-2.69525	-1.723	-1.082625	-1.6815	-1.245125	-1.675	-1.649875	-2.16775	-3.581125	-2.590125	-2.15175	-1.870875	-1.905875	-2.341875	-2.47275	-1.525125	-1.39425	-2.67725	-2.970375	-2.70525	-2.143625	-0.718875	-1.985125	-3.08675	-1.955375	-2.0365	-2.560625	-2.580375	-2.18075	-1.069125	-0.85	-1.470125	-2.712625	-0.090125	-2.112125
ZEB1	-1.782875	-0.929375	-1.292625	-1.649125	-1.88	-1.848125	-0.746125	0.385625	-1.35475	-1.77625	-1.78675	-1.739375	-1.525625	0.2685	-1.517375	0.174625	-0.2435	-2.088375	-1.458625	-2.00857142857143	-0.598625	-2.045125	-0.941125	-0.229375	0.709375	-2.488625	-1.862	-2.20925	1.225	-1.802125	-1.45425	-2.565	-1.88975	-1.553	-1.157125	-1.824	-1.1775	0.07475
ZG16	-0.7514	-0.194	-0.0844	-1.103	-0.491	-0.7782	-0.5134	-0.4452	-0.6164	-0.4372	-0.7962	1.3044	-0.8124	-0.3028	0.1702	-1.582	-1.2428	0.3626	-0.9928	-0.6512	-1.4528	-1.2424	-0.753	0.5588	-0.5402	-0.669	-0.1674	-0.6032	-1.2854	-0.9022	-0.1078	-0.389	-0.966	-0.8176	-0.4682	0.0952	5.346	-0.6812
MIER1	0.955769230769231	0.52	-0.734846153846154	-0.452846153846154	-0.452153846153846	-0.0694615384615385	-0.0136153846153846	0.0914615384615385	0.436307692307692	-0.147538461538462	-0.304769230769231	-0.942230769230769	-0.0312307692307692	0.355307692307692	-0.347076923076923	-0.529461538461538	-0.239153846153846	0.0142307692307692	-0.235846153846154	0.291846153846154	0.0298461538461539	-0.317384615384615	-0.107153846153846	-1.54330769230769	0.633923076923077	0.00400000000000001	-0.580769230769231	0.0998461538461538	0.310923076923077	-0.0906923076923077	0.914615384615384	-0.438846153846154	-0.170615384615385	0.521692307692308	-0.325307692307692	-0.495	0.985076923076923	0.253
ADAM5P	-1.286	-0.603	0.801	-0.892	-0.408666666666667	-0.0533333333333334	-0.710333333333333	-0.567	0.041	0.836	-0.493333333333333	-0.753666666666667	2.1045	1.9515	-0.257	-0.033	-0.068	-0.00233333333333335	0.447666666666667	-0.551	-0.5915	0.355333333333333	-0.636	0.0886666666666666	-0.479	-0.1065	0.229333333333333	-0.257666666666667	0.399	-0.906	0.359	1.07033333333333	-0.569333333333333	0.685333333333333	-0.214	0.874	1.354	0.143333333333333
CHD9	-0.500047619047619	-1.0022380952381	0.118333333333333	-0.572571428571429	0.259571428571429	-0.808333333333333	-0.186714285714286	-0.0333809523809524	-0.477238095238095	-0.909333333333333	-0.040952380952381	-0.933904761904762	0.358952380952381	-0.384714285714286	0.171380952380952	-0.288285714285714	0.139238095238095	-0.55447619047619	-0.643428571428571	-1.15538095238095	0.0906190476190476	-0.624761904761905	0.353190476190476	0.0969047619047619	0.0880952380952381	-0.10747619047619	-0.741047619047619	0.0997619047619047	-0.0112857142857143	-0.311952380952381	0.379	-0.57247619047619	-0.688952380952381	-0.242238095238095	-0.614428571428572	-0.793809523809524	-0.419857142857143	-0.0689523809523809
STK16	-0.0646	-0.3522	0.1138	-0.1932	0.7226	1.024	0.3632	-0.1472	0.6096	-0.018	0.7836	0.2294	0.2626	0.4888	-0.1408	0.1576	0.553	0.9278	0.245	0.5394	0.8648	0.5876	0.2908	0.3638	0.684	1.496	0.2092	-0.0674	0.4086	-0.0792	0.577	0.0344	-0.4736	-0.4576	0.6104	0.3126	0.6264	1.1562
KIAA1486	0.265	0.0153333333333333	0.200666666666667	0.147666666666667	-0.0633333333333333	0.550333333333333	-0.0593333333333333	0.282333333333333	-0.0766666666666667	-0.067	0.0363333333333333	0.183333333333333	0.202666666666667	0.284333333333333	0.401	0.157333333333333	-0.135666666666667	-0.200333333333333	0.03	0.578333333333333	-0.222666666666667	-0.0863333333333333	-0.00233333333333334	0.013	0.208666666666667	0.203333333333333	0.09	0.087	-0.132333333333333	-0.0183333333333333	0.127666666666667	-0.0683333333333334	-0.0396666666666667	-0.231	0.231	-0.0296666666666667	0.129333333333333	0.175
